# FACTPACK-L2-CLASSCENSUS-001 -- declared class names in the Pirate Force client image
# derived ONLY from pf_bridge/factpack_L1/strings_ascii.tsv (sha256 ddad39f182544feaa56af2b451c0acf96cc028ad27224588779bd5d2a8051b94)
# NONCLAIM: every row is a literal in a file.  Presence does NOT prove the class is constructed, registered, or ever hit the wire.
# wire_id is DERIVED from the name by the round-62 hash.  It is NOT read from any table in the image.
name	family	wire_id	wire_id_dec	rtti_va	rtti_file_offset	literal_kind	literal_va	in_names_table	in_round86_census	in_round38_tsv	id_collision_with_table_name	rtti_descriptor	literal_run_text
ACTIVITYFingerGuessingEditorEventHandler	ui_event_handler	0x4612	17938	0x01024A9C	0x00C2229C	none	-	False	False	False	-	.?AVACTIVITYFingerGuessingEditorEventHandler@@	-
ACTIVITYFingerGuessingEventHandler	ui_event_handler	0xEBC9	60361	0x01024AD4	0x00C222D4	none	-	False	False	False	-	.?AVACTIVITYFingerGuessingEventHandler@@	-
AbilityDepoly	other_unclassified	0x260B	9739	0x0101FA50	0x00C1D250	standalone	0x00F30918	False	True	False	-	.?AVAbilityDepoly@@	AbilityDepoly
AbilityDepolyAll	other_unclassified	0x36AD	13997	0x0101FA6C	0x00C1D26C	standalone	0x00F30928	False	True	False	-	.?AVAbilityDepolyAll@@	AbilityDepolyAll
AccuseAttr	attr_state_block	0x1690	5776	0x01027194	0x00C24994	none	-	False	False	False	-	.?AVAccuseAttr@@	-
AccuseData	data_blob	0x1563	5475	0x01027178	0x00C24978	none	-	False	False	False	-	.?AVAccuseData@@	-
AccuseModule_Client	module_subsystem	0x4C18	19480	0x0101DC90	0x00C1B490	standalone	0x00F1B228	False	True	False	-	.?AVAccuseModule_Client@@	AccuseModule_Client
AccuseVital	wire_vital	0x1AC5	6853	0x010271B0	0x00C249B0	standalone	0x00F45314	True	False	True	-	.?AVAccuseVital@@	AccuseVital
AchievementMainEventHandler	ui_event_handler	0x9727	38695	0x0102141C	0x00C1EC1C	none	-	False	False	False	-	.?AVAchievementMainEventHandler@@	-
AchievementNotifyEventHandler	ui_event_handler	0xB021	45089	0x01022FEC	0x00C207EC	none	-	False	False	False	-	.?AVAchievementNotifyEventHandler@@	-
