source	evidence_id	relative_path	size	sha256	document_kind	parse_status	root_tag	element_count	record_tag	record_count	attribute_names	parser_detail
DATA	DATA-1777	Data/GC/Avatar-female_offset.xml	4699	674B1CFC5254AA94B52F8ACB8F5236B331AF49E0E58D7474E94E42AF2DADB508	AVATAR_OFFSET_PSEUDO_XML	NONSTANDARD_GRAMMAR	ScaleOffset	102	Item	101	height,offset	XML_PARSE_ERROR_LINE_3_COLUMN_5
DATA	DATA-1778	Data/GC/Avatar-male_offset.xml	4327	2FB6CF1C74475BE424FE73F194D8FA1FF2EDCCAD25B4A566912AB9DF88A84192	AVATAR_OFFSET_PSEUDO_XML	NONSTANDARD_GRAMMAR	ScaleOffset	102	Item	101	height,offset	XML_PARSE_ERROR_LINE_3_COLUMN_5
DATA	DATA-1779	Data/GC/Avatar-male_offset_JP.xml	4305	F20FF358ACFAAE0B36119E60279CDA2AA0D2A2E92D40D4AFDBC33241EC1D86F7	AVATAR_OFFSET_PSEUDO_XML	NONSTANDARD_GRAMMAR	ScaleOffset	102	Item	101	height,offset	XML_PARSE_ERROR_LINE_3_COLUMN_5
DATA	DATA-1780	Data/Scene/Save/AirTest/Sector_0_0/surfaces.xml	35	75925F6EDC117198CF0A34043FFDB081A7F958E2D1A4E990CD4BDE24B4B09A58	SURFACE_MASK_XML	PASS	Block	1	SurfaceMask	0	NONE	STANDARD_XML
DATA	DATA-1781	Data/Scene/Save/AirTest01/Sector_0_0/surfaces.xml	121	DC56DB246E33C6C75960F21CFE950725D0947DAD5F1A0B4E80B36424BEAEC053	SURFACE_MASK_XML	PASS	Block	2	SurfaceMask	1	name,package,position	STANDARD_XML
DATA	DATA-1782	Data/Scene/Save/AirTest02/Sector_0_0/surfaces.xml	35	75925F6EDC117198CF0A34043FFDB081A7F958E2D1A4E990CD4BDE24B4B09A58	SURFACE_MASK_XML	PASS	Block	1	SurfaceMask	0	NONE	STANDARD_XML
DATA	DATA-1783	Data/Scene/Save/AitTest03/Sector_0_0/surfaces.xml	35	75925F6EDC117198CF0A34043FFDB081A7F958E2D1A4E990CD4BDE24B4B09A58	SURFACE_MASK_XML	PASS	Block	1	SurfaceMask	0	NONE	STANDARD_XML
DATA	DATA-1784	Data/Scene/Save/AlbertTest/Sector_0_0/surfaces.xml	35	75925F6EDC117198CF0A34043FFDB081A7F958E2D1A4E990CD4BDE24B4B09A58	SURFACE_MASK_XML	PASS	Block	1	SurfaceMask	0	NONE	STANDARD_XML
DATA	DATA-1785	Data/Scene/Save/bg0001/Sector_0_0/surfaces.xml	197	8BBE4E58AE30C99667C963EDCF42F72B7158CA2893DA3181ACA1C9D250C1024E	SURFACE_MASK_XML	PASS	Block	3	SurfaceMask	2	name,package,position	STANDARD_XML
DATA	DATA-1786	Data/Scene/Save/Bg0002/Sector_0_0/surfaces.xml	419	4A80446C53B66DF286B94970FDB8879DEB9CC77F6847AB17B9D0F4F8A61CF9B0	SURFACE_MASK_XML	PASS	Block	6	SurfaceMask	5	name,package,position	STANDARD_XML
