message	priority	matched_groups	matched_keywords	matched_keyword	registry_identity_status	registry_identity_missing	serializer_status	serializer_blockers	structural_status	capture_status	blocker	source
Attribute	3	remaining	N/A	N/A	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
AvatarAttr	3	remaining	N/A	N/A	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
BasicAttr	3	remaining	N/A	N/A	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
ActorAttr	1	actor/npc/monster	actor	actor	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
NPCAttr	1	actor/npc/monster	npc	npc	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
MovementAttr	1	move/position/teleport	move	move	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
DBAttribute	3	remaining	N/A	N/A	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
FightAttr	3	remaining	N/A	N/A	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
InstanceRefreshAttr	3	remaining	N/A	N/A	KNOWN	N/A	CLOSED	N/A	CLOSED	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	N/A	IMAGE
BackpackAttr	3	remaining	N/A	N/A	KNOWN	N/A	OPEN	direct_call_not_proven_serializer	OPEN	SEPARATE_SOURCE:PF_FIELD_VALIDATION.tsv	direct_call_not_proven_serializer	IMAGE
