record_kind	vtable_va	class_name	type_descriptor_name	instance_count	type_descriptor_va	type_descriptor_count	type_info_vtable_va	object_offset	dump_name	dump_sha256	dump_file_offset	instance_file_offsets	rtti_status	source
SUMMARY	UNKNOWN	UNKNOWN	UNKNOWN	0	UNKNOWN	3121	UNKNOWN	UNKNOWN	GameClient.local.bin_1.41.01_69151_20260816_040609.dmp	daf63c7d13dc7ca601776cc7e4abbf02aa2e367f91ea420b3b05aaa8af7bffdc	UNKNOWN	UNKNOWN	NO_COMPLETE_DUMP_NATIVE_VTABLE_RTTI_CHAIN	DUMP
TYPE_DESCRIPTOR_UNBOUND	UNKNOWN	UNKNOWN	.?AVbad_alloc@std@@	0	0x018DA064	1	0x018557EC	UNKNOWN	GameClient.local.bin_1.41.01_69151_20260816_040609.dmp	daf63c7d13dc7ca601776cc7e4abbf02aa2e367f91ea420b3b05aaa8af7bffdc	0x0000FA41	UNKNOWN	TYPE_DESCRIPTOR_PRESENT_COL_OR_HIERARCHY_NOT_CAPTURED	DUMP
TYPE_DESCRIPTOR_UNBOUND	UNKNOWN	UNKNOWN	.?AVexception@std@@	0	0x018DA080	1	0x018557EC	UNKNOWN	GameClient.local.bin_1.41.01_69151_20260816_040609.dmp	daf63c7d13dc7ca601776cc7e4abbf02aa2e367f91ea420b3b05aaa8af7bffdc	0x0000FA5D	UNKNOWN	TYPE_DESCRIPTOR_PRESENT_COL_OR_HIERARCHY_NOT_CAPTURED	DUMP
TYPE_DESCRIPTOR_UNBOUND	UNKNOWN	UNKNOWN	.?AVlength_error@std@@	0	0x018DABD0	1	0x018557EC	UNKNOWN	GameClient.local.bin_1.41.01_69151_20260816_040609.dmp	daf63c7d13dc7ca601776cc7e4abbf02aa2e367f91ea420b3b05aaa8af7bffdc	0x000105AD	UNKNOWN	TYPE_DESCRIPTOR_PRESENT_COL_OR_HIERARCHY_NOT_CAPTURED	DUMP
TYPE_DESCRIPTOR_UNBOUND	UNKNOWN	UNKNOWN	.?AVlogic_error@std@@	0	0x018DABF0	1	0x018557EC	UNKNOWN	GameClient.local.bin_1.41.01_69151_20260816_040609.dmp	daf63c7d13dc7ca601776cc7e4abbf02aa2e367f91ea420b3b05aaa8af7bffdc	0x000105CD	UNKNOWN	TYPE_DESCRIPTOR_PRESENT_COL_OR_HIERARCHY_NOT_CAPTURED	DUMP
TYPE_DESCRIPTOR_UNBOUND	UNKNOWN	UNKNOWN	.?AVout_of_range@std@@	0	0x018DB008	1	0x018557EC	UNKNOWN	GameClient.local.bin_1.41.01_69151_20260816_040609.dmp	daf63c7d13dc7ca601776cc7e4abbf02aa2e367f91ea420b3b05aaa8af7bffdc	0x000109E5	UNKNOWN	TYPE_DESCRIPTOR_PRESENT_COL_OR_HIERARCHY_NOT_CAPTURED	DUMP
TYPE_DESCRIPTOR_UNBOUND	UNKNOWN	UNKNOWN	.?AVPcException@@	0	0x018DE6F4	1	0x018557EC	UNKNOWN	GameClient.local.bin_1.41.01_69151_20260816_040609.dmp	daf63c7d13dc7ca601776cc7e4abbf02aa2e367f91ea420b3b05aaa8af7bffdc	0x000140D1	UNKNOWN	TYPE_DESCRIPTOR_PRESENT_COL_OR_HIERARCHY_NOT_CAPTURED	DUMP
TYPE_DESCRIPTOR_UNBOUND	UNKNOWN	UNKNOWN	.?AVLuaException@LuaPlus@@	0	0x018E58B8	1	0x018557EC	UNKNOWN	GameClient.local.bin_1.41.01_69151_20260816_040609.dmp	daf63c7d13dc7ca601776cc7e4abbf02aa2e367f91ea420b3b05aaa8af7bffdc	0x0001B295	UNKNOWN	TYPE_DESCRIPTOR_PRESENT_COL_OR_HIERARCHY_NOT_CAPTURED	DUMP
TYPE_DESCRIPTOR_UNBOUND	UNKNOWN	UNKNOWN	.?AVbad_cast@std@@	0	0x018E8090	1	0x018557EC	UNKNOWN	GameClient.local.bin_1.41.01_69151_20260816_040609.dmp	daf63c7d13dc7ca601776cc7e4abbf02aa2e367f91ea420b3b05aaa8af7bffdc	0x0001DA6D	UNKNOWN	TYPE_DESCRIPTOR_PRESENT_COL_OR_HIERARCHY_NOT_CAPTURED	DUMP
TYPE_DESCRIPTOR_UNBOUND	UNKNOWN	UNKNOWN	.?AVPcZipFile@@	0	0x018EA6A0	1	0x018557EC	UNKNOWN	GameClient.local.bin_1.41.01_69151_20260816_040609.dmp	daf63c7d13dc7ca601776cc7e4abbf02aa2e367f91ea420b3b05aaa8af7bffdc	0x0002007D	UNKNOWN	TYPE_DESCRIPTOR_PRESENT_COL_OR_HIERARCHY_NOT_CAPTURED	DUMP
TYPE_DESCRIPTOR_UNBOUND	UNKNOWN	UNKNOWN	.?AVPc3DCue@@	0	0x018EA9C0	1	0x018557EC	UNKNOWN	GameClient.local.bin_1.41.01_69151_20260816_040609.dmp	daf63c7d13dc7ca601776cc7e4abbf02aa2e367f91ea420b3b05aaa8af7bffdc	0x0002039D	UNKNOWN	TYPE_DESCRIPTOR_PRESENT_COL_OR_HIERARCHY_NOT_CAPTURED	DUMP
