# source_image	GameClient.local.bin
# image_sha256	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
# image_size_bytes	14759424
# block_size	256
# block_count	57654
# last_block_bytes	256
# purpose	re-verify any 256-byte window of the image later WITHOUT
#         holding the image: hash the window, compare to this row.
block_index	file_offset_hex	sha256
0	0x00000000	3ef4c1164a64c9c2a533da83b50c4ecb4790853caf7f9b1a6ca9bd8eda123dd6
1	0x00000100	fe752fa1f8b463227686d1a853c9739688f7265a6669dadc439576913f7343e6
2	0x00000200	f1845e99d596d84660c0a6306f62050f4d2418b82ca5379805a6cab1078169ca
3	0x00000300	e5701452c174ef6e44cfb066c60f7b77fa1eb25c78ed179d08ac78a7dfdcd761
4	0x00000400	98f9a87c5a51ab6ac88ece4146563acce9233af6f8de3bba8a6bacbd6a8b9cf8
5	0x00000500	01d8cd3fd899009a6341942962a1d86da843125f7b55f261b123ffab6c5c6131
6	0x00000600	462d5eda8cc62ab4ebbea2031ec3dc069352915102c458c80eb977174cdff3fb
7	0x00000700	400e1a27b085779d2e456198c1b2062181856eb446889322646b22129c9f7783
8	0x00000800	c620f6a4319ab7cd48c963d840370624e8a761728e43578ed78b10fcfa389c14
9	0x00000900	9d502bb758de90a262ac311f0b15369c0d0f9615df376dcadc5623b58de68540
10	0x00000A00	0b9fbdfa34aed33381d3271b4ea36b2af38caa74e2d62e41545fa4746cf33a3f
11	0x00000B00	342cf8476fcc14092879ddc44772de807462e4d7f9cbbfc6a89459690c4c5996
12	0x00000C00	da3f01836b67281e6b5317a8491e9ffb307f3cc3cd44b1047e050c0d3bc506af
13	0x00000D00	3deda1acb3da869550d7ae40c4e0c5f5056ea4e10f34d5d8d5a634342d7ee0ac
14	0x00000E00	cf26edf6f73fcbd883f6cda637e5b7b56acd1b23c1ab781dd556359eeb65d495
15	0x00000F00	b0614520165442408da50dd6748f83e8029a7e70a3ec5c140db3ca23b6459114
16	0x00001000	8f2badccd97b24bfca637b1af20b695442747352cb814acee181f0aab1afcb6b
17	0x00001100	ddc4aae7b18c0c0e359cb76e5448a8a55469b5443242f8ab6a9e0916dc8ca138
18	0x00001200	78bc90d116c972957bfdb6ab3fd672267fd86809eddc2a9086b17a3883c280fe
19	0x00001300	86db07ebcc59066f38709e9734d42b356c0b038c2553458f150b6559229ea426
20	0x00001400	fb8862007105626f441d7b8e76bf5f9702b283bb2b4b2cc37e6c4edf072c47cd
21	0x00001500	94979973a647a83c2a6b459081ec7d512cb6ffc9ae953515ae240c8ddcb7d3be
22	0x00001600	e33f98f5e90597ff65d360c06462234fe0bca446288d2ce7596577a69d788440
23	0x00001700	de4a336227b2528c8aa8f61489b02c789ac7533999e8d2c32fb2b4c70006b4dd
24	0x00001800	e3983467f90f43ee78925e2d7b5af07d018f36763f535fc54a23b54592590b98
25	0x00001900	c42e3a2eab14fa908d64c720aa2becedd2512d6acff400db5be12ccde9056573
26	0x00001A00	768b6262515c58725a1e10b873b7d4ee4c80b99d3d263ec50231951b85ec3fab
27	0x00001B00	1b7b04f1ebd1439fc9dee6c6be6aa6d600a224944c693d2b4dbff6383ef28169
28	0x00001C00	e86dd7887e96740bdeefa36ae9743208cdc6dad1032d3ea28bf31340cc83b025
29	0x00001D00	e8115e64644ea5d475f11df2bedc6377e100a1a302d76c99aae62317a3108b34
30	0x00001E00	a5994c1cffddef5ec0c7ef6455489d2d7d5519514a9322286b5d24b7b296ee41
31	0x00001F00	74c6c5a2e38dcc26200e401d6ed05bb39d98b49d98e4c673daf738c69abc716f
32	0x00002000	5c8093c4428336f93ef32cea21300c33266d5a939b8f50ce77727645d630fbba
33	0x00002100	706be602a77d081f52dec7f6d4997d49b0db6fe8084bd7afcea94810d9c0f5bb
34	0x00002200	c2d2919834fb2419da9435fde4f105faae4fb753b1cbac94249e33c927371e1b
35	0x00002300	f67914acd9f0a03f39b9b53afb69b483dc44bae327083f40a2d5bf99ddd2c439
36	0x00002400	360470bec6b738589bae43f9bf253fba88be274fb98f11b7efc0a431e27d1ef1
37	0x00002500	f13dc94bc75af829e87c684e03a9bb0d221ec0ab4155945316328e70ec6040da
38	0x00002600	b23b718f9e47b14dfee87c8aa71cf7141f22a830af1c3f90ef4b6acaeb52fa82
39	0x00002700	6f209e40441947b794a581f7f3350baf58d05d5ff8c9dea0e02e5e55d642ff9c
40	0x00002800	14ef94c0e98f66400d74c7ed33815b565b7d5661274218ee54d1d200b3f1ac8b
41	0x00002900	fa1dc97239a070d5d95c5dd15eb20e5897c2a6c4eff7ae477434c317063e331c
42	0x00002A00	3de9ec3cf303142487e3265a3efa696b5670f9e72c3d2b6202fb7f34cb022a1c
43	0x00002B00	4653bdf5047a3a04a637e72acd43df1ccfc51bccbdc2e3a567999e7295e6d683
44	0x00002C00	eb9d214b82af11177760139dc532c2a93e07ba94b067e826f9974ac839fdae55
45	0x00002D00	c3d1e9027f0ed97f75311c98ae1f57254a0cd5fb80519a945c9bb43c052b41ba
46	0x00002E00	a18ba6f9726689abdbe05baeebe095a8895448e795384e819cc445a4856aeed8
47	0x00002F00	08414c8efb9f8fd78ec26b7d6cd852d815db709478e6f2dc622d491d4096a4fa
48	0x00003000	28a6117c61d87f793d6655ec190ff3c9af56523ebb60ec86803e12b968fb3c0b
49	0x00003100	fe917537663ddb0d789aa4f107589c9258605e050baf43f11b9925513d580c24
50	0x00003200	8b4eae053b8238f3f1f6a883ce682083e1f66c72eb29d78df675de57514e489c
51	0x00003300	d783b187b740f6c4ce21160993013b9d381281834006938022571510464e2850
52	0x00003400	17a457d86eebd13ec03d6dc9358c5e72d2405d41a6ca5b8dfb23ce9805a61e38
53	0x00003500	b4cb0523bf23d34861064f0bb3d2941faa18daabf999b39fab6fabc05c14980e
54	0x00003600	e95d3d5cb8954479d176a03238bc081c2dba825f275333e108fb3bdaf31bbaa6
55	0x00003700	bb9a6b4925f372174553e2d8df5a96ca920d1e28373f45f22a69d3609eb94903
56	0x00003800	518e45e5d3c202e62c671d5ffb4870262e8be939f9514e5d160aa7b9a0b7e5cc
57	0x00003900	e67c68b25df015e2408bc686714cd672cd3d2ea4f56079237837065f533285ab
58	0x00003A00	7e3e13113e7d70a8b73588e182655865e4e50c397293575f1d99735b53cf3f3b
59	0x00003B00	7d85509fdb1abe8e57e8e9f382f2ef77ec84a31c79e8f475aeee702afc178a1e
60	0x00003C00	281d1874b1c061932c54ce82f1415d8374e6a7245f9d8ef44552adf4b5a680ee
61	0x00003D00	429d4f00f1fa13f7449056a32c686d74c96f54b14adc69df2110c86523e37d5b
62	0x00003E00	5283798d38c2e03982e9c3f19365825b10408f8ed047def1132e801abe5215ac
63	0x00003F00	db748993ac4b28420485dae53d6f747a390656392c2e0416456b118b76a6fb35
64	0x00004000	d72b5596850b1be88a2348142bd9dcbb383c46a154c83b0acdddd21d02d2bc50
65	0x00004100	fb04d05ffdbbb884f6bccbc3d19fa3b97cba7ddf8a083055bda490ad386b25b7
66	0x00004200	a6bc9a3e00add76f4967e04d90c78802295a27dbfd7e28ec7eb52e6aec285898
67	0x00004300	5b479650532e0616fa8862025b1b3bd352db5d2d9822dfe9ec9eb6684387241f
68	0x00004400	19880865ec1bf7d2897761bc8631aa178cc4ede1b8bb37b3d74502ebdedbf92c
69	0x00004500	cb98150ce6304717d13ca7841e7105fd174129a9c391c339f12f143537887921
70	0x00004600	4b4fd41492e30854621bae060398334753fd816756139aa123e672cf599157bd
