source	table	col_index	col_name	type	size	offset
CONSTDATA_TH	VERSION_PHASE	0	n_ID	0	4	0
CONSTDATA_TH	VERSION_PHASE	1	s_Name	3	4	4
CONSTDATA_TH	MAINMENU	0	n_ID	0	4	0
CONSTDATA_TH	MAINMENU	1	n_MOTHERID	0	4	4
CONSTDATA_TH	MAINMENU	2	s_ICON	3	4	8
CONSTDATA_TH	MAINMENU	3	n_TIPID	0	4	12
CONSTDATA_TH	MAINMENU	4	s_UINAME	3	4	16
CONSTDATA_TH	MAINMENU	5	s_CONTROLNAME	3	4	20
CONSTDATA_TH	MAINMENU	6	s_BUTTON	3	4	24
CONSTDATA_TH	MAINMENU	7	n_BUTTONTIP	0	4	28
CONSTDATA_TH	MAINMENU	8	n_OP_QUEST	0	4	32
CONSTDATA_TH	MAINMENU	9	n_LIST	0	4	36
CONSTDATA_TH	MAINMENU	10	n_SHINETYPE	0	4	40
CONSTDATA_TH	MAINMENU	11	s_HK_VER	3	4	44
CONSTDATA_TH	MAINMENU	12	s_TC_VER	3	4	48
CONSTDATA_TH	MAINMENU	13	s_JP_VER	3	4	52
CONSTDATA_TH	MAINMENU	14	s_TH_VER	3	4	56
CONSTDATA_TH	FUNCTION_CONTROL	0	n_ID	0	4	0
CONSTDATA_TH	FUNCTION_CONTROL	1	s_Name	3	4	4
CONSTDATA_TH	FUNCTION_CONTROL	2	s_Docs	3	4	8
CONSTDATA_TH	FUNCTION_CONTROL	3	s_STATUS_1	3	4	12
CONSTDATA_TH	FUNCTION_CONTROL	4	s_STATUS_2	3	4	16
CONSTDATA_TH	FUNCTION_CONTROL	5	s_STATUS_3	3	4	20
CONSTDATA_TH	FUNCTION_CONTROL	6	s_STATUS_4	3	4	24
CONSTDATA_TH	FUNCTION_CONTROL	7	s_STATUS_5	3	4	28
CONSTDATA_TH	FUNCTION_CONTROL	8	s_STATUS_6	3	4	32
CONSTDATA_TH	DROPS_ACTIVITY	0	n_ID	0	4	0
CONSTDATA_TH	DROPS_ACTIVITY	1	n_MODIFY	0	4	4
CONSTDATA_TH	DROPS_ACTIVITY	2	n_MOB_MIN	0	4	8
CONSTDATA_TH	DROPS_ACTIVITY	3	n_MOB_MAX	0	4	12
CONSTDATA_TH	DROPS_ACTIVITY	4	n_MOBRANK	0	4	16
CONSTDATA_TH	DROPS_ACTIVITY	5	n_DROPS_QUEST	0	4	20
CONSTDATA_TH	DROPS_ACTIVITY	6	n_DROPS_NORMAL	0	4	24
CONSTDATA_TH	DROPS_ACTIVITY	7	s_HK_VER	3	4	28
CONSTDATA_TH	DROPS_ACTIVITY	8	s_TC_VER	3	4	32
CONSTDATA_TH	DROPS_ACTIVITY	9	s_JP_VER	3	4	36
CONSTDATA_TH	DROPS_ACTIVITY	10	s_TH_VER	3	4	40
CONSTDATA_TH	VARIABLE_FLOATING	0	n_ID	0	4	0
CONSTDATA_TH	VARIABLE_FLOATING	1	s_NAME_VARIABLE	3	4	4
CONSTDATA_TH	VARIABLE_FLOATING	2	f_VALUE_VARIABLE	2	4	8
CONSTDATA_TH	VARIABLE_INTEGER	0	n_ID	0	4	0
CONSTDATA_TH	VARIABLE_INTEGER	1	s_NAME_VARIABLE	3	4	4
CONSTDATA_TH	VARIABLE_INTEGER	2	n_VALUE_VARIABLE	0	4	8
CONSTDATA_TH	HOTKEY	0	n_ID	0	4	0
CONSTDATA_TH	HOTKEY	1	n_TYPE	0	4	4
CONSTDATA_TH	HOTKEY	2	n_KEY_1	0	4	8
CONSTDATA_TH	HOTKEY	3	n_KEY_2	0	4	12
CONSTDATA_TH	HOTKEY	4	s_NAME	3	4	16
CONSTDATA_TH	HOTKEY	5	s_HK_VER	3	4	20
CONSTDATA_TH	HOTKEY	6	s_TC_VER	3	4	24
CONSTDATA_TH	HOTKEY	7	s_JP_VER	3	4	28
CONSTDATA_TH	HOTKEY	8	s_TH_VER	3	4	32
CONSTDATA_TH	SCENE_NAME	0	n_ID	0	4	0
CONSTDATA_TH	SCENE_NAME	1	s_MODLE_ID	3	4	4
CONSTDATA_TH	SCENE_NAME	2	s_SCENE_NAME	3	4	8
CONSTDATA_TH	SCENE_NAME	3	s_IMAGENAME	3	4	12
CONSTDATA_TH	SCENE_NAME	4	n_SCENE_WEATHER	0	4	16
CONSTDATA_TH	SCENE_NAME	5	n_SCENE_DAYANDNIGHT	0	4	20
CONSTDATA_TH	SCENE_NAME	6	n_SCENE_TYPE	0	4	24
CONSTDATA_TH	SCENE_NAME	7	n_SCENE_SUBTYPE	0	4	28
CONSTDATA_TH	SCENE_NAME	8	n_CLINE_TYPE	0	4	32
CONSTDATA_TH	SCENE_NAME	9	s_SCENE_ICON	3	4	36
CONSTDATA_TH	SCENE_NAME	10	s_MUSIC_FILE	3	4	40
CONSTDATA_TH	SCENE_NAME	11	n_CANGLIDE	0	4	44
CONSTDATA_TH	SCENE_NAME	12	n_CANRIDE	0	4	48
CONSTDATA_TH	SCENE_NAME	13	n_LIMIT_HEIGHT	0	4	52
CONSTDATA_TH	SCENE_NAME	14	n_SAVE	0	4	56
CONSTDATA_TH	SCENE_NAME	15	n_MARKER	0	4	60
CONSTDATA_TH	SCENE_NAME	16	n_CAMERA_TYPE	0	4	64
CONSTDATA_TH	SCENE_NAME	17	n_COLLECT_MAP	0	4	68
CONSTDATA_TH	SCENE_NAME	18	n_SCENE_LV	0	4	72
CONSTDATA_TH	SCENE_NAME	19	n_VIDEO_NAME	0	4	76
CONSTDATA_TH	SCENE_NAME	20	s_HK_VER	3	4	80
CONSTDATA_TH	SCENE_NAME	21	s_TC_VER	3	4	84
CONSTDATA_TH	SCENE_NAME	22	s_JP_VER	3	4	88
CONSTDATA_TH	SCENE_NAME	23	s_TH_VER	3	4	92
CONSTDATA_TH	STANDARD_STATUS	0	n_ID	0	4	0
CONSTDATA_TH	STANDARD_STATUS	1	n_EXP_CURRENTLV	0	4	4
CONSTDATA_TH	STANDARD_STATUS	2	n_POINT_ABILITY	0	4	8
CONSTDATA_TH	STANDARD_STATUS	3	n_DEADLOSS	0	4	12
CONSTDATA_TH	STANDARD_STATUS	4	n_PVP_EXP	0	4	16
CONSTDATA_TH	STANDARD_STATUS	5	n_PVP_SP	0	4	20
CONSTDATA_TH	STANDARD_STATUS	6	n_PVP_MONEY	0	4	24
CONSTDATA_TH	STANDARD_STATUS	7	n_DEFENCE_CONSTANT	0	4	28
CONSTDATA_TH	LEVEL_SP	0	n_ID	0	4	0
CONSTDATA_TH	LEVEL_SP	1	n_SP	0	4	4
CONSTDATA_TH	CURRICULUM	0	n_ID	0	4	0
CONSTDATA_TH	CURRICULUM	1	n_PPCLASS	0	4	4
CONSTDATA_TH	CURRICULUM	2	n_SKILL	0	4	8
