source	index	table	rows	cols	start	end	version	flags
CONSTDATA_TH	000	VERSION_PHASE	6	2	0x00000004	0x000000F6	5	VERSION_PHASE_TIP
CONSTDATA_TH	001	MAINMENU	29	15	0x000000F6	0x00001C40	5	MAINMENU_TIP
CONSTDATA_TH	002	FUNCTION_CONTROL	8	9	0x00001C40	0x000021AA	5	FUNCTION_CONTROL_TIP
CONSTDATA_TH	003	DROPS_ACTIVITY	4	11	0x000021AA	0x00002522	5	DROPS_ACTIVITY_TIP
CONSTDATA_TH	004	VARIABLE_FLOATING	178	3	0x00002522	0x0000460A	5	0
CONSTDATA_TH	005	VARIABLE_INTEGER	325	3	0x0000460A	0x0000830E	5	0
CONSTDATA_TH	006	HOTKEY	95	9	0x0000830E	0x0000B3D4	5	HOTKEY_TIP
CONSTDATA_TH	007	SCENE_NAME	271	24	0x0000B3D4	0x0001D148	5	SCENE_NAME_TIP
CONSTDATA_TH	008	STANDARD_STATUS	255	8	0x0001D148	0x0001F292	5	0
CONSTDATA_TH	009	LEVEL_SP	120	2	0x0001F292	0x0001F6AA	5	0
CONSTDATA_TH	010	CURRICULUM	137	7	0x0001F6AA	0x00022D32	5	0
CONSTDATA_TH	011	SKILL_CONTEXT	2165	20	0x00022D32	0x0006A622	2	699
CONSTDATA_TH	012	BEHAVIOR	2279	30	0x0006A622	0x00110B0C	5	0
CONSTDATA_TH	013	Missile	3429	26	0x00110B0C	0x001BCFCA	5	0
CONSTDATA_TH	014	BUFF	9302	14	0x001BCFCA	0x00312B18	5	BUFF_TIP
CONSTDATA_TH	015	BUFFLINK	3	11	0x00312B18	0x00312F06	5	0
CONSTDATA_TH	016	POTENTIAL	0	11	0x00312F06	0x003130A4	5	0
CONSTDATA_TH	017	STANDARD_BUFF	256	36	0x003130A4	0x0031C67C	5	0
CONSTDATA_TH	018	STACK	423	4	0x0031C67C	0x0031E1A4	5	0
CONSTDATA_TH	019	CHARCREATE_LOOK	218	12	0x0031E1A4	0x003240D2	5	CHARCREATE_LOOK_TIP
CONSTDATA_TH	020	CHARCREATE_SKIN	20	10	0x003240D2	0x00324B2E	5	CHARCREATE_SKIN_TIP
CONSTDATA_TH	021	CHARCREATE_CLASS	5	38	0x00324B2E	0x00325B02	5	0
CONSTDATA_TH	022	CHARCREATE_PACKAGE	30	14	0x00325B02	0x00327032	5	0
CONSTDATA_TH	023	CD_TIMER	1335	2	0x00327032	0x00329A46	5	0
CONSTDATA_TH	024	AI_WANDER	73	5	0x00329A46	0x0032AA74	5	0
CONSTDATA_TH	025	AI_TACTIC	9	5	0x0032AA74	0x0032BC36	5	0
CONSTDATA_TH	026	AI_COMBAT	276	3	0x0032BC36	0x00351094	5	0
CONSTDATA_TH	027	STANDARD_MOB	255	38	0x00351094	0x0035AE0A	5	0
CONSTDATA_TH	028	MOBS	3210	54	0x0035AE0A	0x004A327E	5	MOBS_TIP
CONSTDATA_TH	029	CLINE	3599	19	0x004A327E	0x004E61DC	5	0
CONSTDATA_TH	030	MOB_TALK	9	5	0x004E61DC	0x004E6CEE	5	0
CONSTDATA_TH	031	NPC_VOICE	373	6	0x004E6CEE	0x004F2668	5	5
CONSTDATA_TH	032	PLAYER_VOICE	6	10	0x004F2668	0x004F2C16	5	0
CONSTDATA_TH	033	INSTANCE	338	17	0x004F2C16	0x004FE722	5	INSTANCE_TIP
CONSTDATA_TH	034	SCORECOUNT	87	14	0x004FE722	0x0050000A	5	0
CONSTDATA_TH	035	PARTY_SEARCH	10	7	0x0050000A	0x005004F4	5	0
CONSTDATA_TH	036	EQUIP_VALUE	17	16	0x005004F4	0x00500F38	5	0
CONSTDATA_TH	037	EQUIPMENT_BASE	974	39	0x00500F38	0x00546BC6	5	EQUIPMENT_BASE_TIP
CONSTDATA_TH	038	CHANGE_MODEL	249	12	0x00546BC6	0x0054D356	5	0
CONSTDATA_TH	039	EQUIP_AVATAR	212	39	0x0054D356	0x0055BC74	5	EQUIP_AVATAR_TIP
CONSTDATA_TH	040	EQUIP_AVATAR_COMBINE	0	9	0x0055BC74	0x0055BDF2	5	0
CONSTDATA_TH	041	ITEM_CONSUMABLES	1260	39	0x0055BDF2	0x005B53FE	5	ITEM_CONSUMABLES_TIP
CONSTDATA_TH	042	ITEM_MISC	1646	39	0x005B53FE	0x0062CF7E	5	ITEM_MISC_TIP
CONSTDATA_TH	043	ITEM_ITEMMALL	366	39	0x0062CF7E	0x006473E8	5	ITEMMALL_TEXT
CONSTDATA_TH	044	ITEM_QUEST	579	38	0x006473E8	0x0066E1B6	5	ITEM_QUEST_TIP
CONSTDATA_TH	045	EQUIPMENT_ROOT	71	6	0x0066E1B6	0x0066EB54	5	0
CONSTDATA_TH	046	VARYDATA	178	4	0x0066EB54	0x0066F71E	5	0
CONSTDATA_TH	047	ITEM_USING	947	9	0x0066F71E	0x0067BA24	5	0
CONSTDATA_TH	048	DROPS_EQUIPMENT	53	44	0x0067BA24	0x0067E4D6	5	0
CONSTDATA_TH	049	DROPS_NORMAL	267	121	0x0067E4D6	0x0069ED1A	5	0
CONSTDATA_TH	050	DROPS_SPECIALLY	584	64	0x0069ED1A	0x006C3E2C	5	0
CONSTDATA_TH	051	DECOMPOSITION	48	9	0x006C3E2C	0x006C5180	5	0
CONSTDATA_TH	052	APPRAISE	7	3	0x006C5180	0x006C525A	5	0
CONSTDATA_TH	053	ADDITIONAL	6305	14	0x006C525A	0x00790648	5	ADDITIONAL_TIP
CONSTDATA_TH	054	E_DROPS_QUALITY	26	9	0x00790648	0x00790B6E	5	0
CONSTDATA_TH	055	CRYSTAL_PLATE	9	9	0x00790B6E	0x007910A4	5	0
CONSTDATA_TH	056	CULTURED_CRYSTAL	27	43	0x007910A4	0x00792972	5	0
CONSTDATA_TH	057	GATHER	52	7	0x00792972	0x007933F4	5	0
CONSTDATA_TH	058	FORMULA_DRINK	85	16	0x007933F4	0x00794E64	5	FORMULA_DRINK_TIP
CONSTDATA_TH	059	COMBINE	47	18	0x00794E64	0x00796AF0	5	0
CONSTDATA_TH	060	STORE_NORMAL	15	26	0x00796AF0	0x00797932	5	STORE_NORMAL_TIP
CONSTDATA_TH	061	STORE_CONDITION	55	8	0x00797932	0x007982B6	5	STORE_CONDITION_TIP
CONSTDATA_TH	062	STORE_GOODS	164	16	0x007982B6	0x0079DC42	5	STORE_GOODS_TIP
CONSTDATA_TH	063	STORE_SMITH	0	20	0x0079DC42	0x0079DF3E	5	STORE_SMITH_TIP
CONSTDATA_TH	064	DAILY_REWARD	78	94	0x0079DF3E	0x007A5F2C	5	0
CONSTDATA_TH	065	ONLINE_REWARD	8	3	0x007A5F2C	0x007A600E	5	0
