api	namespace	method	call_count	file_count	arity_min	arity_max	arity_mode	arg_shape_top	arg_shape_top_count	distinct_arg_shapes	example_files	binding_status	delegate_va	delegate_body6	registration_va	binding_note
Player.MobAppear	Player	MobAppear	3532	295	2	2	2	var|bool	3532	1	Quest/q_add_equip.lua;Quest/q_add_mobbuff1.lua;Quest/q_add_mobbuff2.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x0046249E	
Player.AddItem	Player	AddItem	1430	272	2	2	2	var|var	1393	4	Quest/q_add_equip.lua;Quest/q_add_mobbuff1.lua;Quest/q_add_mobbuff2.lua	IMPLEMENTED	0x00460FF0	6aff682696b8	0x00461C2C	
Quest.RewardItemSelect	Quest	RewardItemSelect	1335	221	2	2	2	var|var	1335	1	Quest/q_add_equip.lua;Quest/q_add_mobbuff1.lua;Quest/q_add_mobbuff2.lua	IMPLEMENTED	0x00608A90	6aff680633ba	0x00609958	
Mob.ShowAnimation	Mob	ShowAnimation	716	295	1	1	1	var	716	1	Quest/q_add_equip.lua;Quest/q_add_mobbuff1.lua;Quest/q_add_mobbuff2.lua	IMPLEMENTED	0x00448900	6aff68567ab8	0x00448BE2	
Quest.GetQuestFlag	Quest	GetQuestFlag	508	366	1	1	1	var	496	3	Quest/q_add_equip.lua;Quest/q_add_mobbuff1.lua;Quest/q_add_mobbuff2.lua	IMPLEMENTED	0x006083C0	6aff684832ba	0x006097B1	
Quest.SetFlag	Quest	SetFlag	417	304	1	1	1	var	417	1	Quest/q_add_equip.lua;Quest/q_add_mobbuff1.lua;Quest/q_add_mobbuff2.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x00609782	
Mob.AddBuff	Mob	AddBuff	411	239	2	2	2	var|num	406	2	Quest/q_add_mobbuff1.lua;Quest/q_add_mobbuff2.lua;Quest/q_add_mobbuff3.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x00448CFC	
Player.RemoveItem	Player	RemoveItem	367	137	2	2	2	var|var	306	6	Quest/q_con_new.lua;Quest/q_day_business.lua;Quest/q_day_choose1.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x00461C8A	
Trigger.NextStatus	Trigger	NextStatus	353	269	0	0	0		353	1	t_2exch1&setq_q1.lua;t_2exch1_q1.lua;t_adbuff&catsklxyz_q1.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Player.CheckItemNum	Player	CheckItemNum	211	105	2	2	2	var|var	168	5	Quest/q_con_new.lua;Quest/q_day_choose1.lua;Quest/q_day_choose2.lua	IMPLEMENTED	0x00460B30	558bec83e4f8	0x00461B41	
Scene.PlacementOFF	Scene	PlacementOFF	173	19	1	1	1	num	112	2	t_cls2plc.lua;t_cls2plc_tim_t1.lua;t_cls3plc.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x005F80A2	
Quest.AddCriteriaExp	Quest	AddCriteriaExp	166	166	0	0	0		166	1	Quest/q_add_equip.lua;Quest/q_add_mobbuff1.lua;Quest/q_add_mobbuff2.lua	IMPLEMENTED	0x00608D10	6aff682bbdba	0x006098CB	
Quest.AddCriteriaSkillPoint	Quest	AddCriteriaSkillPoint	166	166	0	0	0		166	1	Quest/q_add_equip.lua;Quest/q_add_mobbuff1.lua;Quest/q_add_mobbuff2.lua	IMPLEMENTED	0x00608E60	6aff682bbdba	0x006098FA	
Quest.AddCriteriaCash	Quest	AddCriteriaCash	165	165	0	0	0		165	1	Quest/q_add_equip.lua;Quest/q_add_mobbuff1.lua;Quest/q_add_mobbuff2.lua	IMPLEMENTED	0x00608FB0	6aff685933ba	0x00609929	
Quest.CheckMobKillCount	Quest	CheckMobKillCount	138	70	2	2	2	var|var	136	2	Quest/q_add_skill2.lua;Quest/q_con_new.lua;Quest/q_day_choose3.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Trigger.GetTriggerStatus	Trigger	GetTriggerStatus	134	71	1	1	1	var	122	2	t_bg2017_msg.lua;t_cancplc2_t1.lua;t_cancplc_t1.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Quest.MobKillCount	Quest	MobKillCount	128	70	2	2	2	var|var	126	2	Quest/q_add_skill2.lua;Quest/q_con_new.lua;Quest/q_day_choose3.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x0060980F	
Quest.PlayNPCMovie	Quest	PlayNPCMovie	100	54	2	2	2	var|num	100	1	Quest/q_class_item.lua;Quest/q_con_new.lua;Quest/q_day_gather_new.lua	IMPLEMENTED	0x00607FE0	6aff68e831ba	0x00609A14	
Player.GetItemNum	Player	GetItemNum	99	72	1	1	1	var	98	2	Quest/q_day_gather_new.lua;Quest/q_day_send_new.lua;Quest/q_gather_anticlass.lua	IMPLEMENTED	0x0045FA10	6aff68e831ba	0x00461B12	
Scene.PlacementON	Scene	PlacementON	96	46	1	1	1	var	94	2	Quest/q_con_new.lua;Quest/q_repeat_con_new.lua;t_canc6plc_opn6plc_mod1.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x005F8073	
Player.GetLv	Player	GetLv	91	89	0	0	0		91	1	Quest/q_check_lv.lua;Quest/q_con_new.lua;Quest/q_day_business.lua	IMPLEMENTED	0x00460050	a1c42e030183	0x00461AE3	
Quest.SetQuestFlag	Quest	SetQuestFlag	90	51	2	2	2	var|num	61	4	Quest/q_con_new.lua;Quest/q_day_business.lua;Quest/q_day_choose1.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x006097E0	
Player.CastSkillAt	Player	CastSkillAt	69	46	1	1	1	var	57	3	Quest/q_add_skill1.lua;Quest/q_add_skill2.lua;Quest/q_checkbuff1.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x0046217F	
Quest.GetFlag	Quest	GetFlag	67	67	0	0	0		67	1	Quest/q_add_mobbuff3.lua;Quest/q_add_skill1.lua;Quest/q_avatar_change.lua	IMPLEMENTED	0x00608340	a1c42e030183	0x00609753	
