scene	src_path	version	placement_count	src_sha256	src_bytes	parse_status	definition_count	placement_count_offset	output_path
PlayerViewer	Data/Palettes/PlayerViewer/PlayerViewer.npc	2	0	c05d231da83665dd60560fc424059d66b433774afcff4d3b053b407f057d54ba	6	OK	0	0x00000004	scene/PlayerViewer/PlayerViewer.placements.tsv
AirTest	Data/Scene/Save/AirTest/AirTest.npc	2	19	aecb41b0449c6ed207bb2e2cc8b46a315d09361f0e8ad122f11dbba6b025aec8	1815	OK	2	0x00000054	scene/AirTest/AirTest.placements.tsv
AirTest01	Data/Scene/Save/AirTest01/AirTest01.npc	2	0	22ef7bfa13e0982390331773f2264233fafe32f39b2dc6ce54cd92c72d4d16b1	86	OK	2	0x00000054	scene/AirTest01/AirTest01.placements.tsv
AirTest02	Data/Scene/Save/AirTest02/AirTest02.npc	2	4	b7cf73aeca6756c987f76e4f7db8cdbd409180140ba47a290f915da802c358a4	526	OK	4	0x000000A4	scene/AirTest02/AirTest02.placements.tsv
AitTest03	Data/Scene/Save/AitTest03/AitTest03.npc	1	24	4b7841fcd4414c0237d0a8879af69f4a156e1ab426aecd2ae4a966baf2190abc	2562	OK	7	0x0000011C	scene/AitTest03/AitTest03.placements.tsv
AlbertTest	Data/Scene/Save/AlbertTest/AlbertTest.npc	2	51	bf9a4ef268f0cd2d2f7e3aaa3360e599ff6b87fa7151fe5cee3482af6b777e32	5553	OK	15	0x0000025C	scene/AlbertTest/AlbertTest.placements.tsv
bg0001	Data/Scene/Save/bg0001/bg0001.npc	2	149	026bbe32ca2b69853b1433d585de7e80bb67e7f713e086b9347fd10ad1dc2070	27607	OK	113	0x000011C8	scene/bg0001/bg0001.placements.tsv
Bg0002	Data/Scene/Save/Bg0002/Bg0002.npc	2	106	a649f4afab701df3698b9ffebbb83b77863531a9113c40b6f12f056b7f030b16	11652	OK	46	0x000006E0	scene/Bg0002/Bg0002.placements.tsv
Bg0003	Data/Scene/Save/Bg0003/bg0003.npc	2	72	8ebc9e4f7d07540f176d0f57090180c8223b1287d2310d213224050f57f2d090	8744	OK	52	0x000007D2	scene/Bg0003/bg0003.placements.tsv
bg0004	Data/Scene/Save/bg0004/bg0004.npc	2	116	dfeb9473581b79fffc6248a094296530033ff6802c7b3fd12cb0232507f58ad9	13654	OK	56	0x000008D4	scene/bg0004/bg0004.placements.tsv
bg0005	Data/Scene/Save/bg0005/bg0005.npc	2	92	cea69979d2c73a63310f222e1b32d63ddb0cdaa023827d67b11dacb86b50330c	11062	OK	65	0x000009B4	scene/bg0005/bg0005.placements.tsv
bg0006	Data/Scene/Save/bg0006/bg0006.npc	2	80	1e06b88a559bfeefebbc33f33db916721a42f25552d38f29e747f061b0945276	9930	OK	52	0x00000840	scene/bg0006/bg0006.placements.tsv
Bg0007	Data/Scene/Save/Bg0007/Bg0007.npc	2	68	59c66f9619cc270b9a81be11acefc20529737d3868e411e3f77f71f565ab1213	8562	OK	57	0x00000890	scene/Bg0007/Bg0007.placements.tsv
Bg0008	Data/Scene/Save/Bg0008/Bg0008.npc	2	76	95813ab5cc76d4bf845080b64f8c919f974d67f525de5355907d10a07018c299	8972	OK	49	0x00000756	scene/Bg0008/Bg0008.placements.tsv
Bg0009	Data/Scene/Save/Bg0009/bg0009.npc	2	63	ab96d96fffab464b71f3f379064645412ab33b487170a7b90a1cf6724c5a5251	7907	OK	44	0x000006EE	scene/Bg0009/bg0009.placements.tsv
Bg0010	Data/Scene/Save/Bg0010/Bg0010.npc	2	100	563e75f1292dfdd9ce1923b519d2a3d4ee169bf217e809cabb60eda6f192c0c0	11336	OK	40	0x0000064E	scene/Bg0010/Bg0010.placements.tsv
Bg0011	Data/Scene/Save/Bg0011/Bg0011.npc	2	56	ee8b7f45e82aac192f9c0bce93a5c8d2c311bab9b264da71b1f6c5d639caf297	6708	OK	31	0x000004E6	scene/Bg0011/Bg0011.placements.tsv
Bg0012	Data/Scene/Save/Bg0012/Bg0012.npc	2	67	b3e6c4796d03ba32403745dd8e187b76e2e1d92d0968508e9e82cb58e6596f98	8417	OK	46	0x00000738	scene/Bg0012/Bg0012.placements.tsv
