index	name	offset	end_offset	xyz_offset	x	y	z	xyz_raw_hex	f32_3	f32_4	f32_5	u16_0	u16_1	u16_2	u16_3	u16_4	u16_5	u16_6	version2_byte	set_names	template_ids	extra_triple_count	extra_triples_xyz
0	Mob_Set_01 01	0x00000056	0x000000B7	0x00000074	6917.3564453125	-7141.88330078125	7099.0751953125	da2ad845112fdfc59ad8dd45	500.0	600.0	3000.0	1	4	0	4	1	10	1	1	Mob_Set_01	1	0	
1	Mob_Set_01 02	0x000000B7	0x00000118	0x000000D5	1657.13232421875	-2028.9732666015625	10186.7294921875	3c24cf44259ffdc4eb2a1f46	500.0	600.0	3000.0	1	4	0	4	1	10	2	1	Mob_Set_01	1	0	
2	Mob_Set_01 03	0x00000118	0x00000179	0x00000136	-7265.09716796875	-8737.24609375	6665.8486328125	c708e3c5fc8408c6ca4ed045	500.0	600.0	3000.0	1	4	0	4	1	10	3	1	Mob_Set_01	1	0	
3	Mob_Set_01 04	0x00000179	0x000001DA	0x00000197	-4613.08251953125	1248.46875	9592.443359375	a92890c5000f9c44c6e11546	500.0	600.0	3000.0	1	4	0	4	1	10	4	1	Mob_Set_01	1	0	
4	Mob_Set_01 05	0x000001DA	0x0000023B	0x000001F8	249.24310302734375	8086.7568359375	11439.361328125	3c3e79430eb6fc4572bd3246	500.0	600.0	3000.0	1	4	0	4	1	10	5	1	Mob_Set_01	1	0	
5	Mob_Set_01 06	0x0000023B	0x0000029C	0x00000259	5289.490234375	4203.498046875	6422.8779296875	ec4ba545fc5b834506b7c845	500.0	600.0	3000.0	1	4	0	4	1	10	6	1	Mob_Set_01	1	0	
6	Mob_Set_02 01	0x0000029C	0x000002FD	0x000002BA	11707.4306640625	-3919.186279296875	9322.5576171875	b9ed3646fbf274c53baa1146	0.0	500.0	3000.0	0	1	0	1	1	10	7	1	Mob_Set_02	2	0	
7	Mob_Set_02 02	0x000002FD	0x0000035E	0x0000031B	1430.35546875	-1388.5987548828125	10186.728515625	60cbb2442993adc4ea2a1f46	0.0	500.0	3000.0	0	1	0	1	1	10	8	1	Mob_Set_02	2	0	
8	Mob_Set_02 03	0x0000035E	0x000003BF	0x0000037C	1311.81591796875	-2267.5009765625	10186.728515625	1cfaa34404b80dc5ea2a1f46	0.0	500.0	3000.0	0	1	0	1	1	10	9	1	Mob_Set_02	2	0	
9	Mob_Set_02 04	0x000003BF	0x00000420	0x000003DD	11647.0693359375	-3530.603515625	9322.5625	47fc3546a8a95cc540aa1146	0.0	500.0	3000.0	0	1	0	1	1	10	10	1	Mob_Set_02	2	0	
10	Mob_Set_02 05	0x00000420	0x00000481	0x0000043E	-12890.876953125	4175.97119140625	8955.82421875	826b49c6c57f82454cef0b46	0.0	500.0	3000.0	0	1	0	1	1	10	12	1	Mob_Set_02	2	0	
11	Mob_Set_02 06	0x00000481	0x000004E2	0x0000049F	-12159.009765625	4978.671875	8564.6171875	0afc3dc660959b4578d20546	0.0	500.0	3000.0	0	1	0	1	1	10	12	1	Mob_Set_02	2	0	
12	Mob_Set_01 07	0x000004E2	0x00000543	0x00000500	8664.23046875	1256.982177734375	8674.03125	ec6007466e1f9d4420880746	500.0	600.0	3000.0	1	4	0	4	1	10	14	1	Mob_Set_01	1	0	
13	NPC 01	0x00000543	0x0000057E	0x00000553	7410.2021484375	5439.107421875	10265.064453125	9e91e745dcf8a94542642046	0.0	500.0	800.0	0	1	1	1	1	10	11	1			0	
14	NPC 02	0x0000057E	0x000005B9	0x0000058E	7387.3759765625	-4681.0078125	9252.6845703125	02dbe645104892c5bd921046	0.0	500.0	800.0	0	1	1	1	1	10	15	1			0	
15	NPC 03	0x000005B9	0x000005F4	0x000005C9	-3853.83203125	-5929.70166015625	8689.0244140625	50dd70c59d4db9c519c40746	0.0	500.0	800.0	0	1	1	1	1	10	16	1			0	
16	Mob_Set_01 08	0x000005F4	0x00000655	0x00000612	11149.1884765625	-3731.763916015625	9322.55859375	c1342e46393c69c53caa1146	500.0	600.0	3000.0	1	4	0	4	1	10	17	1	Mob_Set_01	1	0	
17	Mob_Set_01 09	0x00000655	0x000006B6	0x00000673	-11132.591796875	-3819.99658203125	8341.03515625	5ef22dc6f2bf6ec524540246	500.0	600.0	3000.0	1	4	0	4	1	10	18	1	Mob_Set_01	1	0	
18	Mob_Set_01 10	0x000006B6	0x00000717	0x000006D4	-11954.375	4577.67333984375	8564.6171875	80c93ac6630d8f4578d20546	500.0	600.0	3000.0	1	4	0	4	1	10	19	1	Mob_Set_01	1	0	
