index	name	offset	end_offset	xyz_offset	x	y	z	xyz_raw_hex	f32_3	f32_4	f32_5	u16_0	u16_1	u16_2	u16_3	u16_4	u16_5	u16_6	version2_byte	set_names	template_ids	extra_triple_count	extra_triples_xyz
0	NPC 01	0x0000011E	0x00000170	0x0000012E	791.552734375	-844.801513671875	5667.001953125	60e345444c3353c40418b145	300.0	1000.0	8000.0	0	1	1	1	1	10	1		Mob_Set_01	1	0	
1	NPC 02	0x00000170	0x000001C2	0x00000180	-260.43902587890625	-657.8143310546875	5667.001953125	323882c31e7424c40418b145	300.0	1000.0	8000.0	0	1	1	1	1	10	2		Mob_Set_02	2	0	
2	Mob_Set_03 03	0x000001C2	0x00000222	0x000001E0	-4454.6552734375	6040.42919921875	7338.36376953125	3e358bc56fc3bc45e952e545	300.0	10.0	9999.0	0	1	1	1	1	10	5		Mob_Set_03	3	0	
3	Mob_Set_03 01	0x00000222	0x00000282	0x00000240	1132.4755859375	-56.13995361328125	5932.771484375	388f8d44508f60c22c66b945	300.0	50.0	20000.0	0	1	1	1	1	10	3		Mob_Set_04	4	0	
4	Mob_Set_03 02	0x00000282	0x000002E2	0x000002A0	2002.7900390625	288.72479248046875	6075.2880859375	4859fa44c65c90434edabd45	300.0	50.0	20000.0	0	1	1	1	1	10	4		Mob_Set_04	4	0	
5	Mob_Set_03 04	0x000002E2	0x00000342	0x00000300	-1701.832763671875	-1439.764892578125	6063.5732421875	a6bad4c47af8b3c4967cbd45	300.0	50.0	20000.0	0	1	1	1	1	10	6		Mob_Set_04	4	0	
6	Mob_Set_03 05	0x00000342	0x000003A2	0x00000360	-2378.97021484375	-151.24203491210938	6120.5205078125	86af14c5f63d17c32a44bf45	300.0	50.0	20000.0	0	1	1	1	1	10	7		Mob_Set_04	4	0	
7	Mob_Set_03 06	0x000003A2	0x00000402	0x000003C0	731.4932861328125	846.7950439453125	5986.3984375	92df3644e2b253443013bb45	300.0	50.0	20000.0	0	1	1	1	1	10	8		Mob_Set_04	4	0	
8	Mob_Set_03 07	0x00000402	0x00000462	0x00000420	-1168.82080078125	-1460.590087890625	5996.5	441a92c4e292b6c40064bb45	300.0	50.0	20000.0	0	1	1	1	1	10	9		Mob_Set_05	5	0	
9	Mob_Set_03 08	0x00000462	0x000004C2	0x00000480	-597.072509765625	-1573.57373046875	5931.9833984375	a44415c45cb2c4c4de5fb945	300.0	50.0	20000.0	0	1	1	1	1	10	10		Mob_Set_05	5	0	
10	Mob_Set_03 09	0x000004C2	0x00000522	0x000004E0	-1356.869384765625	-2106.28173828125	6076.18359375	d29ba9c482a403c578e1bd45	300.0	50.0	20000.0	0	1	1	1	1	10	11		Mob_Set_05	5	0	
11	Mob_Set_03 10	0x00000522	0x00000582	0x00000540	-1886.444580078125	-344.1011962890625	6039.2724609375	3aceebc4f40cacc32ebabc45	300.0	50.0	20000.0	0	1	1	1	1	10	12		Mob_Set_05	5	0	
12	Mob_Set_03 11	0x00000582	0x000005E2	0x000005A0	1320.6162109375	605.7283935546875	6013.7177734375	b813a5449e6e1744beedbb45	300.0	50.0	20000.0	0	1	1	1	1	10	13		Mob_Set_05	5	0	
