index	name	offset	end_offset	xyz_offset	x	y	z	xyz_raw_hex	f32_3	f32_4	f32_5	u16_0	u16_1	u16_2	u16_3	u16_4	u16_5	u16_6	version2_byte	set_names	template_ids	extra_triple_count	extra_triples_xyz
0	MOBSET_01 01	0x000007D4	0x00000831	0x000007F0	-20819.400390625	16992.1328125	-812.9119262695312	cda6a2c644c084465d3a4bc4	0.0	500.0	800.0	0	1	1	1	1	10	1	1	MOBSET_01	1	0	
1	MOBSET_02 01	0x00000831	0x0000088E	0x0000084D	-20820.115234375	15949.2392578125	-729.5115966796875	3ba8a2c6f5347946be6036c4	0.0	500.0	800.0	0	1	1	1	1	10	2	1	MOBSET_02	2	0	
2	MOBSET_03 01	0x0000088E	0x000008EB	0x000008AA	-20346.15625	15686.0439453125	-671.9505004882812	50f49ec62d187546d5fc27c4	0.0	300.0	800.0	0	1	1	1	1	10	4	1	MOBSET_03	3	0	
3	MOBSET_04 01	0x000008EB	0x00000948	0x00000907	-14033.58203125	15565.671875	2282.69384765625	54465bc6b03673461aab0e45	0.0	500.0	800.0	0	1	1	1	1	10	4	1	MOBSET_04	4	0	
4	MOBSET_05 01	0x00000948	0x000009A5	0x00000964	-13368.765625	14321.3505859375	2318.444091796875	10e350c667c55f461be71045	0.0	500.0	800.0	0	1	1	1	1	10	5	1	MOBSET_05	5	0	
5	MOBSET_06 01	0x000009A5	0x00000A02	0x000009C1	-13662.912109375	13335.5625	2330.84326171875	a67b55c6405e50467ead1145	0.0	500.0	800.0	0	1	1	1	1	10	6	1	MOBSET_06	6	0	
6	MOBSET_07 01	0x00000A02	0x00000A5F	0x00000A1E	-7459.3603515625	6202.85888671875	3528.978759765625	e21ae9c5dfd6c145a98f5c45	0.0	500.0	800.0	0	1	1	1	1	10	7	1	MOBSET_07	7	0	
7	MOBSET_08 01	0x00000A5F	0x00000ABC	0x00000A7B	12033.9619140625	18428.5859375	1698.468505859375	d9073c462cf98f46fe4ed444	0.0	500.0	800.0	0	1	1	1	1	10	8	1	MOBSET_08	8	0	
8	MOBSET_09 01	0x00000ABC	0x00000B19	0x00000AD8	5766.20556640625	11798.4287109375	1912.92724609375	a531b445b7593846ac1def44	0.0	500.0	800.0	0	1	1	1	1	10	9	1	MOBSET_09	9	0	
9	MOBSET_10 01	0x00000B19	0x00000B76	0x00000B35	5845.9775390625	12044.123046875	1898.466796875	d2afb6457e303c46f04eed44	0.0	500.0	800.0	0	1	1	1	1	10	10	1	MOBSET_10	10	0	
10	MOBSET_13 01	0x00000B76	0x00000BD3	0x00000B92	18403.55859375	12676.15625	1663.572509765625	1ec78f46a010464652f2cf44	0.0	500.0	800.0	0	1	1	1	1	10	11	1	MOBSET_13	13	0	
11	MOBSET_12 01	0x00000BD3	0x00000C30	0x00000BEF	18155.658203125	14343.4296875	1613.7208251953125	51d78d46b81d604611b7c944	0.0	500.0	800.0	0	1	1	1	1	10	11	1	MOBSET_12	12	0	
12	MOBSET_14 01	0x00000C30	0x00000C8D	0x00000C4C	21499.798828125	19315.32421875	1964.63525390625	99f7a746a6e696465494f544	0.0	500.0	800.0	0	1	1	1	1	10	14	1	MOBSET_14	14	0	
13	MOBSET_15 01	0x00000C8D	0x00000CEA	0x00000CA9	23590.900390625	1843.050537109375	3832.22900390625	cd4db8469e61e644aa836f45	0.0	500.0	800.0	0	1	1	1	1	10	15	1	MOBSET_15	15	0	
14	MOBSET_16 01	0x00000CEA	0x00000D47	0x00000D06	16353.51953125	-12510.14453125	5300.1083984375	14867f46947843c6dea0a545	0.0	500.0	800.0	0	1	1	1	1	10	16	1	MOBSET_16	16	0	
15	MOBSET_17 01	0x00000D47	0x00000DA4	0x00000D63	18689.20703125	-21105.962890625	6213.4228515625	6a029246ede3a4c6622bc245	0.0	500.0	800.0	0	1	1	1	1	10	17	1	MOBSET_17	17	0	
16	MOBSET_18 01	0x00000DA4	0x00000E01	0x00000DC0	6983.2900390625	-13195.974609375	3676.212646484375	523ada45e62f4ec667c36545	0.0	500.0	800.0	0	1	1	1	1	10	18	1	MOBSET_18	18	0	
