index	name	offset	end_offset	xyz_offset	x	y	z	xyz_raw_hex	f32_3	f32_4	f32_5	u16_0	u16_1	u16_2	u16_3	u16_4	u16_5	u16_6	version2_byte	set_names	template_ids	extra_triple_count	extra_triples_xyz
0	MOBSET_01 01	0x000000EA	0x00000147	0x00000106	-19883.20703125	11291.443359375	12419.638671875	6a569bc6c66d30468e0e4246	0.0	1000.0	1200.0	0	1	0	1	1	65535	1	1	MOBSET_01	1	0	
1	MOBSET_01 02	0x00000147	0x000001A4	0x00000163	-16439.19921875	14946.5546875	12860.8212890625	666e80c6388a694649f34846	0.0	1000.0	5000.0	0	1	0	1	1	65535	2	1	MOBSET_01	1	0	
2	MOBSET_01 03	0x000001A4	0x00000201	0x000001C0	-13247.3125	11470.36328125	13118.4921875	40fd4ec674393346f8f94c46	0.0	1000.0	3000.0	0	1	0	1	1	65535	3	1	MOBSET_01	1	0	
3	MOBSET_01 04	0x00000201	0x0000025E	0x0000021D	-12695.318359375	5385.77587890625	15650.724609375	465d46c6354ea845e68a7446	0.0	1000.0	1200.0	0	1	0	1	1	65535	4	1	MOBSET_01	1	0	
4	MOBSET_02 01	0x0000025E	0x000002BB	0x0000027A	-9167.8623046875	1773.3387451171875	15528.3974609375	733f0fc6d7aadd4497a17246	0.0	1000.0	1200.0	0	1	0	1	1	65535	5	1	MOBSET_02	2	0	
5	MOBSET_02 02	0x000002BB	0x00000318	0x000002D7	-7280.72021484375	-2997.535400390625	16466.88671875	c385e3c591583bc5c6a58046	0.0	1000.0	3000.0	0	1	0	1	1	65535	6	1	MOBSET_02	2	0	
6	MOBSET_02 03	0x00000318	0x00000375	0x00000334	-7232.70068359375	-5939.099609375	16251.759765625	9b05e2c5cc98b9c50aef7d46	0.0	1500.0	3500.0	0	1	0	1	1	65535	7	1	MOBSET_02	2	0	
7	MOBSET_02 04	0x00000375	0x000003D2	0x00000391	-5622.6669921875	-8608.6396484375	15972.3037109375	56b5afc58f8206c637917946	0.0	1000.0	2000.0	0	1	0	1	1	65535	8	1	MOBSET_02	2	0	
8	MOBSET_03 01	0x000003D2	0x0000042F	0x000003EE	-974.2802124023438	-7140.8681640625	15814.564453125	ef9173c4f226dfc5421a7746	0.0	1500.0	3500.0	0	1	0	1	1	65535	9	1	MOBSET_03	3	0	
9	MOBSET_03 02	0x0000042F	0x0000048C	0x0000044B	1010.0947875976562	-1131.9462890625	15598.046875	11867c44487e8dc430b87346	0.0	1000.0	2000.0	0	1	0	1	1	65535	10	1	MOBSET_03	3	0	
10	MOBSET_03 03	0x0000048C	0x000004E9	0x000004A8	-977.355224609375	-4185.15869140625	15782.630859375	bc5674c445c982c5869a7646	0.0	1000.0	3500.0	0	1	0	1	1	65535	11	1	MOBSET_03	3	0	
11	MOBSET_04 01	0x000004E9	0x00000546	0x00000505	3068.30908203125	2455.79296875	16850.1015625	f2c43f45b07c194534a48346	0.0	1000.0	1500.0	0	1	0	1	1	65535	12	1	MOBSET_04	4	0	
12	MOBSET_04 02	0x00000546	0x000005A3	0x00000562	1873.0604248046875	4730.35498046875	17359.26953125	ef21ea44d7d293458a9e8746	0.0	1000.0	1500.0	0	1	0	1	1	65535	13	1	MOBSET_04	4	0	
13	MOBSET_04 03	0x000005A3	0x00000600	0x000005BF	-1728.87939453125	9244.6328125	18104.81640625	241cd8c488721046a2718d46	0.0	1300.0	1800.0	0	1	0	1	1	65535	14	1	MOBSET_04	4	0	
14	MOBSET_04 04	0x00000600	0x0000065D	0x0000061C	-170.8936004638672	12987.083984375	18804.89453125	c3e42ac356ec4a46cae99246	1500.0	1000.0	5000.0	1	1	0	1	1	65535	15	1	MOBSET_04	4	0	
15	MOBSET_05 01	0x0000065D	0x000006BA	0x00000679	1098.1435546875	18398.078125	19091.359375	9844894428bc8f46b8269546	0.0	1000.0	3000.0	0	1	0	1	1	65535	16	1	MOBSET_05	5	0	
16	MOBSET_05 02	0x000006BA	0x00000717	0x000006D6	6149.263671875	20355.943359375	19224.111328125	1c2ac045e3079f4639309646	0.0	1300.0	3000.0	0	1	0	1	1	65535	17	1	MOBSET_05	5	0	
17	MOBSET_05 03	0x00000717	0x00000774	0x00000733	8009.25732421875	14865.1435546875	19752.0078125	0f4afa459344684604509a46	0.0	1500.0	3000.0	0	1	0	1	1	65535	18	1	MOBSET_05	5	0	
18	MOBSET_05 04	0x00000774	0x000007D1	0x00000790	11835.064453125	11573.5654296875	20003.90625	42ec384643d63446d0479c46	0.0	1000.0	5000.0	0	1	0	1	1	65535	19	1	MOBSET_05	5	0	
19	MOBSET_05 05	0x000007D1	0x0000082E	0x000007ED	13861.5	6701.4345703125	20105.095703125	009658467a6bd14531129d46	0.0	1000.0	5000.0	0	1	0	1	1	65535	20	1	MOBSET_05	5	0	
20	MOBSET_06 01	0x0000082E	0x0000088B	0x0000084A	13932.9736328125	4138.39013671875	20060.07421875	e5b359461f53814526b89c46	0.0	1000.0	8000.0	0	1	0	1	1	65535	21	1	MOBSET_06	6	0	
21	MOBSET_06 02	0x0000088B	0x000008E8	0x000008A7	-71.7771987915039	2831.194580078125	17185.484375	ed8d8fc21df33045f8428646	0.0	900.0	1000.0	0	1	0	1	1	65535	22	1	MOBSET_06	6	0	
22	MOBSET_06 03	0x000008E8	0x00000945	0x00000904	-6990.6484375	8263.00390625	14297.4677734375	3075dac5041c0146df655f46	0.0	1300.0	2000.0	0	1	0	1	1	65535	24	1	MOBSET_06	6	0	
