index	name	offset	end_offset	xyz_offset	x	y	z	xyz_raw_hex	f32_3	f32_4	f32_5	u16_0	u16_1	u16_2	u16_3	u16_4	u16_5	u16_6	version2_byte	set_names	template_ids	extra_triple_count	extra_triples_xyz
0	Mob_Set_01	0x000017CA	0x00001823	0x000017E2	-7480.60302734375	-7629.1123046875	0.0006000000284984708	d3c4e9c5e668eec552491d3a	0.0	1500.0	20000.0	0	1	1	1	1	0	6	1	NewUnit_1	1	0	
1	Mob_Set_04	0x00001823	0x0000187C	0x0000183B	-7488.83251953125	1541.362060546875	0.22370000183582306	a906eac596abc0449d11653e	0.0	800.0	20000.0	0	1	1	1	1	0	7	1	NewUnit_4	4	0	
2	Mob_Set_02	0x0000187C	0x000018D5	0x00001894	-7544.443359375	-4808.5166015625	0.0006000000284984708	8cc3ebc5224496c552491d3a	0.0	800.0	20000.0	0	1	1	1	1	0	8	1	NewUnit_2	2	0	
3	Mob_Set_05	0x000018D5	0x0000192E	0x000018ED	-7555.51806640625	4280.4599609375	0.22370000183582306	251cecc5aec385459d11653e	0.0	800.0	20000.0	0	1	1	1	1	0	9	1	NewUnit_5	5	0	
4	Mob_Set_03	0x0000192E	0x00001987	0x00001946	-7519.3876953125	-1636.7491455078125	0.0006000000284984708	1afbeac5f997ccc452491d3a	0.0	800.0	20000.0	0	1	1	1	1	0	10	1	NewUnit_3	3	0	
5	Mob_Set_06	0x00001987	0x000019E0	0x0000199F	-7553.95654296875	7527.3623046875	0.22370000183582306	a70fecc5e63aeb459d11653e	0.0	800.0	20000.0	0	1	1	1	1	0	1	1	NewUnit_6	6	0	
6	Mob_Set_12	0x000019E0	0x00001A3B	0x000019F8	-3064.901123046875	7750.828125	0.33525002002716064	6b8e3fc5a036f245e4a5ab3e	0.0	800.0	20000.0	0	1	1	1	1	0	2	1	NewUnit_12	12	0	
7	Mob_Set_07	0x00001A3B	0x00001A94	0x00001A53	-2991.547607421875	-7405.646484375	0.11214999854564667	c3f83ac52c6de7c5e6aee53d	0.0	1500.0	20000.0	0	1	1	1	1	0	3	1	NewUnit_7	7	0	
8	Mob_Set_10	0x00001A94	0x00001AEF	0x00001AAC	-2999.777099609375	1764.828369140625	0.33525002002716064	6f7c3bc5829adc44e4a5ab3e	0.0	800.0	20000.0	0	1	1	1	1	0	4	1	NewUnit_10	10	0	
9	Mob_Set_08	0x00001AEF	0x00001B48	0x00001B07	-3055.387939453125	-4585.05078125	0.11214999854564667	35f63ec568488fc5e6aee53d	0.0	800.0	20000.0	0	1	1	1	1	0	5	1	NewUnit_8	8	0	
10	Mob_Set_11	0x00001B48	0x00001BA3	0x00001B60	-3066.462646484375	4503.92578125	0.33525002002716064	67a73fc568bf8c45e4a5ab3e	0.0	800.0	20000.0	0	1	1	1	1	0	11	1	NewUnit_11	11	0	
11	Mob_Set_09	0x00001BA3	0x00001BFC	0x00001BBB	-3030.332275390625	-1413.2828369140625	0.11214999854564667	51653dc50da9b0c4e6aee53d	0.0	800.0	20000.0	0	1	1	1	1	0	12	1	NewUnit_9	9	0	
12	Mob_Set_13	0x00001BFC	0x00001C57	0x00001C14	-1244.6181640625	-7444.494140625	0.11214996874332428	c8939bc4f4a3e8c5e2aee53d	0.0	1500.0	20000.0	0	1	1	1	1	0	13	1	NewUnit_13	13	0	
13	Mob_Set_14	0x00001C57	0x00001CB2	0x00001C6F	-1308.45849609375	-4623.8984375	0.11214996874332428	ac8ea3c4307f90c5e2aee53d	0.0	800.0	20000.0	0	1	1	1	1	0	14	1	NewUnit_14	14	0	
14	Mob_Set_15	0x00001CB2	0x00001D0D	0x00001CCA	-1283.40283203125	-1452.130615234375	0.11214996874332428	e46ca0c42e84b5c4e2aee53d	0.0	800.0	20000.0	0	1	1	1	1	0	15	1	NewUnit_15	15	0	
15	Mob_Set_16	0x00001D0D	0x00001D68	0x00001D25	-1252.84765625	1725.9805908203125	0.33525002002716064	209b9cc461bfd744e4a5ab3e	0.0	800.0	20000.0	0	1	1	1	1	0	16	1	NewUnit_16	16	0	
16	Mob_Set_17	0x00001D68	0x00001DC3	0x00001D80	-1319.533203125	4465.078125	0.33525002002716064	10f1a4c4a0888b45e4a5ab3e	0.0	800.0	20000.0	0	1	1	1	1	0	17	1	NewUnit_17	17	0	
17	Mob_Set_18	0x00001DC3	0x00001E1E	0x00001DDB	-1317.9716796875	7711.98046875	0.33525002002716064	18bfa4c4d8fff045e4a5ab3e	0.0	800.0	20000.0	0	1	1	1	1	0	18	1	NewUnit_18	18	0	
