index	name	offset	end_offset	xyz_offset	x	y	z	xyz_raw_hex	f32_3	f32_4	f32_5	u16_0	u16_1	u16_2	u16_3	u16_4	u16_5	u16_6	version2_byte	set_names	template_ids	extra_triple_count	extra_triples_xyz
0	NPC 01	0x0000007E	0x000000C7	0x0000008E	1720.0911865234375	-46.50628662109375	1410.28759765625	eb02d74470063ac23449b044	300.0	500.0	1000.0	1	1	0	1	1	5	1	1	MOB_1	1	0	
1	NPC 02	0x000000C7	0x00000110	0x000000D7	3708.7509765625	-46.50628662109375	1422.635009765625	04cc674570063ac252d4b144	500.0	800.0	1000.0	1	1	0	1	1	5	2	1	MOB_1	1	0	
2	NPC 03	0x00000110	0x00000159	0x00000120	3708.7509765625	1308.7923583984375	1583.5714111328125	04cc67455b99a34449f2c544	500.0	800.0	1000.0	1	1	0	1	1	5	3	1	MOB_1	1	0	
3	NPC 04	0x00000159	0x000001A2	0x00000169	2557.05126953125	1021.5633544921875	1371.4918212890625	d2d01f450e647f44bd6fab44	500.0	800.0	1000.0	1	1	0	1	1	5	4	1	MOB_1	1	0	
4	NPC 05	0x000001A2	0x000001EB	0x000001B2	943.16259765625	5926.77001953125	3064.546875	68ca6b442936b945c0883f45	100.0	1000.0	1300.0	1	1	0	1	1	5	5	1	MOB_2	2	0	
5	NPC 06	0x000001EB	0x00000234	0x000001FB	-294.44952392578125	4749.98291015625	2925.492431640625	8a3993c3dd6f9445e1d73645	100.0	1000.0	1300.0	1	1	0	1	1	5	6	1	MOB_2	2	0	
6	NPC 07	0x00000234	0x0000027D	0x00000244	-2319.3251953125	4749.98291015625	2869.994873046875	34f510c5dd6f9445eb5f3345	100.0	1000.0	1300.0	1	1	0	1	1	5	7	1	MOB_2	2	0	
7	NPC 08	0x0000027D	0x000002C6	0x0000028D	-4014.4716796875	3915.917724609375	2652.858642578125	8ce77ac5afbe7445bdcd2545	100.0	1000.0	1300.0	1	1	0	1	1	5	8	1	MOB_3	3	0	
8	NPC 09	0x000002C6	0x0000030F	0x000002D6	-6168.0224609375	2861.83056640625	2343.451416015625	2ec0c0c54add324539771245	100.0	1000.0	1300.0	1	1	0	1	1	5	9	1	MOB_3	3	0	
9	NPC 10	0x0000030F	0x00000358	0x0000031F	-7741.26171875	1210.7657470703125	2239.9912109375	18eaf1c581589744dcff0b45	100.0	1000.0	1300.0	1	1	0	1	1	5	10	1	MOB_3	3	0	
10	NPC 11	0x00000358	0x000003A1	0x00000368	-8984.201171875	-4641.373046875	2493.109130859375	ce600cc6fc0a91c5bfd11b45	100.0	1000.0	1300.0	1	1	0	1	1	5	11	1	MOB_4	4	0	
11	NPC 12	0x000003A1	0x000003EA	0x000003B1	-8520.224609375	-7067.36962890625	3434.396240234375	e62005c6f5dadcc557a65645	100.0	1000.0	1300.0	1	1	0	1	1	5	12	1	MOB_4	4	0	
12	NPC 13	0x000003EA	0x00000433	0x000003FA	2770.920654296875	-8237.912109375	791.6306762695312	bb2e2d45a6b700c65de84544	800.0	1000.0	1300.0	1	1	0	1	1	5	13	1	MOB_1	1	0	
13	NPC 14	0x00000433	0x0000047C	0x00000443	8632.763671875	-7252.9013671875	1404.8656005859375	0ee3064636a7e2c5b39baf44	300.0	500.0	1500.0	0	1	0	1	1	10	14	1	MOB_4	4	0	
