index	name	offset	end_offset	xyz_offset	x	y	z	xyz_raw_hex	f32_3	f32_4	f32_5	u16_0	u16_1	u16_2	u16_3	u16_4	u16_5	u16_6	version2_byte	set_names	template_ids	extra_triple_count	extra_triples_xyz
0	NPC 01	0x000000E6	0x00000137	0x000000F6	12972.1650390625	12090.6943359375	2596.694580078125	a9b04a46c7ea3c461d4b2245	0.0	5.0	800.0	0	1	1	1	1	10	1	1	NewUnit_6	2	0	
1	NPC 02	0x00000137	0x00000188	0x00000147	9705.6708984375	12404.1923828125	2418.521728515625	afa61746c5d0414659281745	0.0	500.0	8000.0	0	1	1	1	1	10	2	1	NewUnit_5	1	0	
2	NPC 03	0x00000188	0x000001D9	0x00000198	11257.3427734375	11617.3134765625	2906.977783203125	5fe52f4641853546a5af3545	0.0	300.0	12000.0	0	1	1	1	1	10	3	1	NewUnit_1	3	0	
3	NPC 04	0x000001D9	0x0000022A	0x000001E9	11612.6435546875	12411.2236328125	2916.653076171875	93723546e5ec4146734a3645	0.0	10.0	12000.0	0	1	1	1	1	10	4	1	NewUnit_1	3	0	
4	NPC 05	0x0000022A	0x0000027B	0x0000023A	11029.98828125	12414.4951171875	3137.704833984375	f4572c46fbf94146471b4445	0.0	10.0	12000.0	0	1	1	1	1	10	5	1	NewUnit_1	3	0	
5	NPC 06	0x0000027B	0x000002CC	0x0000028B	11584.4716796875	11215.74609375	3137.704833984375	e3013546fc3e2f46471b4445	0.0	10.0	12000.0	0	1	1	1	1	10	6	1	NewUnit_1	3	0	
6	NPC 07	0x000002CC	0x0000031D	0x000002DC	10575.255859375	13382.0927734375	3075.705322265625	063d25465f185146493b4045	0.0	10.0	12000.0	0	1	1	1	1	10	7	1	NewUnit_2	4	0	
7	NPC 08	0x0000031D	0x0000036E	0x0000032D	9894.5859375	11617.3134765625	3370.431396484375	589a1a4641853546e7a65245	0.0	300.0	12000.0	0	1	1	1	1	10	8	1	NewUnit_1	3	0	
8	NPC 09	0x0000036E	0x000003BF	0x0000037E	9894.5859375	12718.703125	3007.178466796875	589a1a46d0ba4646dbf23b45	0.0	300.0	12000.0	0	1	1	1	1	10	9	1	NewUnit_1	3	0	
9	NPC 10	0x000003BF	0x00000410	0x000003CF	8642.8486328125	15314.39453125	4227.3330078125	650b074694496f46aa1a8445	0.0	300.0	12000.0	0	1	1	1	1	10	10	1	NewUnit_1	3	0	
10	MOBSET_5 01	0x00000410	0x00000469	0x0000042A	13184.865234375	11767.4052734375	2621.264404296875	76034e469fdd37463bd42345	0.0	300.0	12000.0	0	1	1	1	1	10	11	1	MOBSET_5	5	0	
11	MOBSET_5 02	0x00000469	0x000004C2	0x00000483	12806.1044921875	12419.44140625	2575.35546875	6b184846c40d4246b0f52045	0.0	300.0	12000.0	0	1	1	1	1	10	12	1	MOBSET_5	5	0	
12	MOBSET_6 01	0x000004C2	0x0000051B	0x000004DC	12891.244140625	12479.1826171875	2578.07177734375	fa6c4946bbfc424626212145	0.0	300.0	12000.0	0	1	1	1	1	10	13	1	MOBSET_6	6	0	
13	MOBSET_6 02	0x0000051B	0x00000574	0x00000535	13236.41015625	11834.1181640625	2621.95654296875	a4d14e4679e838464edf2345	0.0	300.0	12000.0	0	1	1	1	1	10	14	1	MOBSET_6	6	0	
