index	name	offset	end_offset	xyz_offset	x	y	z	xyz_raw_hex	f32_3	f32_4	f32_5	u16_0	u16_1	u16_2	u16_3	u16_4	u16_5	u16_6	version2_byte	set_names	template_ids	extra_triple_count	extra_triples_xyz
0	Mob_Set_01 01	0x00000736	0x00000797	0x00000754	22558.986328125	1303.763916015625	-1025.087158203125	f93db04672f8a244ca2280c4	0.0	500.0	800.0	0	1	1	1	1	10	1	1	Mob_Set_01	1	0	
1	Mob_Set_02 01	0x00000797	0x000007F8	0x000007B5	21246.3828125	-468.83441162109375	-875.3712158203125	c4fca546ce6aeac3c2d75ac4	0.0	500.0	800.0	0	1	1	1	1	10	2	1	Mob_Set_02	2	0	
2	Mob_Set_03 01	0x000007F8	0x00000859	0x00000816	17955.75390625	4143.53173828125	-478.7654113769531	82478c46417c8145f961efc3	0.0	500.0	800.0	0	1	1	1	1	10	3	1	Mob_Set_03	3	0	
3	Mob_Set_04 01	0x00000859	0x000008BA	0x00000877	2832.931640625	-2644.0205078125	5472.544921875	e80e3145544025c55c04ab45	0.0	500.0	800.0	0	1	1	1	1	10	4	1	Mob_Set_04	4	0	
4	Mob_Set_05 01	0x000008BA	0x0000091B	0x000008D8	-20021.14453125	11564.8544921875	8030.34326171875	4a6a9cc66bb33446bff2fa45	0.0	500.0	800.0	0	1	1	1	1	10	5	1	Mob_Set_05	5	0	
5	Mob_Set_06 01	0x0000091B	0x0000097C	0x00000939	-7400.94775390625	19601.609375	6363.58447265625	9547e7c538239946addcc645	0.0	500.0	800.0	0	1	1	1	1	10	6	1	Mob_Set_06	6	0	
6	Mob_Set_07 01	0x0000097C	0x000009DD	0x0000099A	9248.6923828125	-22342.712890625	5964.234375	c58210466d8daec6e061ba45	0.0	500.0	800.0	0	1	1	1	1	10	7	1	Mob_Set_07	7	0	
7	Mob_Set_08 01	0x000009DD	0x00000A3E	0x000009FB	-14194.6572265625	-14437.2705078125	12966.2255859375	a1ca5dc6159561c6e7984a46	0.0	500.0	800.0	0	1	1	1	1	10	8	1	Mob_Set_08	8	0	
8	Mob_Set_09 01	0x00000A3E	0x00000A9F	0x00000A5C	-15180.6962890625	-10721.98046875	13292.748046875	c9326dc6ec8727c6feb24f46	0.0	500.0	800.0	0	1	1	1	1	10	9	1	Mob_Set_09	9	0	
9	Mob_Set_10 01	0x00000A9F	0x00000B00	0x00000ABD	21667.310546875	-5974.95703125	1673.998291015625	9f46a946a8b7bac5f23fd144	0.0	500.0	800.0	0	1	1	1	1	10	10	1	Mob_Set_10	10	0	
