index	name	offset	end_offset	xyz_offset	x	y	z	xyz_raw_hex	f32_3	f32_4	f32_5	u16_0	u16_1	u16_2	u16_3	u16_4	u16_5	u16_6	version2_byte	set_names	template_ids	extra_triple_count	extra_triples_xyz
0	Mob_Set_01 01	0x000004DE	0x0000053F	0x000004FC	-22991.3828125	9462.2099609375	203.493408203125	c49eb3c6d7d81346507e4b43	0.0	500.0	800.0	0	1	1	1	1	10	1	0	Mob_Set_01	1	0	
1	Mob_Set_02 01	0x0000053F	0x000005A0	0x0000055D	-22845.056640625	8615.771484375	194.03033447265625	1d7ab2c6169f0646c4074243	0.0	500.0	800.0	0	1	1	1	1	10	2	0	Mob_Set_02	2	0	
2	Mob_Set_03 01	0x000005A0	0x00000601	0x000005BE	-18372.865234375	9032.3837890625	853.9386596679688	bb898fc689210d46137c5544	0.0	500.0	800.0	0	1	1	1	1	10	3	0	Mob_Set_03	3	0	
3	Mob_Set_04 01	0x00000601	0x00000662	0x0000061F	-18512.8203125	7899.02978515625	786.7373657226562	a4a190c63dd8f64531af4444	0.0	500.0	800.0	0	1	1	1	1	10	4	0	Mob_Set_04	4	0	
4	Mob_Set_05 01	0x00000662	0x000006C3	0x00000680	-21326.20703125	12140.0498046875	205.517578125	6a9ca6c633b03d4680844d43	0.0	500.0	800.0	0	1	1	1	1	10	5	0	Mob_Set_05	5	0	
5	Mob_Set_06 01	0x000006C3	0x00000724	0x000006E1	-7935.033203125	13012.05859375	211.00250244140625	44f8f7c53c504b46a4005343	0.0	500.0	800.0	0	1	1	1	1	10	6	0	Mob_Set_06	6	0	
6	Mob_Set_07 01	0x00000724	0x00000785	0x00000742	-3633.3154296875	14570.30859375	300.83612060546875	0c1563c53ca96346066b9643	0.0	500.0	800.0	0	1	1	1	1	10	7	0	Mob_Set_07	7	0	
7	Mob_Set_08 01	0x00000785	0x000007E6	0x000007A3	-692.038818359375	23234.900390625	522.2822265625	7c022dc4cd85b54610920244	0.0	500.0	800.0	0	1	1	1	1	10	8	0	Mob_Set_08	8	0	
8	Mob_Set_09 01	0x000007E6	0x00000847	0x00000804	21999.470703125	18014.3046875	186.6009521484375	f1deab469cbc8c46d8993a43	0.0	500.0	800.0	0	1	1	1	1	10	9	0	Mob_Set_09	9	0	
9	Mob_Set_10 01	0x00000847	0x000008A8	0x00000865	20604.9453125	3201.219970703125	106.66877746582031	e4f9a046851348456a56d542	0.0	500.0	800.0	0	1	1	1	1	10	10	0	Mob_Set_10	10	0	
10	Mob_Set_11 01	0x000008A8	0x00000909	0x000008C6	14696.6708984375	-20472.603515625	528.2822875976562	afa2654635f19fc611120444	0.0	500.0	800.0	0	1	1	1	1	10	11	0	Mob_Set_11	11	0	
11	Mob_Set_12 01	0x00000909	0x0000096A	0x00000927	15842.923828125	-22614.060546875	838.092041015625	b28b77461facb0c6e4855144	0.0	500.0	800.0	0	1	1	1	1	10	12	0	Mob_Set_12	12	0	
12	Mob_Set_13 01	0x0000096A	0x000009CB	0x00000988	20509.09375	-10660.8486328125	787.61328125	303aa046659326c640e74444	0.0	500.0	800.0	0	1	1	1	1	10	13	0	Mob_Set_13	13	0	
13	Mob_Set_14 01	0x000009CB	0x00000A2C	0x000009E9	1558.34765625	-17090.45703125	1355.9678955078125	20cbc244ea8485c6f97ea944	0.0	500.0	800.0	0	1	1	1	1	10	14	0	Mob_Set_14	14	0	
14	Mob_Set_15 01	0x00000A2C	0x00000A8D	0x00000A4A	2631.402587890625	-17077.451171875	1385.6556396484375	71762445e76a85c6fb34ad44	0.0	500.0	800.0	0	1	1	1	1	10	15	0	Mob_Set_15	15	0	
15	Mob_Set_16 01	0x00000A8D	0x00000AEE	0x00000AAB	-19775.51953125	-24192.35546875	4744.662109375	0a7f9ac6b600bdc64c459445	0.0	500.0	800.0	0	1	1	1	1	10	16	0	Mob_Set_16	16	0	
16	Mob_Set_17 01	0x00000AEE	0x00000B4F	0x00000B0C	-17838.099609375	-24735.98828125	4739.8359375	335c8bc6fa3fc1c6b01e9445	0.0	500.0	800.0	0	1	1	1	1	10	17	0	Mob_Set_17	17	0	
17	Mob_Set_18 01	0x00000B4F	0x00000BB0	0x00000B6D	-2956.0087890625	13285.1748046875	224.78668212890625	24c038c5b3944f4664c96043	0.0	500.0	800.0	0	1	1	1	1	10	18	0	Mob_Set_18	18	0	
18	Mob_Set_19 01	0x00000BB0	0x00000C11	0x00000BCE	18684.4140625	13727.3388671875	171.5142364501953	d4f891465b7d5646a5832b43	0.0	500.0	800.0	0	1	1	1	1	10	19	0	Mob_Set_19	19	0	
19	Mob_Set_20 01	0x00000C11	0x00000C72	0x00000C2F	19726.763671875	14340.486328125	170.35708618164062	871d9a46f21160466a5b2a43	0.0	500.0	800.0	0	1	1	1	1	10	20	0	Mob_Set_20	20	0	
20	Mob_Set_21 01	0x00000C72	0x00000CD3	0x00000C90	-5466.26904296875	17132.521484375	320.59844970703125	27d2aac50bd985469a4ca043	0.0	500.0	800.0	0	1	1	1	1	10	21	0	Mob_Set_21	21	0	
21	Mob_Set_22 01	0x00000CD3	0x00000D34	0x00000CF1	-3148.8876953125	17869.361328125	528.518798828125	34ce44c5b99a8b4634210444	0.0	500.0	800.0	0	1	1	1	1	10	22	0	Mob_Set_22	22	0	
22	Mob_Set_23 01	0x00000D34	0x00000D95	0x00000D52	13556.6904296875	9808.6171875	182.23294067382812	c3d2534678421946a23b3643	0.0	500.0	800.0	0	1	1	1	1	10	23	0	Mob_Set_23	23	0	
23	Mob_Set_24 01	0x00000D95	0x00000DF6	0x00000DB3	3185.20166015625	-11031.919921875	722.4468383789062	3a134745ae5f2cc6999c3444	0.0	500.0	800.0	0	1	1	1	1	10	24	0	Mob_Set_24	24	0	
24	Mob_Set_25 01	0x00000DF6	0x00000E57	0x00000E14	1240.0302734375	-12036.2822265625	493.0338439941406	f8009b4421113cc65584f643	0.0	500.0	800.0	0	1	1	1	1	10	25	0	Mob_Set_25	25	0	
25	Mob_Set_26 01	0x00000E57	0x00000EB8	0x00000E75	-18378.6015625	13703.6337890625	228.25653076171875	34958fc6891e5646ac416443	800.0	2500.0	3000.0	1	3	1	3	1	10	26	0	Mob_Set_26	26	0	
26	Mob_Set_26 02	0x00000EB8	0x00000F19	0x00000ED6	-16354.328125	15675.1552734375	352.23455810546875	50897fc69fec7446061eb043	800.0	2500.0	3000.0	1	3	1	3	1	10	27	0	Mob_Set_26	26	0	
27	Mob_Set_26 03	0x00000F19	0x00000F7A	0x00000F37	-16898.935546875	18050.25	360.9728698730469	df0584c680048d46877cb443	800.0	2500.0	3000.0	1	3	1	3	1	10	28	0	Mob_Set_26	26	0	
28	Mob_Set_26 04	0x00000F7A	0x00000FDB	0x00000F98	-14765.8896484375	19668.9453125	123.70668029785156	8fb766c6e4a99946d269f742	800.0	2500.0	3000.0	1	3	1	3	1	10	29	0	Mob_Set_26	26	0	
29	Mob_Set_26 05	0x00000FDB	0x0000103C	0x00000FF9	-12103.4130859375	18973.0234375	131.75596618652344	a71d3dc60c3a944687c10343	800.0	2500.0	3000.0	1	3	1	3	1	10	30	0	Mob_Set_26	26	0	
30	Mob_Set_26 06	0x0000103C	0x0000109D	0x0000105A	-9213.9189453125	17793.07421875	127.88978576660156	adf70fc626028b4692c7ff42	800.0	2500.0	3000.0	1	3	1	3	1	10	31	0	Mob_Set_26	26	0	
31	Mob_Set_26 07	0x0000109D	0x000010FE	0x000010BB	-6551.392578125	16930.77734375	105.92129516601562	24bbccc58e458446b4d7d342	800.0	2500.0	3000.0	1	3	1	3	1	10	32	0	Mob_Set_26	26	0	
32	Mob_Set_26 08	0x000010FE	0x0000115F	0x0000111C	-2739.139892578125	16068.482421875	394.3738098144531	3d322bc5ee117b46d92fc543	800.0	2500.0	3000.0	1	3	1	3	1	10	33	0	Mob_Set_26	26	0	
33	Mob_Set_26 09	0x0000115F	0x000011C0	0x0000117D	815.9365234375	18065.376953125	511.92828369140625	f0fb4b44c1228d46d2f6ff43	800.0	2500.0	3000.0	1	3	1	3	1	10	34	0	Mob_Set_26	26	0	
34	Mob_Set_26 10	0x000011C0	0x00001221	0x000011DE	3796.150390625	18504.091796875	480.8487548828125	68426d452f909046a46cf043	800.0	2500.0	3000.0	1	3	1	3	1	10	35	0	Mob_Set_26	26	0	
35	Mob_Set_26 11	0x00001221	0x00001282	0x0000123F	7215.07568359375	17354.365234375	479.9014587402344	9b78e145bb94874663f3ef43	800.0	2500.0	3000.0	1	3	1	3	1	10	36	0	Mob_Set_26	26	0	
36	Mob_Set_26 12	0x00001282	0x000012E3	0x000012A0	1423.71337890625	24198.26953125	329.9720764160156	d4f6b1448a0cbd466dfca443	1500.0	3500.0	4000.0	1	5	1	5	1	10	37	0	Mob_Set_26	26	0	
