n_ID	n_TYPE	s_STATISTIC	s_CONDITIONS	s_FREQUENCY	s_TIP	n_POINTS	n_LEVEL	n_REWARD_ITEM	n_ITEMQUANTITY	f_REWARD_EXP	f_REWARD_SP	f_REWARD_MONEY	n_REWARD_TOKEN	n_REWARD_GREATTITLE	n_BROADCASTING	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
1	1613	GETITEM_ANYWAY(2400833)	GO	1	1	10	30	2605001	2	0.0	0.0	0.0	200	0	7	1.03.0000	1.07.0000	1.07.0000	1.07.0000
10	1613	GETITEM_ANYWAY(2606007)	GO	1	10	15	40	2605001	4	0.0	0.0	0.0	500	0	7	1.03.0000	1.07.0000	1.07.0000	1.07.0000
20	1613	ADD_PENPAL	GO	5	20	10	45	2605001	2	0.0	0.0	0.0	200	0	7	1.03.0000	1.07.0000	1.07.0000	1.07.0000
30	1613	GETITEM_ANYWAY(2600365)	GO	3	30	15	50	2605001	4	0.0	0.0	0.0	500	0	7	1.03.0000	1.07.0000	1.07.0000	1.07.0000
40	1613	WINE_MAKE(2405001,1)\nWINE_MAKE(2405002,2)\nWINE_MAKE(2405003,3)\nWINE_MAKE(2405004,4)\nWINE_MAKE(2405005,5)\nWINE_MAKE(2405006,6)\nWINE_MAKE(2405007,7)\nWINE_MAKE(2405008,8)\nWINE_MAKE(2405009,9)	GO\nGO\nGO\nGO\nGO\nGO\nGO\nGO\nGO	1\n1\n1\n1\n1\n1\n1\n1\n1	8001\n8002\n8003\n8004\n8005\n8006\n8007\n8008\n8009	10	55	2605001	2	0.0	0.0	0.0	200	0	7	1.03.0000	1.07.0000	1.07.0000	1.07.0000
50	1613	COLLECT_BOOK(201,2)\nCOLLECT_BOOK(202,2)\nCOLLECT_BOOK(203,2)\nCOLLECT_BOOK(204,2)\nCOLLECT_BOOK(205,2)	GO\nGO\nGO\nGO\nGO	1\n1\n1\n1\n1	8011\n8012\n8013\n8014\n8015	15	60	2605001	4	0.0	0.0	0.0	500	0	7	1.03.0000	1.07.0000	1.07.0000	1.07.0000
60	1613	ENHANCE_SUCCESS(0)	GO	30	60	10	65	2605001	2	0.0	0.0	0.0	200	5	7	1.03.0000	1.07.0000	1.07.0000	1.07.0000
70	1613	GETITEM_ANYWAY(2400851)	GO	1	70	10	70	2605001	4	0.0	0.0	0.0	500	0	7	1.03.0000	1.07.0000	1.07.0000	1.07.0000
80	1613	COLLECT_BOOK(1008,8)	GO	1	80	10	75	2605001	4	0.0	0.0	0.0	500	0	7	1.03.0000	1.07.0000	1.07.0000	1.07.0000
90	1613	GETITEM_ANYWAY(2606021)	GO	1	90	15	80	2605001	4	0.0	0.0	0.0	500	0	7	1.03.0000	1.07.0000	1.07.0000	1.07.0000
100	1613	GETITEM_ANYWAY(2600364)	GO	1	100	20	80	2605001	4	0.0	0.0	0.0	500	0	7	1.03.0000	1.07.0000	1.07.0000	1.07.0000
110	1613	ACHIEVEMENT(1201)\nACHIEVEMENT(1202)\nACHIEVEMENT(1203)\nACHIEVEMENT(1204)\nACHIEVEMENT(1205)\nACHIEVEMENT(1206)	GO\nGO\nGO\nGO\nGO\nGO	1\n1\n1\n1\n1\n1	8031\n8032\n8033\n8034\n8035\n8036	20	85	2605001	4	0.0	0.0	0.0	1000	0	7	1.03.0000	1.07.0000	1.07.0000	1.07.0000
120	1613	KILLMOB(1191)	TEAM_DIYING(0,0,1191)	1	120	10	90	2605001	4	0.0	0.0	0.0	500	0	7	1.03.0000	1.07.0000	1.07.0000	1.07.0000
