n_ID	s_NAME	n_TYPE	n_EQUIPTYPE	n_MOB_RANK	n_LEVEL_MIN	n_LEVEL_MAX	n_WEIGHT	n_EFFECT	n_ADDITIONAL_LEVEL	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
2001	良品	2	7	3	1	255	8	18001	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2002	精品	2	7	66	1	255	4	18002	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2003	逸品	2	7	4292	1	255	2	18003	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2004	極品	2	7	128	1	255	1	18004	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2005	良品	2	7	3	1	255	8	18005	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2006	精品	2	7	66	1	255	4	18006	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2007	逸品	2	7	4292	1	255	2	18007	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2008	極品	2	7	128	1	255	1	18008	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2009	良品	2	7	3	1	255	8	18009	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2010	精品	2	7	66	1	255	4	18010	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2011	逸品	2	7	4292	1	255	2	18011	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2012	極品	2	7	128	1	255	1	18012	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2013	良品	2	7	3	1	255	8	18013	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2014	精品	2	7	66	1	255	4	18014	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2015	逸品	2	7	4292	1	255	2	18015	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2016	極品	2	7	128	1	255	1	18016	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2017	良品	2	7	3	1	255	8	18017	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2018	精品	2	7	66	1	255	4	18018	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2019	逸品	2	7	4292	1	255	2	18019	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2020	極品	2	7	128	1	255	1	18020	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2021	良品	2	7	3	1	255	8	18021	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2022	精品	2	7	66	1	255	4	18022	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2023	逸品	2	7	4292	1	255	2	18023	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2024	極品	2	7	128	1	255	1	18024	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2025	良品	2	7	3	1	255	8	18025	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2026	精品	2	7	66	1	255	4	18026	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2027	逸品	2	7	4292	1	255	2	18027	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2028	極品	2	7	128	1	255	1	18028	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2029	良品	2	7	3	1	255	8	18029	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2030	精品	2	7	66	1	255	4	18030	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2031	逸品	2	7	4292	1	255	2	18031	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2032	極品	2	7	128	1	255	1	18032	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2033	良品	2	7	3	1	255	100	18033	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2034	精品	2	7	66	1	255	60	18034	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2035	逸品	2	7	4292	1	255	30	18035	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2036	極品	2	7	128	1	255	15	18036	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2037	良品	2	7	3	1	255	100	18037	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2038	精品	2	7	66	1	255	60	18038	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2039	逸品	2	7	4292	1	255	30	18039	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2040	極品	2	7	128	1	255	15	18040	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2041	良品	2	7	3	1	255	100	18041	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2042	精品	2	7	66	1	255	60	18042	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2043	逸品	2	7	4292	1	255	30	18043	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2044	極品	2	7	128	1	255	15	18044	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2045	良品	2	7	3	1	255	100	18045	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2046	精品	2	7	66	1	255	60	18046	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2047	逸品	2	7	4292	1	255	30	18047	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2048	極品	2	7	128	1	255	15	18048	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2049	良品	2	7	3	1	255	100	18049	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2050	精品	2	7	66	1	255	60	18050	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2051	逸品	2	7	4292	1	255	30	18051	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2052	極品	2	7	128	1	255	15	18052	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2053	良品	2	7	3	1	255	100	18053	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2054	精品	2	7	66	1	255	60	18054	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2055	逸品	2	7	4292	1	255	30	18055	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2056	極品	2	7	128	1	255	15	18056	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2057	良品	2	7	3	1	255	100	18057	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2058	精品	2	7	66	1	255	60	18058	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2059	逸品	2	7	4292	1	255	30	18059	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2060	極品	2	7	128	1	255	15	18060	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2061	良品	2	7	3	1	255	100	18061	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2062	精品	2	7	66	1	255	60	18062	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2063	逸品	2	7	4292	1	255	30	18063	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2064	極品	2	7	128	1	255	15	18064	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2065	良品	2	7	3	1	255	100	18065	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2066	精品	2	7	66	1	255	60	18066	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2067	逸品	2	7	4292	1	255	30	18067	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2068	極品	2	7	128	1	255	15	18068	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2069	良品	2	7	3	1	255	100	18069	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2070	精品	2	7	66	1	255	60	18070	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2071	逸品	2	7	4292	1	255	30	18071	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2072	極品	2	7	128	1	255	15	18072	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2073	良品	2	7	3	1	255	100	18073	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2074	精品	2	7	66	1	255	60	18074	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2075	逸品	2	7	4292	1	255	30	18075	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2076	極品	2	7	128	1	255	15	18076	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2077	良品	2	7	3	1	255	100	18077	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2078	精品	2	7	66	1	255	60	18078	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2079	逸品	2	7	4292	1	255	30	18079	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2080	極品	2	7	128	1	255	15	18080	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2081	良品	2	7	3	1	255	100	18081	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2082	精品	2	7	66	1	255	60	18082	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2083	逸品	2	7	4292	1	255	30	18083	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2084	極品	2	7	128	1	255	15	18084	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2085	良品	2	7	3	1	255	100	18085	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2086	精品	2	7	66	1	255	60	18086	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2087	逸品	2	7	4292	1	255	30	18087	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2088	極品	2	7	128	1	255	15	18088	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2089	良品	2	7	3	1	255	100	18089	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
