n_ID	s_CONDITOIN	s_ACTION
1	GO(0)	CHASE(1)
2	GO(0)	CHASE(1)
3	RATE(25)\nRATE(33)\nRATE(50)\nRATE(90)\nGO(0)	CHASE(1)\nCHASE(2)\nCHASE(3)\nCHASE(4)\nCHASE(1)
4	BUFF_I(4984,0,0)\nBUFF_I(4990,0,0)\nGO(0)	CHASE(1)\nCHASE(2)\nCHASE(3)
5	BUFF_I(4981,0,0);HP_I<(0.8);RATE(25)\nGO(0)	CHASE(2)\nCHASE(1)
6	BUFF_I(4981,0,0);HP_I<(0.8);RATE(25)\nGO(0)	CHASE(2)\nCHASE(1)
7	RATE(33)\nRATE(50)\nGO(0)	CHASE(1)\nCHASE(2)\nCHASE(3)
8	BUFF_I(3077,0,0)\nBUFF_ENEMY(3076,0,1)\nBUFF_I(4980,0,0);HP_ENEMY<(0.85)\nHP_ENEMY>(0.85)\nDISTANCE_ENEMY>(7000)\nGO(0)	CHASE(4)\nCHASE(3)\nCHASE(1)\nCHASE(2)\nCHASE(2)\nCHASE(2)
9	BUFF_I(4981,0,0)\nGO(0)	CHASE(2)\nCHASE(1)
10	RATE(50)\nBUFF_I(4982,0,0);HP_I<(0.5);RATE(30)\nBUFF_I(4981,0,0);HP_I<(0.6);RATE(30)\nBUFF_I(4987,0,0);HP_I<(0.75);RATE(30)\nBUFF_I(4980,0,0);HP_I<(0.95);RATE(30)\nGO(0)	CHASE(6)\nCHASE(3)\nCHASE(5)\nCHASE(4)\nCHASE(2)\nCHASE(1)
11	DOONCE(0)\nBUFF_I(4982,0,0)\nRATE(30)\nBUFF_I(4980,0,0);RATE(20)\nBUFF_I(4988,0,0);HP_I<(0.5);RATE(15)\nGO(0)	CHASE(4)\nCHASE(5)\nCHASE(1)\nCHASE(2)\nCHASE(3)\nCHASE(1)
12	RATE(20)\nRATE(20)\nRATE(20)\nRATE(20)\nRATE(20)\nGO(0)	CHASE(2)\nCHASE(4)\nCHASE(3)\nCHASE(5)\nCHASE(1)\nCHASE(6)
13	RATE(50)\nRATE(50)\nGO(0)	CHASE(2)\nCHASE(1)\nCHASE(3)
14	RATE(50)\nGO(0)	CHASE(1)\nCHASE(2)
15	DOONCE(0)\nBUFF_I(4984,0,0);RATE(50)\nBUFF_I(4984,0,0);BUFF_I(4990,0,0);RATE(20)\nGO(0)	CHASE(4)\nCHASE(2)\nCHASE(3)\nCHASE(1)
100	DISTANCE_ENEMY>(700);BUFF_I(4985,0,0)\nDISTANCE_ENEMY<(701);RATE(40)\nDISTANCE_ENEMY<(500);KD_ENEMY(1);RATE(90)\nDISTANCE_ENEMY<(500);RATE(10);BUFF_I(4981,0,0);HP_I<(0.5)\nGO(0)	CHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(4)\nCHASE(1)
101	DISTANCE_ENEMY>(700);BUFF_I(4985,0,0)\nDISTANCE_ENEMY<(701);RATE(35)\nDISTANCE_ENEMY<(500);KD_ENEMY(1);RATE(90)\nDISTANCE_ENEMY<(500);RATE(20);BUFF_I(4981,0,0);HP_I<(0.6)\nGO(0)	CHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(4)\nCHASE(1)
102	DISTANCE_ENEMY>(700);BUFF_I(4985,0,0)\nDISTANCE_ENEMY<(701);RATE(30)\nDISTANCE_ENEMY<(500);KD_ENEMY(1);RATE(90)\nDISTANCE_ENEMY<(500);RATE(30);BUFF_I(4981,0,0);HP_I<(0.7)\nGO(0)	CHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(4)\nCHASE(1)
103	DISTANCE_ENEMY>(950);BUFF_I(4983,0,0)\nDISTANCE_ENEMY>(750);BUFF_I(4981,0,0)\nBUFF_I(4981,0,1);BUFF_I(4986,0,0)\nBUFF_I(4985,0,1);BUFF_I(4986,0,0)\nDISTANCE_ENEMY<(400);BUFF_I(4985,0,0);RATE(40)\nGO(0)	CHASE(2)\nCHASE(3)\nCHASE(4)\nCHASE(4)\nCHASE(5)\nCHASE(1)
110	DISTANCE_ENEMY>(600);RATE(50);BUFF_I(4980,0,0)\nRATE(60)\nDISTANCE_ENEMY<(500);RATE(10);BUFF_I(4981,0,0)\nDISTANCE_ENEMY<(500);RATE(10);BUFF_I(4981,0,0)\nGO(0)	CHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(4)\nCHASE(1)
