n_ID	s_WANDER	n_FACTION	n_OFFESIVE	n_AGGRO
1	IDLE;5;8\nRUN;0;2	4	0	0
2	IDLE;9;15\nRUN;0;1	4	0	0
3	IDLE;45;45	1	1	1000
4	RUN;1;2\nIDLE;10;30	1	0	0
5	RUN;1;2\nIDLE;10;30	1	1	800
6	RUN;1;2\nIDLE;10;30	1	1	1200
7	RUN;1;2\nIDLE;10;30	1	1	1600
8	RUN;1;2\nIDLE;10;30	1	1	2000
9	RUN;1;2\nIDLE;45;120	13	0	0
10	RUN;1;2\nIDLE;10;30	6	1	600
11	RUN;1;2\nIDLE;10;30	6	1	1200
12	RUN;1;2\nIDLE;10;30	6	1	1600
13	RUN;1;2\nIDLE;10;30	6	1	2000
14	RUN;1;2\nIDLE;10;30	6	1	2400
15	RUN;1;2\nIDLE;10;30	6	1	8000
16	RUN;1;2\nIDLE;10;30	6	0	0
17	RUN;1;2\nIDLE;10;30	18	1	1200
18	RUN;1;2\nIDLE;10;30	18	1	1600
19	RUN;1;2\nIDLE;10;30	18	1	2000
20	RUN;1;2\nIDLE;10;30	11	1	1500
21	RUN;1;2\nIDLE;10;30	12	1	3000
22	IDLE;9;15\nRUN;0;1	4	1	5000
23	IDLE;25;45\nRUN;1;1	15	1	2500
24	IDLE;9;15\nRUN;0;1	16	0	5000
25	RUN;1;2\nIDLE;45;120	17	1	1200
26	RUN;1;2\nIDLE;10;30	6	0	0
27	IDLE;25;45\nRUN;1;1	7	1	5000
28	RUN;1;2\nIDLE;10;30	6	1	5000
30	IDLE;25;45\nRUN;1;1	7	1	1500
31	IDLE;9;15\nRUN;0;1	8	1	1500
32	IDLE;25;45\nRUN;1;1	19	1	1500
33	IDLE;25;45\nRUN;1;1	7	1	700
34	IDLE;9;15\nRUN;0;1	8	1	700
35	IDLE;5;7\nRUN;1;1	27	1	3000
36	IDLE;25;45\nRUN;1;1	7	1	2500
37	RUN;1;2\nIDLE;10;30	1	1	2000
38	RUN;1;2\nIDLE;5;7	11	1	3000
39	RUN;1;2\nIDLE;5;7	6	1	8000
40	RUN;1;2\nIDLE;5;7	28	0	3000
41	IDLE;25;45\nRUN;1;1	10	0	1000
42	RUN;1;2\nIDLE;5;7	29	1	5000
43	RUN;1;2\nIDLE;5;7	30	1	5000
44	RUN;1;2\nIDLE;5;7	31	1	5000
45	RUN;1;2\nIDLE;5;7	32	1	5000
46	IDLE;25;45\nRUN;1;1	15	0	500
101	IDLE;25;45\nRUN;1;1	101	1	5000
102	IDLE;25;45\nRUN;1;1	102	1	5000
103	IDLE;25;45\nRUN;1;1	102	0	5000
104	IDLE;25;45\nRUN;1;1	104	1	8000
105	IDLE;25;45\nRUN;1;1	105	1	8000
110	IDLE;25;45\nRUN;1;1	9	0	800
111	IDLE;25;45\nRUN;1;1	10	1	1000
112	IDLE;25;45\nRUN;1;1	10	1	200
113	IDLE;25;45\nRUN;1;1	20	0	0
114	IDLE;25;45\nRUN;1;1	20	0	0
115	IDLE;25;45\nRUN;1;1	21	0	0
116	IDLE;3;7\nRUN;1;1	22	1	2000
117	IDLE;25;45\nRUN;1;1	23	0	0
118	IDLE;5;7\nRUN;1;3	12	0	0
119	IDLE;25;45\nRUN;1;1	25	0	0
120	IDLE;25;45\nRUN;1;1	26	1	2500
121	IDLE;3;7\nRUN;1;1	22	1	350
201	IDLE;15;15	6	0	0
1001	IDLE;1;3\nRUN;1;1	1	1	1200
1002	IDLE;1;3\nRUN;1;1	1	0	0
1003	IDLE;1;3\nRUN;1;1	1	0	0
1004	IDLE;1;3\nRUN;1;1	13	0	0
1005	IDLE;1;3\nRUN;1;1	4	0	0
5102	IDLE;25;45\nRUN;1;1	5	1	1500
9000	IDLE;9;15\nRUN;0;1	4	0	1000
9001	IDLE;3;7\nRUN;0;2	999	0	1000
9903	IDLE;15;15	1	1	1000
9904	IDLE;15;15	1	0	0
