n_ID	s_ICON	n_RANGE	s_ANIMATION	s_ANIMATION2	n_CLASS	s_PHASING	s_ROTATE	n_EMOTE	n_THENDO	s_HITRATE	s_BUFF_HITRATE	s_HIT_KEYFRAME	s_HITBACK	s_FXS_CASTING	s_CAST_POSTPROCESS	s_HIT_POSTPROCESS	s_EMIT_KEYFRAME	n_AMOUNT_TARGET	n_DAMAGE_AREA	n_MOB_CD	s_CONDITION	f_VAR_TPD	f_VAR_TMD	f_VAR_TPP	f_VAR_TMP	f_DAMAGE_PHYSICS	f_DAMAGE_MAGIC	f_PERCENT_HP	n_PROFIT
1		500			0			0	0	GO(0)	GO(0)	none;9914;0						1	500	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
2		500			1			0	0	GO(0)	GO(0)	none;9915;0						1	500	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
3		500			1			0	0	GO(0)	GO(0)	none;9916;0						1	500	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
4		500			1			0	0	GO(0)	GO(0)	none;0;0						1	500	0	13	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0
5		10	_C_none;0	_C_none;0	0			0	0									0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
6		5000	_F_ATTACK_000;5	_F_ATTACK_000;5	1			0	0	GO(0)	GO(0)						6;1	1	75	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
7		5000	_F_ATTACK_000;5	_F_ATTACK_000;5	1			0	0	GO(0)	GO(0)						7;1	1	75	0	1;4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
8		5000	_F_ATTACK_000;5	_F_ATTACK_000;5	1			0	0	GO(0)	GO(0)						8;1	1	75	0	1;4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
9		1700			0			0	0	GO(0)				PS_O_SHIP_LEFT_CANON;0			10;0\n9;1\n16;2\n17;3	0	0	0	2;30;36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
10		5000	_F_JUMP_000;17	_F_JUMP_000;17	1	-200;0;250;15		0	0	GO(0)	GO(0)	none;10;15						1	0	0	1;4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
