n_ID	n_STACK	n_BUFF_TYPE	s_BUFF_ICON	f_DURATION	s_BUFF_CANCEL	s_BUFF_CONDITON	s_CONDITIONAL_BUFF	s_CONSTANT_BUFF	s_BUFF_FXS	s_BUFF_FXS_RIGHT	s_BUFF_FXS_LEFT	n_ANIMATION_RANK	s_ANIMATION_REPLACE
1	33	8192	IB011	0.0				ADD_RECOVER_STAMINA(0.2);ADD_SPEED_RUN(-0.4);RESKILL(0)				1	_F_DIE_000;_F_DIE_000A\n_F_DIE_001;_F_DIE_001A
2	1	1		0.0				KNOCKDOWN(10)				1	_F_SENTRY_000;_F_FALLING_000\n_F_READY_000;_F_FALLING_000
4	4	0		0.5				Fly(0)				0	
5	4	0		5.0				KNOCKDOWN(5)				1	_F_SENTRY_000;_F_FALLING_000\n_F_READY_000;_F_FALLING_000\n_F_GLIDE_000;_F_FALLING_000\n_F_JUMP_001;_F_FALLING_000\n_F_JUMP_002;_F_FALLING_000\n_F_JUMP_003;_F_FALLING_000
6	34	0		60.0				FACTION(1)				0	
7	34	0		60.0				FACTION(6)				0	
8	2	8192		0.0		BUFF_I(0,65536,1)	ADD_MUL_DAMAGE(0.3)	POPBAR(Main_Panel_Hotkey_Combo1);RESKILL(9);RESKILL(14);RESKILL(15);MISSILE(22,3);ADD_ABSORB_PHYSICS(-500);ADD_ABSORB_MAGIC(-500)				0	
9	9	1	SKILL_009	0.0				ADD_SPEED_RUN(0.65);POPBAR(Main_Panel_Hotkey_Vehicle);RESKILL(123)				0	_F_FORWARD_000;_F_SENTRY_001\n_F_SENTRY_000;_F_SENTRY_001\n_F_READY_000;_F_SENTRY_001
10	10	1	SKILL_010	0.0				ADD_SPEED_RUN(0.65);POPBAR(Main_Panel_Hotkey_Vehicle);POPSKILL(2960);POPSKILL(296				0	_F_FORWARD_000;_F_SENTRY_001\n_F_SENTRY_000;_F_SENTRY_001\n_F_READY_000;_F_SENTRY_001
11	20	0		0.0				POPBAR(Main_Panel_Hotkey_Vehicle);RESKILL(0)				0	_F_FORWARD_000;_F_SENTRY_001\n_F_SENTRY_000;_F_SENTRY_001\n_F_READY_000;_F_SENTRY_001
12	20	0		0.0				POPBAR(Main_Panel_Hotkey_Vehicle);RESKILL(0)				0	
13	1	1		0.0				KNOCKDOWN(21)				0	
14	75	0		1.0				ADD_DODGE(3);ADD_SPEED_RUN(0.5)				0	
15	15	1	SKILL_015	149.0				ADD_AC_MAGIC(1)				0	
16	16	1	SKILL_016	159.0				ADD_ABSORB_PHYSICS(1)				0	
17	143	0	IB024	300.0				ADD_PENETRATE_PHYSICS(1)				0	
18	151	0	IB032	300.0				ADD_PENETRATE_PHYSICS(1)				0	
19	152	0	IB033	300.0				ADD_PENETRATE_MAGIC(1)				0	
20	120	0	IB001	0.0				MUL_HPMAX(0.05);MUL_STR(0.05);MUL_CON(0.05);MUL_AGI(0.05);MUL_PER(0.05);MUL_INT(0.05)				0	
21	121	0	IB002	300.0				ADD_STUN(1)				0	
22	122	0	IB003	300.0				ADD_SCALE(1)				0	
23	123	0	IB004	300.0				ADD_SCALE(-0.5)				0	
24	124	0	IB005	300.0				ADD_HITRATE(1)				0	
25	125	0	IB006	300.0				ADD_HPMAX(100);ADD_RECOVER_HP(250)				0	
26	126	0	IB007	300.0				ADD_POWERHIT(1)				0	
27	127	0	IB008	300.0				ADD_ANTI_POWERHIT(1)				0	
