n_ID	n_BUFFGROUP_ID	n_BUFF_ID	n_WEIGHT
1	1	13001	1000
2	1	13002	800
3	1	13003	600
4	1	13004	400
5	1	13005	200
6	1	13006	100
7	1	13007	50
8	1	13008	25
9	1	13009	12
10	1	13010	5
11	1	13011	1000
12	1	13012	800
13	1	13013	600
14	1	13014	400
15	1	13015	200
16	1	13016	100
17	1	13017	50
18	1	13018	25
19	1	13019	12
20	1	13020	5
21	1	13021	1000
22	1	13022	800
23	1	13023	600
24	1	13024	400
25	1	13025	200
26	1	13026	100
27	1	13027	50
28	1	13028	25
29	1	13029	12
30	1	13030	5
31	1	13031	1000
32	1	13032	800
33	1	13033	600
34	1	13034	400
35	1	13035	200
36	1	13036	100
37	1	13037	50
38	1	13038	25
39	1	13039	12
40	1	13040	5
41	1	13041	1000
42	1	13042	800
43	1	13043	600
44	1	13044	400
45	1	13045	200
46	1	13046	100
47	1	13047	50
48	1	13048	25
49	1	13049	12
50	1	13050	5
101	2	13001	300
102	2	13002	500
103	2	13003	400
104	2	13004	200
105	2	13005	150
106	2	13006	100
107	2	13007	50
108	2	13008	25
109	2	13009	12
110	2	13010	5
111	2	13011	300
112	2	13012	500
113	2	13013	400
114	2	13014	200
115	2	13015	150
116	2	13016	100
117	2	13017	50
118	2	13018	25
119	2	13019	12
120	2	13020	5
121	2	13021	300
122	2	13022	500
123	2	13023	400
124	2	13024	200
125	2	13025	150
126	2	13026	100
127	2	13027	50
128	2	13028	25
129	2	13029	12
130	2	13030	5
131	2	13031	300
132	2	13032	500
133	2	13033	400
134	2	13034	200
135	2	13035	150
136	2	13036	100
137	2	13037	50
138	2	13038	25
139	2	13039	12
140	2	13040	5
141	2	13041	300
142	2	13042	500
143	2	13043	400
144	2	13044	200
145	2	13045	150
146	2	13046	100
147	2	13047	50
148	2	13048	25
149	2	13049	12
150	2	13050	5
201	3	13001	200
202	3	13002	200
203	3	13003	300
204	3	13004	200
205	3	13005	90
206	3	13006	80
207	3	13007	50
208	3	13008	25
209	3	13009	12
210	3	13010	5
211	3	13011	200
212	3	13012	200
213	3	13013	300
214	3	13014	200
215	3	13015	90
216	3	13016	80
217	3	13017	50
218	3	13018	25
219	3	13019	12
220	3	13020	5
221	3	13021	200
222	3	13022	200
223	3	13023	300
224	3	13024	200
225	3	13025	90
226	3	13026	80
227	3	13027	50
228	3	13028	25
229	3	13029	12
230	3	13030	5
231	3	13031	200
232	3	13032	200
233	3	13033	300
234	3	13034	200
235	3	13035	90
236	3	13036	80
237	3	13037	50
238	3	13038	25
239	3	13039	12
240	3	13040	5
241	3	13041	200
242	3	13042	200
243	3	13043	300
244	3	13044	200
245	3	13045	90
246	3	13046	80
247	3	13047	50
248	3	13048	25
249	3	13049	12
250	3	13050	5
301	4	13001	100
302	4	13002	100
303	4	13003	100
304	4	13004	300
305	4	13005	140
306	4	13006	130
307	4	13007	100
308	4	13008	25
309	4	13009	12
310	4	13010	5
311	4	13011	100
312	4	13012	100
313	4	13013	100
314	4	13014	300
315	4	13015	140
316	4	13016	130
317	4	13017	100
318	4	13018	25
319	4	13019	12
320	4	13020	5
321	4	13021	100
322	4	13022	100
323	4	13023	100
324	4	13024	300
325	4	13025	140
326	4	13026	130
327	4	13027	100
328	4	13028	25
329	4	13029	12
330	4	13030	5
331	4	13031	100
332	4	13032	100
333	4	13033	100
334	4	13034	300
335	4	13035	140
336	4	13036	130
337	4	13037	100
338	4	13038	25
339	4	13039	12
340	4	13040	5
341	4	13041	100
342	4	13042	100
343	4	13043	100
344	4	13044	300
345	4	13045	140
346	4	13046	130
347	4	13047	100
348	4	13048	25
349	4	13049	12
350	4	13050	5
10001	101	13001	5
10002	101	13002	5
10003	101	13003	100
10004	101	13004	300
10005	101	13005	140
10006	101	13006	130
10007	101	13007	100
10008	101	13008	30
10009	101	13009	20
10010	101	13010	10
10011	101	13011	5
10012	101	13012	5
10013	101	13013	100
10014	101	13014	300
10015	101	13015	140
10016	101	13016	130
10017	101	13017	100
10018	101	13018	30
10019	101	13019	20
10020	101	13020	10
10021	101	13021	5
10022	101	13022	5
10023	101	13023	100
10024	101	13024	300
10025	101	13025	140
10026	101	13026	130
10027	101	13027	100
10028	101	13028	30
10029	101	13029	20
10030	101	13030	10
10031	101	13031	5
10032	101	13032	5
10033	101	13033	100
10034	101	13034	300
10035	101	13035	140
10036	101	13036	130
10037	101	13037	100
10038	101	13038	30
10039	101	13039	20
10040	101	13040	10
10041	101	13041	5
10042	101	13042	5
10043	101	13043	100
10044	101	13044	300
10045	101	13045	140
10046	101	13046	130
10047	101	13047	100
10048	101	13048	30
10049	101	13049	20
10050	101	13050	10
