n_ID	n_TIME
1	1
2	3
3	9
4	9
5	12
6	30
7	9
8	18
9	30
10	30
11	240
12	240
13	240
14	240
15	240
16	240
17	240
18	12
19	60
20	300
21	300
22	300
23	15
24	15
25	1
26	15
27	6
28	9
29	9
30	9
31	12
32	18
33	9
34	6
35	12
36	12
37	15
38	9
39	9
40	9
41	18
42	15
43	15
44	9
45	2
46	600
47	3
48	24
49	30
50	1
51	1
52	1
53	1
54	1
55	1
56	1
57	7
58	1
59	1
60	12
61	1
62	90
63	1
64	1
65	1
66	1
67	6
68	1
69	1
70	1
71	1
72	1
73	1
74	1
75	1
85	3
86	3
87	3
88	9
89	18
90	9
91	6
92	1
93	90
94	9
95	9
96	45
97	90
98	9
99	6
100	3600
101	5
102	5
103	5
104	5
105	60
106	60
107	1
108	10
109	300
110	1
111	12
112	4
113	1
114	2400
115	2400
116	120
117	120
118	120
119	120
120	10
121	79200
122	79200
123	79200
124	79200
125	79200
126	79200
127	79200
128	79200
129	79200
130	79200
131	79200
132	79200
133	79200
134	79200
135	300
136	300
137	5
138	5
139	5
140	5
141	5
142	5
143	1
144	5
145	30
146	60
201	4
202	0
203	3
204	10
205	10
281	3
282	12
283	15
284	12
285	30
286	6
287	15
288	180
289	12
290	15
291	12
292	12
293	3
301	9
302	1
303	1
304	9
305	6
306	12
307	9
321	9
322	6
520	10
521	3
522	10
523	10
524	3
525	10
526	10
527	3
528	10
529	10
530	3
531	10
550	25
551	9
552	25
553	6
554	60
555	60
556	25
557	6
600	4
601	9
602	18
603	15
604	12
605	10
650	4
651	9
652	18
653	15
654	12
655	10
998	5
999	10
3001	1
3002	2
3003	3
3004	4
3005	5
3006	6
3007	7
3008	8
3009	9
3010	10
3011	11
3012	12
3013	13
3014	14
3015	15
3016	16
3017	17
3018	18
3019	19
3020	20
3021	21
3022	22
3023	23
3024	24
3025	25
3026	26
3027	27
3028	28
3029	29
3030	30
3031	31
3032	32
3033	33
3034	34
3035	35
3036	36
3037	37
3038	38
3039	39
3040	40
3041	41
3042	42
3043	43
3044	44
3045	45
3046	46
3047	47
3048	48
3049	49
3050	50
3051	51
3052	52
3053	53
3054	54
3055	55
3056	56
3057	57
3058	58
3059	59
3060	60
3061	61
3062	62
3063	63
3064	64
3065	65
3066	66
