n_ID	s_ID_ICON	s_ID_MODEL_PARTS	n_ID_MODEL	n_ID_MAP	n_ICONSLOT	n_EQUIPSLOT	n_EQUIPTYPE	n_TAG_LOOT	s_MODEL_EFFECT	s_EQUIPFX	n_BUFFGROUP_ID
1	ICON_SWORD_000_000	SWORD	0	0	16384	16384	1	64			1
2	ICON_SWORD_000_001	SWORD	0	1	16384	16384	1	64			1
3	ICON_SWORD_000_002	SWORD	0	2	16384	16384	1	64			2
4	ICON_SWORD_000_003	SWORD	0	3	16384	16384	1	64			3
5	ICON_SWORD_000_004	SWORD	0	4	16384	16384	1	64			1
6	ICON_SWORD_000_005	SWORD	0	5	16384	16384	1	64			4
7	ICON_SWORD_001_000	SWORD	1	0	16384	16384	1	64	2;1		2
8	ICON_SWORD_001_001	SWORD	1	1	16384	16384	1	64	2;1		1
9	ICON_SWORD_001_002	SWORD	1	2	16384	16384	1	64	2;1		3
10	ICON_SWORD_001_003	SWORD	1	3	16384	16384	1	64	2;1		4
11	ICON_SWORD_001_004	SWORD	1	4	16384	16384	1	64	2;1		1
12	ICON_SWORD_001_005	SWORD	1	5	16384	16384	1	64	2;1		1
13	ICON_SWORD_002_000	SWORD	2	0	16384	16384	1	64			4
14	ICON_SWORD_002_001	SWORD	2	1	16384	16384	1	64			3
15	ICON_SWORD_002_002	SWORD	2	2	16384	16384	1	64			1
16	ICON_SWORD_002_003	SWORD	2	3	16384	16384	1	64			1
17	ICON_SWORD_002_004	SWORD	2	4	16384	16384	1	64			1
18	ICON_SWORD_002_005	SWORD	2	5	16384	16384	1	64			2
19	ICON_SWORD_003_000	SWORD	3	0	16384	16384	1	64			2
20	ICON_SWORD_003_001	SWORD	3	1	16384	16384	1	64			1
21	ICON_SWORD_003_002	SWORD	3	2	16384	16384	1	64			1
22	ICON_SWORD_003_003	SWORD	3	3	16384	16384	1	64			1
23	ICON_SWORD_003_004	SWORD	3	4	16384	16384	1	64			3
24	ICON_SWORD_003_005	SWORD	3	5	16384	16384	1	64			4
25	ICON_SWORD_004_000	SWORD	4	0	16384	16384	1	64			101
26	ICON_SWORD_004_001	SWORD	4	1	16384	16384	1	64			1
27	ICON_SWORD_004_002	SWORD	4	2	16384	16384	1	64			101
28	ICON_SWORD_004_003	SWORD	4	3	16384	16384	1	64			1
29	ICON_SWORD_004_004	SWORD	4	4	16384	16384	1	64			101
30	ICON_SWORD_004_005	SWORD	4	5	16384	16384	1	64			1
31	ICON_SWORD_005_000	SWORD	5	0	16384	16384	1	64			1
32	ICON_SWORD_005_001	SWORD	5	1	16384	16384	1	64			1
33	ICON_SWORD_005_002	SWORD	5	2	16384	16384	1	64			2
34	ICON_SWORD_005_003	SWORD	5	3	16384	16384	1	64			1
35	ICON_SWORD_005_004	SWORD	5	4	16384	16384	1	64			3
36	ICON_SWORD_005_005	SWORD	5	5	16384	16384	1	64			4
37	ICON_LSTICK_000_000	LSTICK	0	0	8	24	64	64	2;3	2;W_LSTICK_000_000	1
38	ICON_LSTICK_000_001	LSTICK	0	1	8	24	64	64	2;3	2;W_LSTICK_000_001	2
39	ICON_LSTICK_000_002	LSTICK	0	2	8	24	64	64			1
40	ICON_LSTICK_000_003	LSTICK	0	3	8	24	64	64			3
41	ICON_LSTICK_000_004	LSTICK	0	4	8	24	64	64			1
42	ICON_LSTICK_000_005	LSTICK	0	5	8	24	64	64			4
43	ICON_LSTICK_001_000	LSTICK	1	0	8	24	64	64			1
44	ICON_LSTICK_001_001	LSTICK	1	1	8	24	64	64			1
45	ICON_LSTICK_001_002	LSTICK	1	2	8	24	64	64			2
46	ICON_LSTICK_001_003	LSTICK	1	3	8	24	64	64			4
47	ICON_LSTICK_001_004	LSTICK	1	4	8	24	64	64			3
48	ICON_LSTICK_001_005	LSTICK	1	5	8	24	64	64			1
49	ICON_LSTICK_002_000	LSTICK	2	0	8	24	64	64		1;W_LSTICK_002_000	1
50	ICON_LSTICK_002_001	LSTICK	2	1	8	24	64	64		1;W_LSTICK_002_001	1
51	ICON_LSTICK_002_002	LSTICK	2	2	8	24	64	64		1;W_LSTICK_002_002	2
52	ICON_LSTICK_002_003	LSTICK	2	3	8	24	64	64		1;W_LSTICK_002_003	4
53	ICON_LSTICK_002_004	LSTICK	2	4	8	24	64	64		1;W_LSTICK_002_004	3
54	ICON_LSTICK_002_005	LSTICK	2	5	8	24	64	64		1;W_LSTICK_002_005	1
55	ICON_LSTICK_003_000	LSTICK	3	0	8	24	64	64		1;W_LSTICK_003_000	1
56	ICON_LSTICK_003_001	LSTICK	3	1	8	24	64	64		1;W_LSTICK_003_001	1
57	ICON_LSTICK_003_002	LSTICK	3	2	8	24	64	64		1;W_LSTICK_003_002	2
58	ICON_LSTICK_003_003	LSTICK	3	3	8	24	64	64		1;W_LSTICK_003_003	1
59	ICON_LSTICK_003_004	LSTICK	3	4	8	24	64	64		1;W_LSTICK_003_004	3
60	ICON_LSTICK_003_005	LSTICK	3	5	8	24	64	64		1;W_LSTICK_003_005	4
61	ICON_LSTICK_003_006	LSTICK	3	6	8	24	64	64		1;W_LSTICK_003_006	101
62	ICON_LSTICK_004_000	LSTICK	4	0	8	24	64	64	2;2	2;W_LSTICK_004_000SP	101
63	ICON_LSTICK_004_001	LSTICK	4	1	8	24	64	64	2;2	2;W_LSTICK_004_001SP	1
64	ICON_LSTICK_004_002	LSTICK	4	2	8	24	64	64	2;2	2;W_LSTICK_004_002SP	101
65	ICON_LSTICK_004_003	LSTICK	4	3	8	24	64	64	2;2	2;W_LSTICK_004_003SP	1
66	ICON_LSTICK_004_004	LSTICK	4	4	8	24	64	64	2;2	2;W_LSTICK_004_004SP	101
67	ICON_LSTICK_004_005	LSTICK	4	5	8	24	64	64	2;2	2;W_LSTICK_004_005SP	1
68	ICON_LSTICK_005_000	LSTICK	5	0	8	24	64	64			1
69	ICON_LSTICK_005_001	LSTICK	5	1	8	24	64	64			2
70	ICON_LSTICK_005_002	LSTICK	5	2	8	24	64	64	2;2	2;W_LSTICK_005_002	1
71	ICON_LSTICK_005_003	LSTICK	5	3	8	24	64	64	2;2	2;W_LSTICK_005_003	3
72	ICON_LSTICK_005_004	LSTICK	5	4	8	24	64	64	2;2	2;W_LSTICK_005_004	4
73	ICON_LSTICK_005_005	LSTICK	5	5	8	24	64	64			1
74	ICON_SSTICK_000_000	SSTICK	0	0	16384	16384	2	64			1
75	ICON_SSTICK_000_001	SSTICK	0	1	16384	16384	2	64			1
76	ICON_SSTICK_000_002	SSTICK	0	2	16384	16384	2	64			2
77	ICON_SSTICK_000_003	SSTICK	0	3	16384	16384	2	64			1
78	ICON_SSTICK_000_004	SSTICK	0	4	16384	16384	2	64			3
79	ICON_SSTICK_000_005	SSTICK	0	5	16384	16384	2	64			4
80	ICON_SSTICK_001_000	SSTICK	1	0	16384	16384	2	64			1
81	ICON_SSTICK_001_001	SSTICK	1	1	16384	16384	2	64			1
82	ICON_SSTICK_001_002	SSTICK	1	2	16384	16384	2	64			2
83	ICON_SSTICK_001_003	SSTICK	1	3	16384	16384	2	64			1
84	ICON_SSTICK_001_004	SSTICK	1	4	16384	16384	2	64			3
85	ICON_SSTICK_001_005	SSTICK	1	5	16384	16384	2	64			4
86	ICON_SSTICK_002_000	SSTICK	2	0	16384	16384	2	64	2;2		1
87	ICON_SSTICK_002_001	SSTICK	2	1	16384	16384	2	64	2;2		1
88	ICON_SSTICK_002_002	SSTICK	2	2	16384	16384	2	64	2;2		1
89	ICON_SSTICK_002_003	SSTICK	2	3	16384	16384	2	64	2;2		4
90	ICON_SSTICK_002_004	SSTICK	2	4	16384	16384	2	64	2;2		3
91	ICON_SSTICK_002_005	SSTICK	2	5	16384	16384	2	64	2;2		1
92	ICON_SSTICK_002_006	SSTICK	2	6	16384	16384	2	64	2;2		2
93	ICON_SSTICK_003_000	SSTICK	3	0	16384	16384	2	64			101
94	ICON_SSTICK_003_001	SSTICK	3	1	16384	16384	2	64			1
95	ICON_SSTICK_003_002	SSTICK	3	2	16384	16384	2	64			101
96	ICON_SSTICK_003_003	SSTICK	3	3	16384	16384	2	64			1
97	ICON_SSTICK_003_004	SSTICK	3	4	16384	16384	2	64			101
98	ICON_SSTICK_004_000	SSTICK	4	0	16384	16384	2	64			1
99	ICON_SSTICK_004_001	SSTICK	4	1	16384	16384	2	64			3
100	ICON_SSTICK_004_002	SSTICK	4	2	16384	16384	2	64			1
