n_ID	s_ID_MODEL_PARTS	n_ID_MODEL	n_ID_MAP	n_CONDITION_GENDER	n_TAG_LOOT	n_CREATE	n_ID_BUFF	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
1001	HD	950	0	1	128	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
1002	FC	950	0	1	128	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
1003	ET	950	0	1	128	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
1004	HD	950	0	2	128	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
1005	FC	950	0	2	128	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
1006	ET	950	0	2	128	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
1007	HD	951	0	2	128	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
1008	FC	951	0	2	128	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
1009	HD	952	0	2	128	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
1010	FC	952	0	2	128	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
1011	HD	951	1	2	128	0	0	1.40.0000	1.40.0000	1.40.0000	1.40.0000
1012	FC	951	1	2	128	0	0	1.40.0000	1.40.0000	1.40.0000	1.40.0000
1013	HR	951	1	2	128	0	0	1.40.0000	1.40.0000	1.40.0000	1.40.0000
1014	HR	951	0	2	128	0	0	OUT	1.07.0000	1.07.0000	1.07.0000
10000	HD	4	0	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
10001	FC	400	0	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
10002	FC	400	100	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
10003	FC	400	200	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
10004	FC	400	300	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
10005	FC	400	400	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
10021	FC	401	0	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
10022	FC	401	100	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
10023	FC	401	200	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
10024	FC	401	300	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
10025	FC	401	400	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
10041	FC	403	0	1	128	5	0	OUT	1.09.0000	1.08.0000	1.09.0000
10042	FC	403	100	1	128	5	0	OUT	1.09.0000	1.08.0000	1.09.0000
10043	FC	403	200	1	128	5	0	OUT	1.09.0000	1.08.0000	1.09.0000
10044	FC	403	300	1	128	5	0	OUT	1.09.0000	1.08.0000	1.09.0000
10045	FC	403	400	1	128	5	0	OUT	1.09.0000	1.08.0000	1.09.0000
10100	HD	5	0	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
10101	FC	502	0	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
10102	FC	502	100	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
10103	FC	502	200	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
10104	FC	502	300	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
10105	FC	502	400	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
10121	FC	503	0	1	128	5	0	OUT	1.09.0000	1.08.0000	1.09.0000
10122	FC	503	100	1	128	5	0	OUT	1.09.0000	1.08.0000	1.09.0000
10123	FC	503	200	1	128	5	0	OUT	1.09.0000	1.08.0000	1.09.0000
10124	FC	503	300	1	128	5	0	OUT	1.09.0000	1.08.0000	1.09.0000
10125	FC	503	400	1	128	5	0	OUT	1.09.0000	1.08.0000	1.09.0000
10141	FC	504	0	1	128	5	0	OUT	1.09.0000	1.08.0000	1.09.0000
10142	FC	504	100	1	128	5	0	OUT	1.09.0000	1.08.0000	1.09.0000
10143	FC	504	200	1	128	5	0	OUT	1.09.0000	1.08.0000	1.09.0000
10144	FC	504	300	1	128	5	0	OUT	1.09.0000	1.08.0000	1.09.0000
10145	FC	504	400	1	128	5	0	OUT	1.09.0000	1.08.0000	1.09.0000
20000	HD	4	0	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
20001	FC	400	0	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
20002	FC	400	100	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
20003	FC	400	200	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
20004	FC	400	300	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
20005	FC	400	400	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
20021	FC	401	0	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
20022	FC	401	100	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
20023	FC	401	200	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
20024	FC	401	300	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
20025	FC	401	400	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
20041	FC	402	0	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
20042	FC	402	100	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
20043	FC	402	200	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
