n_ID	n_GENDER	n_HDID	n_HRID	n_FCID	n_ETID	n_SKIN	s_BODYRATIO	s_ANIMATE_1	n_UITEXT	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
1	1	10000	30505	10042	0	1	30;30	_F_ATTACK_008	1517	1.00.0000	1.07.0000	1.07.0000	1.07.0000
2	1	10000	30001	10001	0	3	80;80	_F_ATTACK_005	1519	1.00.0000	1.07.0000	1.07.0000	1.07.0000
3	1	10000	30001	10001	0	6	65;45	_F_ATTACK_008A	1520	1.00.0000	1.07.0000	1.07.0000	1.07.0000
4	2	20100	40201	20122	0	11	56;55	_F_ATTACK_008	1517	1.00.0000	1.07.0000	1.07.0000	1.07.0000
5	2	20000	40001	20001	0	13	100;85	_F_ATTACK_005	1519	1.00.0000	1.07.0000	1.07.0000	1.07.0000
6	2	20000	40001	20001	0	12	34;48	_F_ATTACK_008A	1520	1.00.0000	1.07.0000	1.07.0000	1.07.0000
7	1	10000	30702	10021	0	3	72;66	_F_ATTACK_016	1517	1.00.0000	1.07.0000	1.07.0000	1.07.0000
8	1	10000	30001	10001	0	8	24;14	_F_ATTACK_013	1519	1.00.0000	1.07.0000	1.07.0000	1.07.0000
9	1	10000	30001	10001	0	3	60;70	_F_ATTACK_008	1520	1.00.0000	1.07.0000	1.07.0000	1.07.0000
10	2	20100	40604	20121	0	12	82;83	_F_ATTACK_016	1517	1.00.0000	1.07.0000	1.07.0000	1.07.0000
11	2	20000	40001	20001	0	13	40;40	_F_ATTACK_013	1519	1.00.0000	1.07.0000	1.07.0000	1.07.0000
12	2	20000	40001	20001	0	12	73;63	_F_ATTACK_008	1520	1.00.0000	1.07.0000	1.07.0000	1.07.0000
13	1	10000	30602	10002	0	1	51;38	_F_ATTACK_016	1517	1.00.0000	1.07.0000	1.07.0000	1.07.0000
14	1	10000	30001	10001	0	2	20;15	_F_ATTACK_009	1519	1.00.0000	1.07.0000	1.07.0000	1.07.0000
15	1	10000	30001	10001	0	2	80;60	_F_ATTACK_009A	1520	1.00.0000	1.07.0000	1.07.0000	1.07.0000
16	2	20000	40102	20044	0	12	72;34	_F_ATTACK_016	1517	1.00.0000	1.07.0000	1.07.0000	1.07.0000
17	2	20000	40001	20001	0	12	100;85	_F_ATTACK_009	1519	1.00.0000	1.07.0000	1.07.0000	1.07.0000
18	2	20000	40001	20001	0	13	75;70	_F_ATTACK_009A	1520	1.00.0000	1.07.0000	1.07.0000	1.07.0000
19	1	10100	30003	10143	0	2	54;43	_F_ATTACK_019	1517	1.00.0000	1.07.0000	1.07.0000	1.07.0000
20	1	10000	30001	10001	0	9	100;80	_F_ATTACK_020	1519	1.00.0000	1.07.0000	1.07.0000	1.07.0000
21	1	10000	30001	10001	0	3	20;15	_F_ATTACK_018	1520	1.00.0000	1.07.0000	1.07.0000	1.07.0000
22	2	20000	40302	20045	0	18	75;76	_F_ATTACK_019	1517	1.00.0000	1.07.0000	1.07.0000	1.07.0000
23	2	20000	40001	20001	0	18	40;25	_F_ATTACK_020	1519	1.00.0000	1.07.0000	1.07.0000	1.07.0000
24	2	20000	40001	20001	0	18	70;60	_F_ATTACK_018	1520	1.00.0000	1.07.0000	1.07.0000	1.07.0000
25	1	10100	30303	10124	0	2	20;6	_F_ATTACK_000	1517	1.00.0000	1.07.0000	1.07.0000	1.07.0000
26	1	10000	30001	10001	0	1	44;26	_F_ATTACK_001	1519	1.00.0000	1.07.0000	1.07.0000	1.07.0000
27	1	10000	30001	10001	0	8	70;45	_F_ATTACK_002	1520	1.00.0000	1.07.0000	1.07.0000	1.07.0000
28	2	20100	40703	20103	0	11	32;24	_F_ATTACK_000	1517	1.00.0000	1.07.0000	1.07.0000	1.07.0000
29	2	20000	40001	20001	0	11	70;60	_F_ATTACK_001	1519	1.00.0000	1.07.0000	1.07.0000	1.07.0000
30	2	20000	40001	20001	0	13	30;25	_F_ATTACK_002	1520	1.00.0000	1.07.0000	1.07.0000	1.07.0000
