n_ID	n_RED	n_GREEN	n_BLUE	n_CONDITION_GENDER	n_CREATE	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
1	0	0	0	3	5	1.00.0000	1.07.0000	1.07.0000	1.07.0000
2	4294967290	4294967276	4294967256	3	5	1.00.0000	1.07.0000	1.07.0000	1.07.0000
3	4294967241	4294967236	4294967236	3	5	1.00.0000	1.07.0000	1.07.0000	1.07.0000
4	4294967221	4294967231	4294967233	3	5	1.00.0000	1.07.0000	1.07.0000	1.07.0000
5	4294967246	4294967196	4294967196	3	5	1.00.0000	1.07.0000	1.07.0000	1.07.0000
6	4294967276	4294967256	4294967206	3	5	1.00.0000	1.07.0000	1.07.0000	1.07.0000
7	4294967161	4294967251	4294967281	3	5	1.00.0000	1.07.0000	1.07.0000	1.07.0000
8	10	10	15	3	5	1.00.0000	1.07.0000	1.07.0000	1.07.0000
9	4294967130	4294967139	4294967146	3	5	1.00.0000	1.07.0000	1.07.0000	1.07.0000
10	4294967232	4294967270	4294967293	3	5	1.00.0000	1.07.0000	1.07.0000	1.07.0000
11	0	0	0	3	5	1.00.0000	1.07.0000	1.07.0000	1.07.0000
12	4294967290	4294967273	4294967259	3	5	1.00.0000	1.07.0000	1.07.0000	1.07.0000
13	4294967251	4294967233	4294967231	3	5	1.00.0000	1.07.0000	1.07.0000	1.07.0000
14	4294967219	4294967206	4294967216	3	5	1.00.0000	1.07.0000	1.07.0000	1.07.0000
15	4294967246	4294967196	4294967196	3	5	1.00.0000	1.07.0000	1.07.0000	1.07.0000
16	4294967276	4294967256	4294967206	3	5	1.00.0000	1.07.0000	1.07.0000	1.07.0000
17	4294967169	4294967237	4294967281	3	5	1.00.0000	1.07.0000	1.07.0000	1.07.0000
18	10	10	15	3	5	1.00.0000	1.07.0000	1.07.0000	1.07.0000
19	4294967141	4294967146	4294967146	3	5	1.00.0000	1.07.0000	1.07.0000	1.07.0000
20	4294967245	4294967270	4294967293	3	5	1.00.0000	1.07.0000	1.07.0000	1.07.0000
