n_ID	n_CLINE_TYPE	n_CREATURE_TYPE	n_TACTIC_AI	n_LEADER_BK1	n_LEADER_BK2	n_LEADER_BK3	n_CREW1	n_CREW1_NUMBER	n_CREW2	n_CREW2_NUMBER	n_CREW3	n_CREW3_NUMBER	n_CREW4	n_CREW4_NUMBER	n_CREW5	n_CREW5_NUMBER	n_CREW6	n_CREW6_NUMBER
1	9998	1	1	506	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	9998	2	1	507	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	9998	3	1	508	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	9998	4	1	509	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	9998	5	1	510	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	9998	6	1	511	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	9998	7	1	512	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	9998	8	1	513	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	9998	9	1	514	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	9998	10	1	574	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	9998	11	1	516	0	0	516	1	0	0	0	0	0	0	0	0	0	0
12	9998	12	1	517	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	9998	13	1	518	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	9998	14	1	642	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	9998	15	1	520	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	9998	16	1	521	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	9998	17	1	522	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	9998	18	1	8039	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	9998	19	1	524	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	9998	20	1	525	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	9998	21	1	526	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	9998	22	1	527	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	9998	23	1	528	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	9998	24	1	529	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	9998	25	1	530	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	9998	26	1	531	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	9998	27	1	532	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	9998	28	1	533	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	9998	29	1	534	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	9998	30	1	535	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	9998	31	1	9043	0	0	9044	1	0	0	0	0	0	0	0	0	0	0
32	9998	32	1	537	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	9998	33	1	538	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	9998	34	1	539	0	0	0	0	0	0	0	0	0	0	0	0	0	0
