n_ID	n_COIN	n_VARIABLE_X	n_VARIABLE_Y	f_VARIABLE_Z	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
1	650	1	1	0.0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
2	400	0	0	0.0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
3	400	0	0	0.0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
4	400	0	0	0.0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
5	1200	0	0	0.0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
6	7500	0	0	0.0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
7	4000	100	0	0.0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
8	2500	0	0	0.0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
10	6500	0	1	0.0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
13	6500	0	4	0.0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
14	12500	0	0	0.0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
17	1200	0	0	0.0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
18	650	0	0	0.0	1.00.0000	1.00.0000	OUT	1.00.0000
19	650	0	0	0.0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
20	400	5	0	0.0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
22	650	0	0	0.0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
23	950	0	0	0.0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
24	1200	0	0	0.0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
26	5000	40	0	0.0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
27	10000	0	0	0.0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
28	5000	15	0	0.0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
