n_ID	n_Type	n_Reward_Item	s_Main_Type	s_RoleModel	s_type	n_DROPID	n_CD_TYPE	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
1	1	2414071	M007	M007_000_000_N		0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
2	1	2414072	M052	M052_000_000_N		0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
3	1	2414073	M009	M009_000_000_N		0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
4	1	2414074	M012	M012_000_000_N		0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
5	1	2414075	M053	M053_000_000_N		0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
6	1	2414076	M030	M030_000_000_N		0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
7	1	2414077	M054	M054_000_000_N		0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
8	1	2414078	P_FEMALE_FIST	P_FEMALE_952_000_SIREN2		0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
9	1	2414079	M051	M051_000_000_N		0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
10	1	2414080	M077	M077_000_000_N		0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
11	1	2414081	M056	M056_000_000_N		0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
12	1	2414082	M057	M057_000_000_N		0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
13	1	2414083	M055	M055_000_000_N		0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
14	1	2414084	M055	M055_001_000_N		0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
15	1	2414085	M079	M079_000_000_N		0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
201	2	2600401		BG_Map_001		2800041	121	1.00.0000	1.07.0000	1.07.0000	1.07.0000
202	2	2600402		BG_Map_002		2800042	122	1.00.0000	1.07.0000	1.07.0000	1.07.0000
203	2	2600403		BG_Map_003		2800043	123	1.00.0000	1.07.0000	1.07.0000	1.07.0000
