n_ID	n_OUTCOME	n_OUTQUANTITY	f_COMBINETIME	n_MATERIAL_1	n_QUANTITY_1	n_MATERIAL_2	n_QUANTITY_2	n_MATERIAL_3	n_QUANTITY_3	n_MATERIAL_4	n_QUANTITY_4	n_MATERIAL_5	n_QUANTITY_5	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
1	2601009	1	1.5	2600366	1	2600367	2	2600365	3	2601001	1	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
2	2601010	1	1.5	2600368	2	2600369	4	2600365	6	2601009	1	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
3	2601011	1	1.5	2600370	3	2600371	6	2600365	9	2601010	1	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
4	2601012	1	1.5	2600372	4	2600373	8	2600365	12	2601011	1	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
5	2600504	1	1.5	2600501	3	0	0	0	0	0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
6	2600505	1	1.5	2600502	3	0	0	0	0	0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
7	2600506	1	1.5	2600503	3	0	0	0	0	0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
8	2600508	1	1.5	2600507	5	0	0	0	0	0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
9	2600510	1	1.5	2600509	5	0	0	0	0	0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
10	2600512	1	1.5	2600511	5	0	0	0	0	0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
11	2413040	1	1.5	2600515	30	0	0	0	0	0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
12	2414086	1	1.5	2600516	20	0	0	0	0	0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
13	2415003	1	1.5	2600517	25	0	0	0	0	0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
14	2600097	1	1.5	2600096	3	0	0	0	0	0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
15	2600098	1	1.5	2600097	3	0	0	0	0	0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
