n_ID	n_LEVEL	n_TYPE	n_N_CRYSTAL1	n_N_WEIGHT1	n_N_CRYSTAL2	n_N_WEIGHT2	n_N_CRYSTAL3	n_N_WEIGHT3	n_N_CRYSTAL4	n_N_WEIGHT4	n_N_CRYSTAL5	n_N_WEIGHT5	n_N_CRYSTAL6	n_N_WEIGHT6	n_N_CRYSTAL7	n_N_WEIGHT7	n_N_CRYSTAL8	n_N_WEIGHT8	n_N_CRYSTAL9	n_N_WEIGHT9	n_N_CRYSTAL10	n_N_WEIGHT10	n_L_CRYSTAL1	n_L_WEIGHT1	n_L_CRYSTAL2	n_L_WEIGHT2	n_L_CRYSTAL3	n_L_WEIGHT3	n_L_CRYSTAL4	n_L_WEIGHT4	n_L_CRYSTAL5	n_L_WEIGHT5	n_L_CRYSTAL6	n_L_WEIGHT6	n_L_CRYSTAL7	n_L_WEIGHT7	n_L_CRYSTAL8	n_L_WEIGHT8	n_L_CRYSTAL9	n_L_WEIGHT9	n_L_CRYSTAL10	n_L_WEIGHT10
1	1	1	2603001	1000	2603002	1000	2603003	1000	2603004	1000	2603005	1000	2603006	1000	2603007	1000	2603008	1000	2603009	1000	2603010	1000	2603011	1000	2603012	1000	2603013	1000	2603014	1000	2603015	1000	2603016	1000	2603017	400	2603018	400	0	0	0	0
2	1	2	2603019	1000	2603020	1000	2603021	1000	2603022	1000	2603023	1000	2603024	1000	2603025	1000	2603026	1000	2603027	1000	2603028	1000	2603029	1000	2603030	1000	2603031	1000	2603032	1000	2603033	1000	2603034	1000	2603035	400	2603036	400	0	0	0	0
3	1	3	2603037	1000	2603038	1000	2603039	1000	2603040	1000	2603041	1000	2603042	1000	2603043	1000	2603044	1000	2603511	1000	2603512	1000	2603045	1000	2603046	1000	2603047	1000	2603048	1000	2603049	1000	2603050	1000	2603051	400	2603052	400	0	0	0	0
4	2	1	2603053	1000	2603054	1000	2603055	1000	2603056	1000	2603057	1000	2603058	1000	2603059	1000	2603060	1000	2603061	1000	2603062	1000	2603063	1000	2603064	1000	2603065	1000	2603066	1000	2603067	1000	2603068	1000	2603069	400	2603070	400	0	0	0	0
5	2	2	2603071	1000	2603072	1000	2603073	1000	2603074	1000	2603075	1000	2603076	1000	2603077	1000	2603078	1000	2603079	1000	2603080	1000	2603081	1000	2603082	1000	2603083	1000	2603084	1000	2603085	1000	2603086	1000	2603087	400	2603088	400	0	0	0	0
6	2	3	2603089	1000	2603090	1000	2603091	1000	2603092	1000	2603093	1000	2603094	1000	2603095	1000	2603096	1000	2603513	1000	2603514	1000	2603097	1000	2603098	1000	2603099	1000	2603100	1000	2603101	1000	2603102	1000	2603103	400	2603104	400	0	0	0	0
7	3	1	2603105	1000	2603106	1000	2603107	1000	2603108	1000	2603109	1000	2603110	1000	2603111	1000	2603112	1000	2603113	1000	2603114	1000	2603115	1000	2603116	1000	2603117	1000	2603118	1000	2603119	1000	2603120	1000	2603121	400	2603122	400	2603123	100	2603124	100
8	3	2	2603125	1000	2603126	1000	2603127	1000	2603128	1000	2603129	1000	2603130	1000	2603131	1000	2603132	1000	2603133	1000	2603134	1000	2603135	1000	2603136	1000	2603137	1000	2603138	1000	2603139	1000	2603140	1000	2603141	400	2603142	400	2603143	100	2603144	100
9	3	3	2603145	1000	2603146	1000	2603147	1000	2603148	1000	2603149	1000	2603150	1000	2603151	1000	2603152	1000	2603515	1000	2603516	1000	2603153	1000	2603154	1000	2603155	1000	2603156	1000	2603157	1000	2603158	1000	2603159	400	2603160	400	2603161	100	2603162	100
10	4	1	2603163	1000	2603164	1000	2603165	1000	2603166	1000	2603167	1000	2603168	1000	2603169	1000	2603170	1000	2603171	1000	2603172	1000	2603173	1000	2603174	1000	2603175	1000	2603176	1000	2603177	1000	2603178	1000	2603179	400	2603180	400	2603181	100	2603182	100
11	4	2	2603183	1000	2603184	1000	2603185	1000	2603186	1000	2603187	1000	2603188	1000	2603189	1000	2603190	1000	2603191	1000	2603192	1000	2603193	1000	2603194	1000	2603195	1000	2603196	1000	2603197	1000	2603198	1000	2603199	400	2603200	400	2603201	100	2603202	100
12	4	3	2603203	1000	2603204	1000	2603205	1000	2603206	1000	2603207	1000	2603208	1000	2603209	1000	2603210	1000	2603517	1000	2603518	1000	2603211	1000	2603212	1000	2603213	1000	2603214	1000	2603215	1000	2603216	1000	2603217	400	2603218	400	2603219	100	2603220	100
13	5	1	2603221	1000	2603222	1000	2603223	1000	2603224	1000	2603225	1000	2603226	1000	2603227	1000	2603228	1000	2603229	1000	2603230	1000	2603231	1000	2603232	1000	2603233	1000	2603234	1000	2603235	1000	2603236	1000	2603237	400	2603238	400	2603239	100	2603240	100
14	5	2	2603241	1000	2603242	1000	2603243	1000	2603244	1000	2603245	1000	2603246	1000	2603247	1000	2603248	1000	2603249	1000	2603250	1000	2603251	1000	2603252	1000	2603253	1000	2603254	1000	2603255	1000	2603256	1000	2603257	400	2603258	400	2603259	100	2603260	100
15	5	3	2603261	1000	2603262	1000	2603263	1000	2603264	1000	2603265	1000	2603266	1000	2603267	1000	2603268	1000	2603519	1000	2603520	1000	2603269	1000	2603270	1000	2603271	1000	2603272	1000	2603273	1000	2603274	1000	2603275	400	2603276	400	2603277	100	2603278	100
16	6	1	2603279	1000	2603280	1000	2603281	1000	2603282	1000	2603283	1000	2603284	1000	2603285	1000	2603286	1000	2603287	1000	2603288	1000	2603289	1000	2603290	1000	2603291	1000	2603292	1000	2603293	1000	2603294	1000	2603295	400	2603296	400	2603297	100	2603298	100
17	6	2	2603299	1000	2603300	1000	2603301	1000	2603302	1000	2603303	1000	2603304	1000	2603305	1000	2603306	1000	2603307	1000	2603308	1000	2603309	1000	2603310	1000	2603311	1000	2603312	1000	2603313	1000	2603314	1000	2603315	400	2603316	400	2603317	100	2603318	100
18	6	3	2603319	1000	2603320	1000	2603321	1000	2603322	1000	2603323	1000	2603324	1000	2603325	1000	2603326	1000	2603521	1000	2603522	1000	2603327	1000	2603328	1000	2603329	1000	2603330	1000	2603331	1000	2603332	1000	2603333	400	2603334	400	2603335	100	2603336	100
19	7	1	2603337	1000	2603338	1000	2603339	1000	2603340	1000	2603341	1000	2603342	1000	2603343	1000	2603344	1000	2603345	1000	2603346	1000	2603347	1000	2603348	1000	2603349	1000	2603350	1000	2603351	1000	2603352	1000	2603353	400	2603354	400	2603355	100	2603356	100
20	7	2	2603357	1000	2603358	1000	2603359	1000	2603360	1000	2603361	1000	2603362	1000	2603363	1000	2603364	1000	2603365	1000	2603366	1000	2603367	1000	2603368	1000	2603369	1000	2603370	1000	2603371	1000	2603372	1000	2603373	400	2603374	400	2603375	100	2603376	100
21	7	3	2603377	1000	2603378	1000	2603379	1000	2603380	1000	2603381	1000	2603382	1000	2603383	1000	2603384	1000	2603523	1000	2603524	1000	2603385	1000	2603386	1000	2603387	1000	2603388	1000	2603389	1000	2603390	1000	2603391	400	2603392	400	2603393	100	2603394	100
22	8	1	2603395	1000	2603396	1000	2603397	1000	2603398	1000	2603399	1000	2603400	1000	2603401	1000	2603402	1000	2603403	1000	2603404	1000	2603405	1000	2603406	1000	2603407	1000	2603408	1000	2603409	1000	2603410	1000	2603411	400	2603412	400	2603413	100	2603414	100
23	8	2	2603415	1000	2603416	1000	2603417	1000	2603418	1000	2603419	1000	2603420	1000	2603421	1000	2603422	1000	2603423	1000	2603424	1000	2603425	1000	2603426	1000	2603427	1000	2603428	1000	2603429	1000	2603430	1000	2603431	400	2603432	400	2603433	100	2603434	100
24	8	3	2603435	1000	2603436	1000	2603437	1000	2603438	1000	2603439	1000	2603440	1000	2603441	1000	2603442	1000	2603525	1000	2603526	1000	2603443	1000	2603444	1000	2603445	1000	2603446	1000	2603447	1000	2603448	1000	2603449	400	2603450	400	2603451	100	2603452	100
25	9	1	2603453	1000	2603454	1000	2603455	1000	2603456	1000	2603457	1000	2603458	1000	2603459	1000	2603460	1000	2603461	1000	2603462	1000	2603463	1000	2603464	1000	2603465	1000	2603466	1000	2603467	1000	2603468	1000	2603469	400	2603470	400	2603471	100	2603472	100
