n_ID	n_PPCLASS	n_SKILL	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
1	1024	110	1.04.0000	1.04.0000	1.07.0000	1.07.0000
2	1024	2978	1.00.0000	1.00.0000	1.07.0000	1.07.0000
3	1024	99	1.04.0000	1.04.0000	1.07.0000	1.07.0000
4	1024	111	1.05.0000	1.05.0000	1.07.0000	1.07.0000
11	1024	2950	1.00.0000	1.00.0000	1.07.0000	1.07.0000
31	1024	2955	1.00.0000	1.00.0000	1.07.0000	1.07.0000
51	1024	2957	1.00.0000	1.00.0000	1.07.0000	1.07.0000
61	1024	2960	1.00.0000	1.00.0000	1.07.0000	1.07.0000
71	1024	2965	1.00.0000	1.00.0000	1.07.0000	1.07.0000
81	1024	2968	1.00.0000	1.00.0000	1.07.0000	1.07.0000
91	1024	2971	1.00.0000	1.00.0000	1.07.0000	1.07.0000
201	1	40002	1.01.0000	1.00.0000	1.07.0000	1.07.0000
202	1	40001	1.01.0000	1.00.0000	1.07.0000	1.07.0000
203	1	40014	1.01.0000	1.00.0000	1.07.0000	1.07.0000
204	1	40004	1.01.0000	1.00.0000	1.07.0000	1.07.0000
205	1	40023	1.01.0000	1.00.0000	1.07.0000	1.07.0000
206	1	40016	1.01.0000	1.00.0000	1.07.0000	1.07.0000
207	1	40012	1.01.0000	1.00.0000	1.07.0000	1.07.0000
208	1	40021	1.03.0000	1.03.0000	1.07.0000	1.07.0000
209	1	40010	1.01.0000	1.00.0000	1.07.0000	1.07.0000
210	1	40006	1.03.0000	1.03.0000	1.07.0000	1.07.0000
211	1	40013	1.01.0000	1.00.0000	1.07.0000	1.07.0000
212	1	40003	1.03.0000	1.03.0000	1.07.0000	1.07.0000
213	1	40008	1.03.0000	1.03.0000	1.07.0000	1.07.0000
214	1	40018	1.03.0000	1.03.0000	1.07.0000	1.07.0000
215	1	40017	1.03.0000	1.03.0000	1.07.0000	1.07.0000
216	1	40011	1.03.0000	1.03.0000	1.07.0000	1.07.0000
217	1	40019	1.03.0000	1.03.0000	1.07.0000	1.07.0000
218	1	40009	1.03.0000	1.03.0000	1.07.0000	1.07.0000
219	1	40020	1.03.0000	1.03.0000	1.07.0000	1.07.0000
220	1	40022	1.03.0000	1.03.0000	1.07.0000	1.07.0000
221	1	40015	1.03.0000	1.03.0000	1.07.0000	1.07.0000
222	1	40007	1.03.0000	1.03.0000	1.07.0000	1.07.0000
223	1	40024	1.03.0000	1.03.0000	1.07.0000	1.07.0000
224	1	40005	1.03.0000	1.03.0000	1.07.0000	1.07.0000
225	1	40025	1.03.0000	1.03.0000	1.07.0000	1.07.0000
301	2	43003	1.01.0000	1.00.0000	1.07.0000	1.07.0000
302	2	43008	1.01.0000	1.00.0000	1.07.0000	1.07.0000
303	2	43021	1.01.0000	1.00.0000	1.07.0000	1.07.0000
304	2	43007	1.01.0000	1.00.0000	1.07.0000	1.07.0000
305	2	43011	1.01.0000	1.00.0000	1.07.0000	1.07.0000
306	2	43014	1.01.0000	1.00.0000	1.07.0000	1.07.0000
307	2	43006	1.03.0000	1.03.0000	1.07.0000	1.07.0000
308	2	43002	1.01.0000	1.00.0000	1.07.0000	1.07.0000
309	2	43019	1.03.0000	1.03.0000	1.07.0000	1.07.0000
310	2	43018	1.01.0000	1.00.0000	1.07.0000	1.07.0000
311	2	43023	1.03.0000	1.03.0000	1.07.0000	1.07.0000
312	2	43013	1.03.0000	1.03.0000	1.07.0000	1.07.0000
313	2	43012	1.03.0000	1.03.0000	1.07.0000	1.07.0000
314	2	43004	1.03.0000	1.03.0000	1.07.0000	1.07.0000
315	2	43015	1.03.0000	1.03.0000	1.07.0000	1.07.0000
316	2	43005	1.03.0000	1.03.0000	1.07.0000	1.07.0000
317	2	43010	1.03.0000	1.03.0000	1.07.0000	1.07.0000
318	2	43016	1.03.0000	1.03.0000	1.07.0000	1.07.0000
319	2	43022	1.03.0000	1.03.0000	1.07.0000	1.07.0000
