n_ID	n_LEVEL_MIN	n_LEVEL_MAX	n_TYPE	n_ITEM_1	n_WEIGHT_1	n_NUMBER_1	n_ITEM_2	n_WEIGHT_2	n_NUMBER_2	n_ITEM_3	n_WEIGHT_3	n_NUMBER_3	n_ITEM_4	n_WEIGHT_4	n_NUMBER_4	n_ITEM_5	n_WEIGHT_5	n_NUMBER_5	n_ITEM_6	n_WEIGHT_6	n_NUMBER_6	n_ITEM_7	n_WEIGHT_7	n_NUMBER_7	n_ITEM_8	n_WEIGHT_8	n_NUMBER_8	n_ITEM_9	n_WEIGHT_9	n_NUMBER_9	n_ITEM_10	n_WEIGHT_10	n_NUMBER_10	n_ITEM_11	n_WEIGHT_11	n_NUMBER_11	n_ITEM_12	n_WEIGHT_12	n_NUMBER_12	n_ITEM_13	n_WEIGHT_13	n_NUMBER_13	n_ITEM_14	n_WEIGHT_14	n_NUMBER_14	n_ITEM_15	n_WEIGHT_15	n_NUMBER_15	n_ITEM_16	n_WEIGHT_16	n_NUMBER_16	n_ITEM_17	n_WEIGHT_17	n_NUMBER_17	n_ITEM_18	n_WEIGHT_18	n_NUMBER_18	n_ITEM_19	n_WEIGHT_19	n_NUMBER_19	n_ITEM_20	n_WEIGHT_20	n_NUMBER_20	n_ITEM_21	n_WEIGHT_21	n_NUMBER_21	n_ITEM_22	n_WEIGHT_22	n_NUMBER_22	n_ITEM_23	n_WEIGHT_23	n_NUMBER_23	n_ITEM_24	n_WEIGHT_24	n_NUMBER_24	n_ITEM_25	n_WEIGHT_25	n_NUMBER_25	n_ITEM_26	n_WEIGHT_26	n_NUMBER_26	n_ITEM_27	n_WEIGHT_27	n_NUMBER_27	n_ITEM_28	n_WEIGHT_28	n_NUMBER_28	n_ITEM_29	n_WEIGHT_29	n_NUMBER_29	n_ITEM_30	n_WEIGHT_30	n_NUMBER_30
1	1	30	1	2401006	350	5	2401151	200	1	2401151	100	2	2401151	50	3	2400701	100	1	2600005	100	1	2600005	100	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	31	50	1	2401007	250	5	2401152	150	1	2401152	100	2	2401152	50	3	2400702	100	1	2600005	100	1	2600005	50	2	2605001	100	1	2600091	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	51	65	1	2401008	150	5	2401153	150	1	2401153	100	2	2401153	50	3	2400703	100	1	2600005	100	1	2600005	50	2	2605001	100	1	2600091	100	1	2400755	50	3	3509535	50	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	66	80	1	2401009	150	5	2401154	150	1	2401154	100	2	2401154	50	3	2400704	100	1	2600005	100	1	2600005	50	2	2605001	100	1	2600092	100	1	2400756	50	3	3509535	50	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	81	90	1	2401010	150	5	2401155	150	1	2401155	100	2	2401155	50	3	2400705	100	1	2600005	100	1	2600005	50	2	2605001	100	1	2600092	100	1	2400757	50	3	3509535	50	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	91	100	1	2401011	150	5	2401156	150	1	2401156	100	2	2401156	50	3	2400706	100	1	2600005	100	1	2600005	50	2	2605001	100	1	2600093	100	1	2400758	50	3	3509535	50	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	101	110	1	2401012	150	5	2401157	150	1	2401157	100	2	2401157	50	3	2400707	100	1	2600005	100	1	2600005	50	2	2605001	100	1	2600093	100	1	2400759	50	3	3509535	50	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	111	999	1	2401013	150	5	2401158	150	1	2401158	100	2	2401158	50	3	2400708	100	1	2600005	100	1	2600005	50	2	2605001	100	1	2600094	100	1	2400760	50	3	3509535	50	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	1	999	2	3520001	100	1	3520002	100	1	3520003	100	1	3520004	100	1	3520005	100	1	3520006	100	1	3520007	50	1	0	0	0	3520009	100	1	3520010	100	1	3520011	100	1	3520013	100	1	3520014	100	1	3520015	100	1	3520016	100	1	3520018	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	1	999	3	2400813	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
