n_ID	n_QUALITY	n_LV_MIN	n_LV_MAX	n_DROPSGROUP	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
1	1	1	34	2700201	OUT	1.08.0000	1.08.0000	1.08.0000
2	1	35	44	2700202	OUT	1.08.0000	1.08.0000	1.08.0000
3	1	45	54	2700203	OUT	1.08.0000	1.08.0000	1.08.0000
4	1	55	64	2700204	OUT	1.08.0000	1.08.0000	1.08.0000
5	1	65	74	2700205	OUT	1.08.0000	1.08.0000	1.08.0000
6	1	75	84	2700206	OUT	1.08.0000	1.08.0000	1.08.0000
7	1	85	94	2700207	OUT	1.08.0000	1.08.0000	1.08.0000
8	1	95	104	2700208	OUT	1.08.0000	1.08.0000	1.08.0000
9	1	105	114	2700209	OUT	1.08.0000	1.08.0000	1.08.0000
10	1	115	124	2700210	OUT	1.08.0000	1.08.0000	1.08.0000
11	1	125	134	2700211	OUT	1.08.0000	1.08.0000	1.08.0000
12	1	135	144	2700212	OUT	1.08.0000	1.08.0000	1.08.0000
101	2	1	34	2700251	OUT	1.08.0000	1.08.0000	1.08.0000
102	2	35	44	2700252	OUT	1.08.0000	1.08.0000	1.08.0000
103	2	45	54	2700253	OUT	1.08.0000	1.08.0000	1.08.0000
104	2	55	64	2700254	OUT	1.08.0000	1.08.0000	1.08.0000
105	2	65	74	2700255	OUT	1.08.0000	1.08.0000	1.08.0000
106	2	75	84	2700256	OUT	1.08.0000	1.08.0000	1.08.0000
107	2	85	94	2700257	OUT	1.08.0000	1.08.0000	1.08.0000
108	2	95	104	2700258	OUT	1.08.0000	1.08.0000	1.08.0000
109	2	105	114	2700259	OUT	1.08.0000	1.08.0000	1.08.0000
110	2	115	124	2700260	OUT	1.08.0000	1.08.0000	1.08.0000
111	2	125	134	2700261	OUT	1.08.0000	1.08.0000	1.08.0000
112	2	135	144	2700262	OUT	1.08.0000	1.08.0000	1.08.0000
201	3	1	34	2700301	OUT	1.08.0000	1.08.0000	1.08.0000
202	3	35	44	2700302	OUT	1.08.0000	1.08.0000	1.08.0000
203	3	45	54	2700303	OUT	1.08.0000	1.08.0000	1.08.0000
204	3	55	64	2700304	OUT	1.08.0000	1.08.0000	1.08.0000
205	3	65	74	2700305	OUT	1.08.0000	1.08.0000	1.08.0000
206	3	75	84	2700306	OUT	1.08.0000	1.08.0000	1.08.0000
207	3	85	94	2700307	OUT	1.08.0000	1.08.0000	1.08.0000
208	3	95	104	2700308	OUT	1.08.0000	1.08.0000	1.08.0000
209	3	105	114	2700309	OUT	1.08.0000	1.08.0000	1.08.0000
210	3	115	124	2700310	OUT	1.08.0000	1.08.0000	1.08.0000
211	3	125	134	2700311	OUT	1.08.0000	1.08.0000	1.08.0000
212	3	135	144	2700312	OUT	1.08.0000	1.08.0000	1.08.0000
301	4	1	34	2700351	OUT	1.08.0000	1.08.0000	1.08.0000
302	4	35	44	2700352	OUT	1.08.0000	1.08.0000	1.08.0000
303	4	45	54	2700353	OUT	1.08.0000	1.08.0000	1.08.0000
304	4	55	64	2700354	OUT	1.08.0000	1.08.0000	1.08.0000
305	4	65	74	2700355	OUT	1.08.0000	1.08.0000	1.08.0000
306	4	75	84	2700356	OUT	1.08.0000	1.08.0000	1.08.0000
307	4	85	94	2700357	OUT	1.08.0000	1.08.0000	1.08.0000
308	4	95	104	2700358	OUT	1.08.0000	1.08.0000	1.08.0000
309	4	105	114	2700359	OUT	1.08.0000	1.08.0000	1.08.0000
310	4	115	124	2700360	OUT	1.08.0000	1.08.0000	1.08.0000
311	4	125	134	2700361	OUT	1.08.0000	1.08.0000	1.08.0000
312	4	135	144	2700362	OUT	1.08.0000	1.08.0000	1.08.0000
