n_ID	f_DROPS_RATE	n_NUMBER_MIN	n_NUMBER_MAX	n_ITEM_1	n_WEIGHT_1	n_ITEM_2	n_WEIGHT_2	n_ITEM_3	n_WEIGHT_3	n_ITEM_4	n_WEIGHT_4	n_ITEM_5	n_WEIGHT_5	n_ITEM_6	n_WEIGHT_6	n_ITEM_7	n_WEIGHT_7	n_ITEM_8	n_WEIGHT_8	n_ITEM_9	n_WEIGHT_9	n_ITEM_10	n_WEIGHT_10	n_ITEM_11	n_WEIGHT_11	n_ITEM_12	n_WEIGHT_12	n_ITEM_13	n_WEIGHT_13	n_ITEM_14	n_WEIGHT_14	n_ITEM_15	n_WEIGHT_15	n_ITEM_16	n_WEIGHT_16	n_ITEM_17	n_WEIGHT_17	n_ITEM_18	n_WEIGHT_18	n_ITEM_19	n_WEIGHT_19	n_ITEM_20	n_WEIGHT_20
1	50.0	1	1	2200201	100	2200401	100	2200601	100	2200801	100	2201001	100	2201201	100	2204001	100	2204201	100	2204401	100	2204601	100	2204801	100	2205001	100	2205201	100	2205401	100	2205601	100	0	0	0	100	0	0	0	0	0	0
2	50.0	1	1	2200202	100	2200402	100	2200602	100	2200802	100	2201002	100	2201202	100	2204002	100	2204202	100	2204402	100	2204602	100	2204802	100	2205002	50	2205202	50	2205402	50	2205602	50	0	0	0	100	0	0	0	0	0	0
3	50.0	1	1	2200222	100	2200422	100	2200622	100	2200822	100	2201022	100	2201222	100	2204026	100	2204226	100	2204426	100	2204621	100	2204821	100	2205020	30	2205220	30	2205420	30	2205620	30	0	0	0	100	0	0	0	0	0	0
4	30.0	1	1	2200223	100	2200423	100	2200623	100	2200823	100	2201023	100	2201223	100	2204027	100	2204227	100	2204427	100	2204622	100	2204822	100	2205020	30	2205220	30	2205420	30	2205620	30	0	0	0	100	0	0	0	0	0	0
5	100.0	1	1	2200202	50	2200402	50	2200602	50	2200802	50	2201002	50	2201202	50	2204002	50	2204202	50	2204402	50	2204602	50	2204802	50	2205001	50	2205201	50	2205401	50	2205601	50	0	0	0	50	0	0	0	0	0	0
6	100.0	1	1	2200222	50	2200422	50	2200622	50	2200822	50	2201022	50	2201222	50	2204026	50	2204226	50	2204426	50	2204621	50	2204821	50	2205002	50	2205202	50	2205402	50	2205602	50	0	0	0	50	0	0	0	0	0	0
7	100.0	1	1	2200223	50	2200423	50	2200623	50	2200823	50	2201023	50	2201223	50	2204027	50	2204227	50	2204427	50	2204622	50	2204822	50	2205020	50	2205220	50	2205420	50	2205620	50	0	0	0	50	0	0	0	0	0	0
8	100.0	1	1	2200223	50	2200423	50	2200623	50	2200823	50	2201023	50	2201223	50	2204027	50	2204227	50	2204427	50	2204622	50	2204822	50	2205020	50	2205220	50	2205420	50	2205620	50	0	0	0	50	0	0	0	0	0	0
9	100.0	1	1	2200224	50	2200424	50	2200624	50	2200824	50	2201024	50	2201224	50	2204028	50	2204228	50	2204428	50	2204623	50	2204823	50	2205021	50	2205221	50	2205421	50	2205621	50	0	0	0	50	0	0	0	0	0	0
10	100.0	1	1	2200224	50	2200424	50	2200624	50	2200824	50	2201024	50	2201224	50	2204028	50	2204228	50	2204428	50	2204623	50	2204823	50	2205021	50	2205221	50	2205421	50	2205621	50	0	0	0	50	0	0	0	0	0	0
11	100.0	1	1	2200224	50	2200424	50	2200624	50	2200824	50	2201024	50	2201224	50	2204028	50	2204228	0	2204428	0	2204623	0	2204823	0	2204004	20	2204804	0	2205004	0	2205604	0	0	0	0	50	0	0	0	0	0	0
12	100.0	1	1	2200224	50	2200424	50	2200624	50	2200824	50	2201024	50	2201224	50	2204028	0	2204228	50	2204428	0	2204623	0	2204823	0	2204204	20	2204404	0	2205605	0	2205205	0	0	0	0	50	0	0	0	0	0	0
13	100.0	1	1	2200224	50	2200424	50	2200624	50	2200824	50	2201024	50	2201224	50	2204028	0	2204228	0	2204428	50	2204623	0	2204823	0	2204404	20	2204604	0	2205005	0	2205404	0	0	0	0	50	0	0	0	0	0	0
14	100.0	1	1	2200224	50	2200424	50	2200624	50	2200824	50	2201024	50	2201224	50	2204028	0	2204228	0	2204428	0	2204623	50	2204823	0	2204604	20	2204404	0	2205204	0	2205405	0	0	0	0	50	0	0	0	0	0	0
15	100.0	1	1	2200224	50	2200424	50	2200624	50	2200824	50	2201024	50	2201224	50	2204028	0	2204228	0	2204428	0	2204623	0	2204823	50	2204804	20	2204804	0	2205004	0	2205605	0	0	0	0	50	0	0	0	0	0	0
16	100.0	1	1	2200224	50	2200424	50	2200624	50	2200824	50	2201024	50	2201224	50	2204028	50	2204228	50	2204428	0	2204623	0	2204823	50	2204004	20	2204204	20	2204804	20	2205604	0	2205405	0	0	50	0	0	0	0	0	0
17	100.0	1	1	2200224	50	2200424	50	2200624	50	2200824	50	2201024	50	2201224	50	2204028	0	2204228	0	2204428	50	2204623	50	2204823	0	2204404	20	2204604	20	2205005	0	2205204	0	0	0	0	50	0	0	0	0	0	0
18	100.0	1	5	2205001	20	2205201	20	2205401	20	2205601	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	100.0	1	5	2205002	20	2205202	20	2205402	20	2205602	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	100.0	1	5	2205020	20	2205220	20	2205420	20	2205620	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	100.0	1	5	2205021	20	2205221	20	2205421	20	2205621	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	55.0	1	1	2200201	100	2200401	100	2200601	100	2200801	100	2201001	100	2201201	100	2204001	100	2204201	100	2204401	100	2204601	100	2204801	100	2205001	100	2205201	100	2205401	100	2205601	100	0	0	0	100	0	0	0	0	0	0
27	55.0	1	1	2200202	100	2200402	100	2200602	100	2200802	100	2201002	100	2201202	100	2204002	100	2204202	100	2204402	100	2204602	100	2204802	100	2205002	100	2205202	100	2205402	100	2205602	100	0	0	0	100	0	0	0	0	0	0
28	55.0	1	1	2200222	100	2200422	100	2200622	100	2200822	100	2201022	100	2201222	100	2204026	100	2204226	100	2204426	100	2204621	100	2204821	100	2205020	100	2205220	100	2205420	100	2205620	100	0	0	0	100	0	0	0	0	0	0
29	35.0	1	1	2200223	100	2200423	100	2200623	100	2200823	100	2201023	100	2201223	100	2204027	100	2204227	100	2204427	100	2204622	100	2204822	100	2205020	100	2205220	100	2205420	100	2205620	100	0	0	0	100	0	0	0	0	0	0
30	35.0	1	1	2200224	100	2200424	100	2200624	100	2200824	100	2201024	100	2201224	100	2204028	100	2204228	100	2204428	100	2204623	100	2204823	100	2205021	100	2205221	100	2205421	100	2205621	100	0	0	0	100	0	0	0	0	0	0
31	30.0	1	1	2200224	100	2200424	100	2200624	100	2200824	100	2201024	100	2201224	100	2204028	100	2204228	100	2204428	100	2204623	100	2204823	100	2205021	30	2205221	30	2205421	30	2205621	30	0	0	0	100	0	0	0	0	0	0
32	100.0	10	20	2200224	50	2200424	50	2200624	50	2200824	50	2201024	50	2201224	50	2204028	50	2204228	50	2204428	50	2204623	50	2204823	50	2205003	20	2205203	20	2205403	20	2205603	20	0	0	0	50	0	0	0	0	0	0
33	100.0	1	3	2200222	50	2200422	50	2200622	50	2200822	50	2201022	50	2201222	50	2204026	50	2204226	50	2204426	50	2204621	50	2204821	50	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0
35	50.0	1	1	2200224	50	2200424	50	2200624	50	2200824	50	2201024	50	2201224	50	2204028	50	2204228	0	2204428	0	2204623	0	2204823	0	2204004	20	2204804	0	2205004	0	2205604	0	0	0	0	50	0	0	0	0	0	0
36	50.0	1	1	2200224	50	2200424	50	2200624	50	2200824	50	2201024	50	2201224	50	2204028	0	2204228	50	2204428	0	2204623	0	2204823	0	2204204	20	2204404	0	2205605	0	2205205	0	0	0	0	50	0	0	0	0	0	0
37	50.0	1	1	2200224	50	2200424	50	2200624	50	2200824	50	2201024	50	2201224	50	2204028	0	2204228	0	2204428	50	2204623	0	2204823	0	2204404	20	2204604	0	2205005	0	2205404	0	0	0	0	50	0	0	0	0	0	0
38	50.0	1	1	2200224	50	2200424	50	2200624	50	2200824	50	2201024	50	2201224	50	2204028	0	2204228	0	2204428	0	2204623	50	2204823	0	2204604	20	2204404	0	2205204	0	2205405	0	0	0	0	50	0	0	0	0	0	0
39	50.0	1	1	2200224	50	2200424	50	2200624	50	2200824	50	2201024	50	2201224	50	2204028	0	2204228	0	2204428	0	2204623	0	2204823	50	2204804	20	2204804	0	2205004	0	2205605	0	0	0	0	50	0	0	0	0	0	0
40	50.0	1	1	2200224	50	2200424	50	2200624	50	2200824	50	2201024	50	2201224	50	2204028	50	2204228	50	2204428	0	2204623	0	2204823	50	2204004	20	2204204	20	2204804	20	2205604	0	2205405	0	0	50	0	0	0	0	0	0
41	50.0	1	1	2200224	50	2200424	50	2200624	50	2200824	50	2201024	50	2201224	50	2204028	0	2204228	0	2204428	50	2204623	50	2204823	0	2204404	20	2204604	20	2205005	0	2205204	0	0	0	0	50	0	0	0	0	0	0
42	100.0	1	3	0	50	0	50	0	50	0	50	0	50	0	50	0	50	0	50	0	50	0	50	0	50	0	20	0	20	0	20	0	20	0	20	0	50	0	0	0	0	0	0
43	100.0	1	3	0	50	0	50	0	50	0	50	0	50	0	50	0	50	0	50	0	50	0	50	0	50	0	20	0	20	0	20	0	20	0	20	0	50	0	0	0	0	0	0
44	100.0	1	2	0	50	0	50	0	50	0	50	0	50	0	50	0	50	0	50	0	50	0	20	0	20	0	20	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0
45	100.0	1	2	0	50	0	50	0	50	0	50	0	50	0	50	0	50	0	50	0	50	0	50	0	20	0	20	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0
46	100.0	1	3	0	50	0	50	0	50	0	50	0	50	0	50	0	50	0	50	0	50	0	50	0	50	0	20	0	20	0	20	0	20	0	20	0	50	0	0	0	0	0	0
47	100.0	1	3	0	50	0	50	0	50	0	50	0	50	0	50	0	50	0	50	0	50	0	50	0	50	0	20	0	20	0	20	0	20	0	20	0	50	0	0	0	0	0	0
48	100.0	1	2	0	50	0	50	0	50	0	50	0	50	0	50	0	50	0	50	0	50	0	20	0	20	0	20	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0
49	100.0	1	2	0	50	0	50	0	50	0	50	0	50	0	50	0	50	0	50	0	50	0	50	0	20	0	20	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0
50	100.0	1	3	0	50	0	50	0	50	0	50	0	50	0	50	0	50	0	50	0	50	0	50	0	50	0	20	0	20	0	20	0	20	0	20	0	50	0	0	0	0	0	0
51	100.0	1	3	0	50	0	50	0	50	0	50	0	50	0	50	0	50	0	50	0	50	0	50	0	50	0	20	0	20	0	20	0	20	0	20	0	50	0	0	0	0	0	0
101	100.0	1	1	2200202	50	2200402	50	2200602	50	2200802	50	2201002	50	2201202	50	2204002	50	2204202	50	2204402	50	2204602	50	2204802	50	2205001	50	2205201	50	2205401	50	2205601	50	0	0	0	50	0	0	0	0	0	0
102	100.0	1	1	2200222	50	2200422	50	2200622	50	2200822	50	2201022	50	2201222	50	2204026	50	2204226	50	2204426	50	2204621	50	2204821	50	2205002	50	2205202	50	2205402	50	2205602	50	0	0	0	50	0	0	0	0	0	0
103	100.0	1	1	2200223	50	2200423	50	2200623	50	2200823	50	2201023	50	2201223	50	2204027	50	2204227	50	2204427	50	2204622	50	2204822	50	2205020	50	2205220	50	2205420	50	2205620	50	0	0	0	50	0	0	0	0	0	0
104	100.0	1	1	2200223	50	2200423	50	2200623	50	2200823	50	2201023	50	2201223	50	2204027	50	2204227	50	2204427	50	2204622	50	2204822	50	2205020	50	2205220	50	2205420	50	2205620	50	0	0	0	50	0	0	0	0	0	0
105	100.0	1	1	2200224	50	2200424	50	2200624	50	2200824	50	2201024	50	2201224	50	2204028	50	2204228	50	2204428	50	2204623	50	2204823	50	2205021	50	2205221	50	2205421	50	2205621	50	0	0	0	50	0	0	0	0	0	0
106	100.0	1	1	2200224	50	2200424	50	2200624	50	2200824	50	2201024	50	2201224	50	2204028	50	2204228	50	2204428	50	2204623	50	2204823	50	2205021	50	2205221	50	2205421	50	2205621	50	0	0	0	50	0	0	0	0	0	0
1001	100.0	1	1	2204003	100	2204203	100	2204403	100	2204603	100	2204803	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
