n_ID	n_ITEM_1	n_LIMIT_1	n_QUESTID_1	n_M_BUFF_1	f_RATE_1	n_ITEM_2	n_LIMIT_2	n_QUESTID_2	n_M_BUFF_2	f_RATE_2	n_ITEM_3	n_LIMIT_3	n_QUESTID_3	n_M_BUFF_3	f_RATE_3	n_ITEM_4	n_LIMIT_4	n_QUESTID_4	n_M_BUFF_4	f_RATE_4	n_ITEM_5	n_LIMIT_5	n_QUESTID_5	n_M_BUFF_5	f_RATE_5	n_ITEM_6	n_LIMIT_6	n_QUESTID_6	n_M_BUFF_6	f_RATE_6	n_ITEM_7	n_LIMIT_7	n_QUESTID_7	n_M_BUFF_7	f_RATE_7	n_ITEM_8	n_LIMIT_8	n_QUESTID_8	n_M_BUFF_8	f_RATE_8	n_ITEM_9	n_LIMIT_9	n_QUESTID_9	n_M_BUFF_9	f_RATE_9	n_ITEM_10	n_LIMIT_10	n_QUESTID_10	n_M_BUFF_10	f_RATE_10	n_ITEM_11	n_LIMIT_11	n_QUESTID_11	n_M_BUFF_11	f_RATE_11	n_ITEM_12	n_LIMIT_12	n_QUESTID_12	n_M_BUFF_12	f_RATE_12	n_ITEM_13	n_LIMIT_13	n_QUESTID_13	n_M_BUFF_13	f_RATE_13	n_ITEM_14	n_LIMIT_14	n_QUESTID_14	n_M_BUFF_14	f_RATE_14	n_ITEM_15	n_LIMIT_15	n_QUESTID_15	n_M_BUFF_15	f_RATE_15	n_ITEM_16	n_LIMIT_16	n_QUESTID_16	n_M_BUFF_16	f_RATE_16	n_ITEM_17	n_LIMIT_17	n_QUESTID_17	n_M_BUFF_17	f_RATE_17	n_ITEM_18	n_LIMIT_18	n_QUESTID_18	n_M_BUFF_18	f_RATE_18	n_ITEM_19	n_LIMIT_19	n_QUESTID_19	n_M_BUFF_19	f_RATE_19	n_ITEM_20	n_LIMIT_20	n_QUESTID_20	n_M_BUFF_20	f_RATE_20
27	2500021	5	54	0	100.0	2500030	10	82	0	100.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0
28	2500020	5	52	0	100.0	2500029	10	88	0	100.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0
29	2500028	10	87	0	100.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0
30	2500036	15	95	0	100.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0
31	2500038	1	323	0	100.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0
32	2500026	10	71	0	100.0	2500034	15	92	0	100.0	2500027	0	357	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0
33	2500032	10	89	0	100.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0
34	2500037	10	97	0	100.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0
55	2500052	15	158	0	90.0	2500601	15	8025	0	50.0	2500601	15	8007	0	50.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0
56	2500053	20	160	0	90.0	2500601	15	8025	0	50.0	2500637	15	7160	0	70.0	2500601	15	8007	0	50.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0
