n_ID	f_DROPS_RATE	n_NUMBER_MIN	n_NUMBER_MAX	n_ITEM_1	n_WEIGHT_1	n_ITEM_2	n_WEIGHT_2	n_ITEM_3	n_WEIGHT_3	n_ITEM_4	n_WEIGHT_4	n_ITEM_5	n_WEIGHT_5	n_ITEM_6	n_WEIGHT_6	n_ITEM_7	n_WEIGHT_7	n_ITEM_8	n_WEIGHT_8	n_ITEM_9	n_WEIGHT_9	n_ITEM_10	n_WEIGHT_10	n_ITEM_11	n_WEIGHT_11	n_ITEM_12	n_WEIGHT_12	n_ITEM_13	n_WEIGHT_13	n_ITEM_14	n_WEIGHT_14	n_ITEM_15	n_WEIGHT_15	n_ITEM_16	n_WEIGHT_16	n_ITEM_17	n_WEIGHT_17	n_ITEM_18	n_WEIGHT_18	n_ITEM_19	n_WEIGHT_19	n_ITEM_20	n_WEIGHT_20	n_ITEM_21	n_WEIGHT_21	n_ITEM_22	n_WEIGHT_22	n_ITEM_23	n_WEIGHT_23	n_ITEM_24	n_WEIGHT_24	n_ITEM_25	n_WEIGHT_25	n_ITEM_26	n_WEIGHT_26	n_ITEM_27	n_WEIGHT_27	n_ITEM_28	n_WEIGHT_28	n_ITEM_29	n_WEIGHT_29	n_ITEM_30	n_WEIGHT_30
1	100.0	1	3	2600041	15	2600042	40	2600043	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	100.0	2	3	2600041	15	2600042	40	2600043	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	100.0	1	1	2400101	100	2400106	100	2400111	100	2400116	100	2400121	100	2400126	100	2400131	100	2400136	100	2400141	100	2400146	100	2400151	100	2400156	100	2400161	100	2400166	100	2400171	100	2400176	100	2400181	100	2400186	100	2400191	100	2400196	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	100.0	1	1	2400102	100	2400107	100	2400112	100	2400117	100	2400122	100	2400127	100	2400132	100	2400137	100	2400142	100	2400147	100	2400152	100	2400157	100	2400162	100	2400167	100	2400172	100	2400177	100	2400182	100	2400187	100	2400192	100	2400197	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	100.0	1	1	2400103	100	2400108	100	2400113	100	2400118	100	2400123	100	2400128	100	2400133	100	2400138	100	2400143	100	2400148	100	2400153	100	2400158	100	2400163	100	2400168	100	2400173	100	2400178	100	2400183	100	2400188	100	2400193	100	2400198	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	100.0	1	1	2400104	100	2400109	100	2400114	100	2400119	100	2400124	100	2400129	100	2400134	100	2400139	100	2400144	100	2400149	100	2400154	100	2400159	100	2400164	100	2400169	100	2400174	100	2400179	100	2400184	100	2400189	100	2400194	100	2400199	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	100.0	1	1	2400105	100	2400110	100	2400115	100	2400120	100	2400125	100	2400130	100	2400135	100	2400140	100	2400145	100	2400150	100	2400155	100	2400160	100	2400165	100	2400170	100	2400175	100	2400180	100	2400185	100	2400190	100	2400195	100	2400200	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	100.0	1	1	0	100	0	100	0	100	0	100	0	75	0	75	0	75	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	100.0	1	1	2405512	100	2405513	100	2405514	100	2405515	100	2405516	75	2405517	75	2405518	75	2405519	75	2405520	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	100.0	1	1	2405523	100	2405524	100	2405525	100	2405526	100	2405527	75	2405528	75	2405529	75	2405530	75	2405531	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	100.0	1	1	2405534	100	2405535	100	2405536	100	2405537	100	2405538	75	2405539	75	2405540	75	2405541	75	2405542	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	100.0	1	1	2405545	100	2405546	100	2405547	100	2405548	100	2405549	75	2405550	75	2405551	75	2405552	75	2405553	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	100.0	1	1	2416005	15	2416015	15	2416017	15	2416020	40	2416031	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	100.0	1	1	2416003	10	2416007	30	2416018	40	2416019	15	2416033	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	100.0	1	1	2416004	10	2416009	30	2416014	15	2416023	40	2416035	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	100.0	1	1	2416006	15	2416010	40	2416013	30	2416024	10	2416036	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	100.0	1	1	2416074	40	2416080	30	2416088	10	2416098	15	2416104	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	100.0	1	1	2416076	10	2416082	40	2416092	15	2416102	30	2416106	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	100.0	1	1	2416078	30	2416084	15	2416090	40	2416099	10	2416107	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	100.0	1	1	2416079	40	2416085	10	2416089	30	2416101	15	2416108	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
