n_ID	n_STACKGROUP	n_STACKSTATUS	s_ICON	n_EFFECT	n_EFFECT_SUBTYPE	n_VISIBLE	n_MESSAGE_VISIBLE	n_DURATION	n_CONSUMPTION	n_VAR_1	n_VAR_2	f_VAR_1	f_VAR_2	n_DEADLINENOTE
1	10	2	ICON_MAIN_MAKE	3	1	2	1	300	4294967295	0	0	30.0	30.0	0
2	61	2	IB004	20	0	2	1	86400	4294967295	0	0	0.0	0.0	0
3	61	2	IB004	20	0	2	1	259200	4294967295	0	0	0.0	0.0	0
4	11	2	ICON_MAIN_MAKE	9	0	0	1	4294967295	5	0	0	0.0	0.0	0
5	61	2	IB004	20	0	2	1	2592000	4294967295	0	0	0.0	0.0	0
8	2	8	ICON_STONE_004_000	4	12	1	0	1200	4294967295	0	0	2.0	2.0	0
9	2	8	ICON_STONE_004_001	4	12	1	0	1200	4294967295	0	0	4.0	4.0	0
10	2	8	ICON_STONE_004_002	4	12	1	0	1200	4294967295	0	0	6.0	6.0	0
11	2	8	ICON_STONE_004_003	4	12	1	0	1200	4294967295	0	0	8.0	8.0	0
12	2	8	ICON_STONE_004_004	4	12	1	0	1200	4294967295	0	0	10.0	10.0	0
13	3	8	ICON_STONE_005_000	4	13	1	0	1200	4294967295	0	0	2.0	2.0	0
14	3	8	ICON_STONE_005_001	4	13	1	0	1200	4294967295	0	0	4.0	4.0	0
15	3	8	ICON_STONE_005_002	4	13	1	0	1200	4294967295	0	0	6.0	6.0	0
16	3	8	ICON_STONE_005_003	4	13	1	0	1200	4294967295	0	0	8.0	8.0	0
17	3	8	ICON_STONE_005_004	4	13	1	0	1200	4294967295	0	0	10.0	10.0	0
73	4	4	IS147a	4	12	0	0	4294967295	4294967295	0	0	2.0	2.0	0
74	4	4	IS147a	4	12	0	0	4294967295	4294967295	0	0	4.0	4.0	0
75	4	4	IS147a	4	12	0	0	4294967295	4294967295	0	0	6.0	6.0	0
76	4	4	IS147a	4	12	0	0	4294967295	4294967295	0	0	8.0	8.0	0
77	4	4	IS147a	4	12	0	0	4294967295	4294967295	0	0	10.0	10.0	0
78	4	4	IS147a	4	12	0	0	4294967295	4294967295	0	0	12.0	12.0	0
79	4	4	IS147a	4	12	0	0	4294967295	4294967295	0	0	14.0	14.0	0
80	4	4	IS147a	4	12	0	0	4294967295	4294967295	0	0	16.0	16.0	0
81	4	4	IS147a	4	12	0	0	4294967295	4294967295	0	0	18.0	18.0	0
82	4	4	IS147a	4	12	0	0	4294967295	4294967295	0	0	20.0	20.0	0
85	16	2	ICON_SERVICE_000_000	2	0	2	1	86400	4294967295	0	0	0.0	0.0	1
