n_ID	n_TYPE	n_GROUP	n_PREEFFECT	n_EFFECTID	n_BUFFID	n_ALLOTPOINT	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
1	2	1	0	73	0	10	1.00.0000	1.00.0000	1.07.0000	1.07.0000
2	2	1	1	74	0	20	1.00.0000	1.00.0000	1.07.0000	1.07.0000
3	2	1	2	75	0	35	1.00.0000	1.00.0000	1.07.0000	1.07.0000
4	2	1	3	76	0	55	1.00.0000	1.00.0000	1.07.0000	1.07.0000
5	2	1	4	77	0	80	1.00.0000	1.00.0000	1.07.0000	1.07.0000
6	2	1	5	78	0	110	1.00.0000	1.00.0000	1.07.0000	1.07.0000
7	2	1	6	79	0	145	1.00.0000	1.00.0000	1.07.0000	1.07.0000
8	2	1	7	80	0	185	1.00.0000	1.00.0000	1.07.0000	1.07.0000
9	2	1	8	81	0	230	1.00.0000	1.00.0000	1.07.0000	1.07.0000
10	2	1	9	82	0	280	1.00.0000	1.00.0000	1.07.0000	1.07.0000
11	2	2	0	95	0	10	1.00.0000	1.00.0000	1.07.0000	1.07.0000
12	2	2	11	96	0	20	1.00.0000	1.00.0000	1.07.0000	1.07.0000
13	2	2	12	97	0	35	1.00.0000	1.00.0000	1.07.0000	1.07.0000
14	2	2	13	98	0	55	1.00.0000	1.00.0000	1.07.0000	1.07.0000
15	2	2	14	99	0	80	1.00.0000	1.00.0000	1.07.0000	1.07.0000
16	2	2	15	100	0	110	1.00.0000	1.00.0000	1.07.0000	1.07.0000
17	2	2	16	101	0	145	1.00.0000	1.00.0000	1.07.0000	1.07.0000
18	2	2	17	102	0	185	1.00.0000	1.00.0000	1.07.0000	1.07.0000
19	2	2	18	103	0	230	1.00.0000	1.00.0000	1.07.0000	1.07.0000
20	2	2	19	104	0	280	1.00.0000	1.00.0000	1.07.0000	1.07.0000
21	2	3	0	105	0	10	1.00.0000	1.00.0000	1.07.0000	1.07.0000
22	2	3	21	106	0	20	1.00.0000	1.00.0000	1.07.0000	1.07.0000
23	2	3	22	107	0	35	1.00.0000	1.00.0000	1.07.0000	1.07.0000
24	2	3	23	108	0	55	1.00.0000	1.00.0000	1.07.0000	1.07.0000
25	2	3	24	109	0	80	1.00.0000	1.00.0000	1.07.0000	1.07.0000
26	2	3	25	110	0	110	1.00.0000	1.00.0000	1.07.0000	1.07.0000
27	2	3	26	111	0	145	1.00.0000	1.00.0000	1.07.0000	1.07.0000
28	2	3	27	112	0	185	1.00.0000	1.00.0000	1.07.0000	1.07.0000
29	2	3	28	113	0	230	1.00.0000	1.00.0000	1.07.0000	1.07.0000
30	2	3	29	114	0	280	1.00.0000	1.00.0000	1.07.0000	1.07.0000
31	2	4	0	115	0	10	1.00.0000	1.00.0000	1.07.0000	1.07.0000
32	2	4	31	116	0	20	1.00.0000	1.00.0000	1.07.0000	1.07.0000
33	2	4	32	117	0	35	1.00.0000	1.00.0000	1.07.0000	1.07.0000
