n_ID	n_SKILL_ID	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
1	9800	1.00.0000	1.00.0000	1.00.0000	1.00.0000
2	9801	1.00.0000	1.00.0000	1.00.0000	1.00.0000
3	9802	1.00.0000	1.00.0000	1.00.0000	1.00.0000
4	9803	1.00.0000	1.00.0000	1.00.0000	1.00.0000
5	9804	1.00.0000	1.00.0000	1.00.0000	1.00.0000
6	9805	1.00.0000	1.00.0000	1.00.0000	1.00.0000
7	9806	1.00.0000	1.00.0000	1.00.0000	1.00.0000
8	9807	1.00.0000	1.00.0000	1.00.0000	1.00.0000
9	9808	1.00.0000	1.00.0000	1.00.0000	1.00.0000
10	9809	1.00.0000	1.00.0000	1.00.0000	1.00.0000
97	9810	OUT	1.09.0000	1.09.0000	1.10.0000
98	9811	OUT	1.09.0000	1.09.0000	1.10.0000
99	9812	OUT	1.09.0000	1.09.0000	1.10.0000
100	9813	OUT	1.09.0000	1.09.0000	1.10.0000
101	9814	OUT	1.09.0000	1.09.0000	1.10.0000
102	9815	OUT	1.09.0000	1.09.0000	1.10.0000
