n_ID	f_POPRATE	n_MILESTONE	s_ICONFX	f_POPRATE_BOMB	n_ENHANCE_FEE
1	100.0	0		0.0	100
2	100.0	0		0.0	200
3	100.0	0		0.0	300
4	50.0	0		0.0	400
5	50.0	1		0.0	500
6	50.0	1		0.0	600
7	50.0	1		0.0	700
8	50.0	1		0.0	800
9	50.0	1		0.0	900
10	50.0	2	Bg_FX_01	50.0	1000
11	50.0	2	Bg_FX_01	53.0	1500
12	50.0	2	Bg_FX_01	56.0	2000
13	50.0	2	Bg_FX_01	59.0	2500
14	50.0	2	Bg_FX_01	63.0	3000
15	40.0	3	Bg_FX_02	66.0	3500
16	35.0	3	Bg_FX_02	69.0	4000
17	30.0	3	Bg_FX_02	73.0	4500
18	25.0	3	Bg_FX_02	76.0	5000
19	20.0	3	Bg_FX_02	79.0	5500
20	15.0	4	Bg_FX_03	83.0	6000
21	10.0	4	Bg_FX_03	86.0	7000
22	5.0	4	Bg_FX_03	89.0	8000
23	3.0	4	Bg_FX_03	93.0	9000
24	2.0	4	Bg_FX_03	96.0	10000
25	1.0	5	Bg_FX_04	99.0	11000
