n_ID	s_NAME	s_ID_ICON	s_ID_MODEL_PARTS	n_ID_MODEL	n_ID_MAP	n_DROPMODEL_TYPE	s_MODEL_EFFECT	n_TAG_TRADE	n_QUALITY	n_ITEMLV	n_CONDITION_LV	n_CONDITION_GENDER	n_CONDITION_CLASS	n_CONDITION_CAMPS	n_CONDITION_SKILL	n_CONDITION_SKILLLV	n_ICONSLOT	n_EQUIPSLOT	n_EQUIPTYPE	n_EQUIPTYPE_EFFECT	n_TAG_LOOT	s_TAG_EXTRA	n_ID_USAGE	n_CD	n_PRICE_BUY	n_PRICE_VENDER	n_QUATITY_STACK	s_ITEM_EXIST	n_ID_BUFF	s_EQUIPFX	s_VARYDATA	n_BROADCAST	n_BROADCAST_QUANTITY	n_AVATAR_ADMIX	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
1	達人劍魂	ICON_SL_000_000		0	0	0		22	1	1	1	0	0	0	0	0	32768	32768	128	0	1024		0	0	10	1	1		0		42	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
2	創角用刃	ICON_SWORD_005_002	SWORD	5	2	1		0	1	5	1	0	3	0	0	0	16384	16384	1	0	4168		0	0	10	1	1		0			0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
3	創角用鎚	ICON_SSTICK_002_000	SSTICK	2	0	1		0	1	5	1	0	3	0	0	0	8	8	2	0	4168		0	0	10	1	1		0			0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
4	創角用盾	ICON_SHIELD_001_000	SHIELD	1	0	1		0	1	5	1	0	2	0	0	0	16	16	4	0	4168		0	0	10	1	1		0			0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
5	創角用浮石	ICON_SKULL_004_004	SKULL	4	4	1		0	1	5	1	0	16	0	0	0	8	24	8	0	4168		0	0	10	1	1		0			0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
6	創角用短管槍	ICON_FIREARM_001_000	FIREARM	1	0	1		0	1	5	1	0	4	0	0	0	8	24	16	0	4168		0	0	10	1	1		0			0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
8	創角用長杖	ICON_LSTICK_000_000	LSTICK	0	0	1		0	1	5	1	0	32	0	0	0	8	24	64	0	4168		0	0	10	1	1		0			0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
9	劍魂	ICON_SL_000_000		0	0	0		10	1	1	1	0	0	0	0	0	32768	32768	128	0	1024		0	0	10000	1	1		0		43	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
11	高階劍魂	ICON_SL_000_000		0	0	0		10	2	1	1	0	0	0	0	0	32768	32768	128	0	1024		0	0	10	1	1		0		44	0	0	0	OUT	1.07.0000	1.07.0000	1.07.0000
12	高階劍魂	ICON_SL_000_000		0	0	0		0	2	1	1	0	0	0	0	0	32768	32768	128	0	1024		0	0	10	1	1		0		44	0	0	0	OUT	1.07.0000	1.07.0000	1.07.0000
13	神階劍魂	ICON_SL_000_000		0	0	0		10	3	1	1	0	0	0	0	0	32768	32768	128	0	1024		0	0	10	1	1		0		45	0	0	0	OUT	1.07.0000	1.07.0000	1.07.0000
14	神階劍魂	ICON_SL_000_000		0	0	0		0	3	1	1	0	0	0	0	0	32768	32768	128	0	1024		0	0	10	1	1		0		45	0	0	0	OUT	1.07.0000	1.07.0000	1.07.0000
15	聖階劍魂	ICON_SL_000_000		0	0	0		10	4	1	1	0	0	0	0	0	32768	32768	128	0	1024		0	0	10	1	1		0		26	0	0	0	OUT	1.07.0000	1.07.0000	1.07.0000
16	聖階劍魂	ICON_SL_000_000		0	0	0		0	4	1	1	0	0	0	0	0	32768	32768	128	0	1024		0	0	10	1	1		0		26	0	0	0	OUT	1.07.0000	1.07.0000	1.07.0000
20	威爾森	ICON_SSTICK_006_000	SSTICK	6	0	1		55	3	5	1	0	0	0	0	0	8	8	2	0	16448		0	0	10	5	1		90			0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
201	短匕首	ICON_SWORD_003_002	SWORD	3	2	1		0	0	0	0	0	0	0	0	0	16384	16384	1	0	4168		0	0	10	1	1		0			0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
202	尖匕首	ICON_SWORD_003_003	SWORD	3	3	1		0	0	0	0	0	0	0	0	0	16384	16384	1	0	4168		0	0	10	1	1		0			0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
203	斐翼	ICON_SWORD_004_002	SWORD	4	2	1		0	0	0	0	0	0	0	0	0	16384	16384	1	0	4168		0	0	10	1	1		15211		71	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
204	紅羽鉤	ICON_SWORD_004_004	SWORD	4	4	1		0	0	0	0	0	0	0	0	0	16384	16384	1	0	4168		0	0	10	1	1		15217		71	0	0	0	1.10.0000	1.07.0000	1.07.0000	1.07.0000
205	血翼兇鐮	ICON_SWORD_004_000	SWORD	4	0	1		0	0	0	0	0	0	0	0	0	16384	16384	1	0	4168		0	0	10	1	1		15212		71	0	0	0	1.10.0000	1.07.0000	1.07.0000	1.07.0000
206	劣質短匕首	ICON_SWORD_003_002	SWORD	3	2	1		10	1	1	1	0	0	0	0	0	16384	16384	1	0	4168		0	0	10	1	1		0		42;102	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
207	5級戰備短匕首	ICON_SWORD_003_002	SWORD	3	2	1		10	1	5	5	0	0	0	0	0	16384	16384	1	0	4168		0	0	10	1	1		0		42;102	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
208	烈火之尖	ICON_SWORD_005_003	SWORD	5	3	1		20	4	100	100	0	0	0	0	0	16384	16384	1	0	16448		0	0	600	150	1	1;300	0		26	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
210	15級戰備短匕首	ICON_SWORD_003_002	SWORD	3	2	1		10	1	15	15	0	0	0	0	0	16384	16384	1	0	4168		0	0	10	1	1		0		42;102	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
211	25級戰備短匕首	ICON_SWORD_003_002	SWORD	3	2	1		10	1	25	25	0	0	0	0	0	16384	16384	1	0	4168		0	0	20	2	1		0		43;102	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
212	35級戰備尖匕首	ICON_SWORD_003_003	SWORD	3	3	1		10	1	35	35	0	0	0	0	0	16384	16384	1	0	4168		0	0	30	3	1		0		43;102	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
221	40級戰備尖匕首	ICON_SWORD_003_003	SWORD	3	3	1		10	2	40	40	0	0	0	0	0	16384	16384	1	0	4168		0	0	40	20	1		0		43	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
222	軍刀	ICON_SWORD_001_004	SWORD	1	4	1	2;1	0	0	0	0	0	0	0	0	0	16384	16384	1	0	4168		0	0	10	1	1		0			0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
223	鈾刀	ICON_SWORD_001_005	SWORD	1	5	1	2;1	0	0	0	0	0	0	0	0	0	16384	16384	1	0	4168		0	0	10	1	1		0			0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
224	精鐵細劍	ICON_SWORD_000_000	SWORD	0	0	1		0	0	0	0	0	0	0	0	0	16384	16384	1	0	4168		0	0	10	1	1		0			0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
225	鬼焱魔刀	ICON_SWORD_005_001	SWORD	5	1	1		23	4	100	1	0	0	0	0	0	16384	16384	1	0	16960		0	0	600	150	1	1;1800	8201		45	0	0	0	1.06.0000	1.07.0000	1.07.0000	1.07.0000
401	護鎚	ICON_SSTICK_002_000	SSTICK	2	0	1	2;2	0	0	0	0	0	0	0	0	0	8	8	2	0	4168		0	0	10	1	1		0			0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
402	赤鎚	ICON_SSTICK_002_001	SSTICK	2	1	1	2;2	0	0	0	0	0	0	0	0	0	8	8	2	0	4168		0	0	10	1	1		0			0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
403	寧靜角	ICON_SSTICK_003_004	SSTICK	3	4	1		0	0	0	0	0	0	0	0	0	8	8	2	0	4168		0	0	10	1	1		15211		71	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
404	獅王護	ICON_SSTICK_003_002	SSTICK	3	2	1		0	0	0	0	0	0	0	0	0	8	8	2	0	4168		0	0	10	1	1		15217		71	0	0	0	1.10.0000	1.07.0000	1.07.0000	1.07.0000
405	赤色災厄	ICON_SSTICK_003_000	SSTICK	3	0	1		0	0	0	0	0	0	0	0	0	8	8	2	0	4168		0	0	10	1	1		15212		71	0	0	0	1.10.0000	1.07.0000	1.07.0000	1.07.0000
