n_ID	s_NAME	s_ID_ICON	s_ID_MODEL_PARTS	n_ID_MODEL	n_ID_MAP	n_DROPMODEL_TYPE	s_MODEL_EFFECT	n_TAG_TRADE	n_QUALITY	n_ITEMLV	n_CONDITION_LV	n_CONDITION_GENDER	n_CONDITION_CLASS	n_CONDITION_CAMPS	n_CONDITION_SKILL	n_CONDITION_SKILLLV	n_ICONSLOT	n_EQUIPSLOT	n_EQUIPTYPE	n_EQUIPTYPE_EFFECT	n_TAG_LOOT	s_TAG_EXTRA	n_ID_USAGE	n_CD	n_PRICE_BUY	n_PRICE_VENDER	n_QUATITY_STACK	s_ITEM_EXIST	n_ID_BUFF	s_EQUIPFX	s_VARYDATA	n_BROADCAST	n_BROADCAST_QUANTITY	n_AVATAR_ADMIX	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
1	海軍上將-頭飾	ICON_HT_014_000	HT	14	0	2		0	1	1	0	0	0	0	0	0	1	1	131072	1	260		0	0	10	1	1		0			0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
2	海軍上將-上身	ICON_CT_014_000	CT	14	0	2		0	1	1	0	0	0	0	0	0	2	2	262144	0	260		0	0	10	1	1		0			0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
3	海軍上將-下身	ICON_LG_014_000	LG	14	0	2		0	1	1	0	0	0	0	0	0	4	4	262144	0	260		0	0	10	1	1		0			0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
4	盛裝雅痞-頭飾	ICON_HT_001_001	HT	1	1	2		0	1	1	0	0	0	0	0	0	1	1	131072	1	260		0	0	10	1	1		0			0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
5	盛裝雅痞-上身	ICON_CT_001_001	CT	1	1	2		0	1	1	0	0	0	0	0	0	2	2	262144	0	260		0	0	10	1	1		0			0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
6	盛裝雅痞-下身	ICON_LG_001_001	LG	1	1	2		0	1	1	0	0	0	0	0	0	4	4	262144	0	260		0	0	10	1	1		0			0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
7	紅日之輪-頭飾	ICON_HT_001_002	HT	1	2	2		0	1	1	0	0	0	0	0	0	1	1	131072	1	260		0	0	10	1	1		0			0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
8	紅日之輪-上身	ICON_CT_001_002	CT	1	2	2		0	1	1	0	0	0	0	0	0	2	2	262144	0	260		0	0	10	1	1		0			0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
9	紅日之輪-下身	ICON_LG_001_002	LG	1	2	2		0	1	1	0	0	0	0	0	0	4	4	262144	0	260		0	0	10	1	1		0			0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
10	翱翔之鷹-頭飾	ICON_HT_001_003	HT	1	3	2		0	1	1	0	0	0	0	0	0	1	1	131072	1	260		0	0	10	1	1		0			0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
