n_ID	s_NAME	n_EQUIPTYPE	n_ATTACK_SKILL	n_BUFF_1	n_BUFF_2	n_BUFF_3	n_BUFF_4	n_BUFF_5	n_MILESTONE_1	n_MILESTONE_2	n_MILESTONE_3	n_MILESTONE_4	n_MILESTONE_5	n_SLOTQUANTITY	s_SLOT_NUM
1	劍(單手)	1	280	5001	5002	5003	5004	5005	15001	15002	15003	15004	15005	2	1;0;0\n2;0;1\n3;0;2\n4;1;2
2	短杖(單手)	2	284	5006	5007	5008	5009	5010	15006	15007	15008	15009	15010	2	1;0;0\n2;0;1\n3;0;2\n4;1;2
3	大盾(副手)	4	0	5011	5012	5013	5014	5015	15011	15012	15013	15014	15015	2	1;0;0\n2;0;1\n3;0;2\n4;1;2
4	骷顱(雙手)	8	288	5031	5032	5033	5034	5035	15031	15032	15033	15034	15035	2	1;0;0\n2;0;2\n3;0;2\n4;1;3
5	雙槍(雙手)	16	282	5021	5022	5023	5024	5025	15021	15022	15023	15024	15025	2	1;0;0\n2;0;2\n3;0;2\n4;1;3
6	巫毒娃娃(雙手)	32	290	5026	5027	5028	5029	5030	15026	15027	15028	15029	15030	2	1;0;0\n2;0;2\n3;0;2\n4;1;3
7	長杖(雙手)	64	286	5016	5017	5018	5019	5020	15016	15017	15018	15019	15020	2	1;0;0\n2;0;2\n3;0;2\n4;1;3
8	劍魂	128	0	0	0	0	0	0	15081	15082	15083	15084	15085	0	1;0;0\n2;0;0\n3;0;0\n4;0;0
9	頭飾	256	0	5036	5037	5038	5039	5040	15036	15037	15038	15039	15040	2	1;0;0\n2;0;2\n3;0;2\n4;1;3
10	上半身	512	0	5041	5042	5043	5044	5045	15041	15042	15043	15044	15045	2	1;0;0\n2;0;2\n3;0;2\n4;1;3
11	下半身	1024	0	5046	5047	5048	5049	5050	15046	15047	15048	15049	15050	2	1;0;0\n2;0;2\n3;0;2\n4;1;3
12	手套	2048	0	5051	5052	5053	5054	5055	15051	15052	15053	15054	15055	2	1;0;0\n2;0;2\n3;0;2\n4;1;3
13	腳	4096	0	5056	5057	5058	5059	5060	15056	15057	15058	15059	15060	2	1;0;0\n2;0;2\n3;0;2\n4;1;3
14	項鍊	8192	0	5061	5062	5063	5064	5065	15061	15062	15063	15064	15065	2	1;0;0\n2;0;2\n3;0;2\n4;1;3
15	護符	16384	0	5066	5067	5068	5069	5070	15066	15067	15068	15069	15070	2	1;0;0\n2;0;2\n3;0;2\n4;1;3
16	戒指	32768	0	5071	5072	5073	5074	5075	15071	15072	15073	15074	15075	2	1;0;0\n2;0;2\n3;0;2\n4;1;3
17	手鐲	65536	0	5076	5077	5078	5079	5080	15076	15077	15078	15079	15080	2	1;0;0\n2;0;2\n3;0;2\n4;1;3
