n_ID	n_MOB_RANK	n_MOB_LEVELMIN	n_MOB_LEVELMAX	n_WEIGHT_W	n_WEIGHT_G	n_WEIGHT_B	n_WEIGHT_P	n_WEIGHT_O
1	1	1	15	80	20	0	0	0
2	1	16	30	80	20	0	0	0
3	1	31	50	50	50	0	0	0
4	1	51	80	60	40	0	0	0
5	1	81	100	70	30	0	0	0
6	1	101	120	75	25	0	0	0
7	1	121	130	75	25	0	0	0
8	1	131	999	75	25	0	0	0
101	2	1	125	0	100	0	0	0
102	2	126	999	0	98	2	0	0
201	4	1	125	0	0	100	0	0
202	4	126	999	0	0	98	2	0
301	8	1	999	0	0	0	100	0
401	16	1	999	0	0	0	100	0
501	32	1	999	0	0	0	100	0
601	64	1	50	0	70	30	0	0
602	64	51	70	0	80	20	0	0
603	64	71	125	0	90	10	0	0
604	64	126	999	0	90	8	2	0
701	128	1	130	0	0	90	10	0
702	128	131	999	0	0	90	10	0
801	256	1	999	0	0	0	100	0
901	512	1	999	0	70	30	0	0
1001	1024	1	999	0	0	0	100	0
1101	2048	1	999	0	95	5	0	0
1201	4096	1	999	0	700	299	1	0
