n_ID	f_RED	f_GREEN	f_BLUE
1	255.0	255.0	255.0
2	255.0	255.0	0.0
3	0.0	255.0	255.0
4	128.0	0.0	255.0
5	254.0	242.0	194.0
6	46.0	214.0	41.0
7	255.0	0.0	0.0
8	128.0	128.0	128.0
9	255.0	0.0	255.0
10	181.0	106.0	106.0
11	0.0	236.0	0.0
12	81.0	168.0	255.0
13	179.0	102.0	255.0
14	255.0	128.0	64.0
15	128.0	255.0	0.0
16	255.0	128.0	255.0
17	255.0	255.0	128.0
18	240.0	122.0	236.0
19	32.0	223.0	80.0
20	255.0	128.0	252.0
21	128.0	239.0	255.0
22	0.0	255.0	0.0
23	255.0	202.0	228.0
24	160.0	80.0	45.0
25	192.0	192.0	192.0
26	194.0	232.0	252.0
27	246.0	252.0	152.0
28	136.0	255.0	136.0
29	192.0	0.0	192.0
30	244.0	61.0	57.0
31	255.0	184.0	149.0
32	255.0	62.0	255.0
33	83.0	255.0	83.0
34	140.0	198.0	255.0
35	255.0	100.0	100.0
36	255.0	159.0	113.0
37	179.0	179.0	179.0
38	182.0	147.0	255.0
39	255.0	102.0	255.0
40	128.0	128.0	0.0
41	254.0	233.0	112.0
42	204.0	238.0	255.0
43	63.0	32.0	1.0
44	255.0	151.0	151.0
45	16.0	116.0	190.0
46	170.0	227.0	255.0
47	247.0	154.0	79.0
48	130.0	68.0	45.0
49	255.0	247.0	230.0
50	241.0	163.0	109.0
51	0.0	160.0	255.0
52	147.0	75.0	51.0
53	255.0	222.0	176.0
54	70.0	38.0	30.0
55	203.0	237.0	255.0
56	255.0	185.0	255.0
57	177.0	254.0	221.0
