n_ID	s_NAME	n_OUTCOME	n_OUTQUANTITY	n_MAKETIME	n_CONTAINER	n_MATERIAL_1	n_QUANTITY_1	n_MATERIAL_2	n_QUANTITY_2	n_MATERIAL_3	n_QUANTITY_3	n_LEARNLV	f_LUCKYRATE	n_OUTCOME_LUCKY	n_OUTQUANTITY_LUCKY
1	Lv1蠻地之風	2405001	10	30	1	2600101	5	2600191	7	2600193	3	30	0.0	0	0
2	Lv1護城之勇	2405002	10	30	1	2600102	5	2600191	7	2600193	3	30	0.0	0	0
3	Lv1騰躍之角	2405003	10	30	1	2600103	5	2600191	7	2600193	3	30	0.0	0	0
4	Lv1靈心之護	2405004	10	30	1	2600103	5	2600191	7	2600195	3	30	0.0	0	0
5	Lv1文明之界	2405005	10	30	1	2600101	5	2600191	7	2600195	3	30	0.0	0	0
6	Lv1凝神甜酒	2405006	10	30	2	2600151	5	2600192	7	2600196	3	30	0.0	0	0
7	Lv1燕迴甜酒	2405007	10	30	2	2600151	5	2600192	7	2600194	3	30	0.0	0	0
8	Lv1狂罪甜酒	2405008	10	30	2	2600152	5	2600192	7	2600196	3	30	0.0	0	0
9	Lv1攝魂甜酒	2405009	10	30	2	2600152	5	2600192	7	2600194	3	30	0.0	0	0
10	Lv2蠻地之風	2405019	10	120	1	2600101	10	2600191	13	2600193	6	0	0.0	0	0
11	Lv2護城之勇	2405020	10	120	1	2600102	10	2600191	13	2600193	6	0	0.0	0	0
12	Lv2騰躍之角	2405021	10	120	1	2600103	10	2600191	13	2600193	6	0	0.0	0	0
13	Lv2靈心之護	2405022	10	120	1	2600103	10	2600191	13	2600195	6	0	0.0	0	0
14	Lv2文明之界	2405023	10	120	1	2600101	10	2600191	13	2600195	6	0	0.0	0	0
15	Lv2凝神甜酒	2405024	10	120	2	2600151	10	2600192	13	2600196	6	0	0.0	0	0
16	Lv2燕迴甜酒	2405025	10	120	2	2600151	10	2600192	13	2600194	6	0	0.0	0	0
17	Lv2狂罪甜酒	2405026	10	120	2	2600152	10	2600192	13	2600196	6	0	0.0	0	0
18	Lv2攝魂甜酒	2405027	10	600	2	2600152	10	2600192	13	2600194	6	0	0.0	0	0
19	Lv3蠻地之風	2405037	10	600	1	2600101	15	2600191	17	2600193	11	0	0.0	0	0
20	Lv3護城之勇	2405038	10	600	1	2600102	15	2600191	17	2600193	11	0	0.0	0	0
21	Lv3騰躍之角	2405039	10	600	1	2600103	15	2600191	17	2600193	11	0	0.0	0	0
22	Lv3靈心之護	2405040	10	600	1	2600103	15	2600191	17	2600195	11	0	0.0	0	0
23	Lv3文明之界	2405041	10	600	1	2600101	15	2600191	17	2600195	11	0	0.0	0	0
24	Lv3凝神甜酒	2405042	10	600	2	2600151	15	2600192	17	2600196	11	0	0.0	0	0
25	Lv3燕迴甜酒	2405043	10	600	2	2600151	15	2600192	17	2600194	11	0	0.0	0	0
26	Lv3狂罪甜酒	2405044	10	600	2	2600152	15	2600192	17	2600196	11	0	0.0	0	0
27	Lv3攝魂甜酒	2405045	10	600	2	2600152	15	2600192	17	2600194	11	0	0.0	0	0
28	Lv4蠻地之風	2405055	10	1800	1	2600101	20	2600191	21	2600193	19	0	0.0	0	0
29	Lv4護城之勇	2405056	10	1800	1	2600102	20	2600191	21	2600193	19	0	0.0	0	0
30	Lv4騰躍之角	2405057	10	1800	1	2600103	20	2600191	21	2600193	19	0	0.0	0	0
31	Lv4靈心之護	2405058	10	1800	1	2600103	20	2600191	21	2600195	19	0	0.0	0	0
32	Lv4文明之界	2405059	10	1800	1	2600101	20	2600191	21	2600195	19	0	0.0	0	0
33	Lv4凝神甜酒	2405060	10	1800	2	2600151	20	2600192	21	2600196	19	0	0.0	0	0
34	Lv4燕迴甜酒	2405061	10	1800	2	2600151	20	2600192	21	2600194	19	0	0.0	0	0
