n_ID	n_LV_MIN	n_LV_MAX	n_ITEM_GET_1	n_ITEM_GET_2	n_ITEM_GET_3	n_ITEM_GET_4	n_ITEM_GET_5	n_ITEM_GET_6	n_ITEM_GET_7	n_ITEM_GET_8	n_ITEM_GET_9	n_ITEM_GET_10	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
1	28	32	2405073	2405074	2405075	2405076	0	0	0	0	0	0	1.05.0000	1.05.0000	1.07.0000	1.07.0000
2	28	32	2200012	0	0	0	0	0	0	0	0	0	1.05.0000	1.05.0000	1.07.0000	1.07.0000
3	28	32	2603472	2603471	2603470	2603469	0	0	0	0	0	0	1.05.0000	1.05.0000	1.07.0000	1.07.0000
4	28	32	0	0	0	0	0	0	0	0	0	0	1.05.0000	1.05.0000	1.07.0000	1.07.0000
5	53	57	2413041	2413021	2413042	0	0	0	0	0	0	0	1.05.0000	1.05.0000	1.07.0000	1.07.0000
6	78	82	0	0	0	0	0	0	0	0	0	0	1.05.0000	1.05.0000	1.07.0000	1.07.0000
7	10	19	2600060	0	0	0	0	0	0	0	0	0	1.05.0000	1.05.0000	1.07.0000	1.07.0000
8	10	999	0	0	0	0	0	0	0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
9	55	999	0	0	0	0	0	0	0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
10	45	55	0	0	0	0	0	0	0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
11	10	130	0	0	0	0	0	0	0	0	0	0	OUT	1.08.0000	1.07.0000	1.07.0000
1001	31	44	2413007	2408001	2200203	2600518	2400802	2400101	0	0	0	0	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1002	51	64	2200403	2600518	2400802	2400151	0	0	0	0	0	0	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1003	66	74	2200803	2408002	2600518	2400802	2400107	2600367	0	0	0	0	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1004	76	84	2201003	2408003	2600518	2400802	2400162	2600366	0	0	0	0	1.05.0000	1.05.0000	1.10.0000	1.10.0000
1005	86	94	2201203	2408004	2600524	2400802	2400138	2600368	0	0	0	0	1.10.0000	1.10.0000	1.10.0000	1.10.0000
1006	96	104	2200603	2408005	2600524	2400802	2400173	2600369	0	0	0	0	1.10.0000	1.10.0000	1.10.0000	1.10.0000
1007	106	114	2200203	2408006	2600524	2400802	2400129	2600370	0	0	0	0	1.10.0000	1.10.0000	1.10.0000	1.10.0000
1008	111	119	2200403	2408007	2600524	2400802	2400199	2600371	0	0	0	0	1.10.0000	1.10.0000	1.10.0000	1.10.0000
1031	101	120	2208925	2600372	2600530	2400062	2400094	3500007	0	0	0	0	1.10.0000	1.10.0000	1.07.0000	1.07.0000
1101	40	50	2400834	0	0	0	0	0	0	0	0	0	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1201	40	50	0	0	0	0	0	0	0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
1301	45	999	0	0	0	0	0	0	0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
2001	29	34	2601134	2407401	2400905	2400712	0	0	0	0	0	0	1.05.0000	1.05.0000	1.07.0000	1.07.0000
2002	29	34	2600507	2405559	2401032	0	0	0	0	0	0	0	1.05.0000	1.05.0000	1.07.0000	1.07.0000
2003	29	34	2600053	0	0	0	0	0	0	0	0	0	1.05.0000	1.05.0000	1.07.0000	1.07.0000
2004	29	39	3520004	3520001	0	3520007	2400833	0	0	0	0	0	1.05.0000	1.05.0000	1.07.0000	1.07.0000
3001	14	19	2600401	2407201	0	0	0	0	0	0	0	0	1.05.0000	1.05.0000	1.07.0000	1.07.0000
3002	13	25	2600401	2407201	0	0	0	0	0	0	0	0	1.05.0000	1.05.0000	1.07.0000	1.07.0000
3003	16	28	2600402	2407202	0	0	0	0	0	0	0	0	1.05.0000	1.05.0000	1.07.0000	1.07.0000
3004	23	35	2600403	2407203	0	0	0	0	0	0	0	0	1.05.0000	1.05.0000	1.07.0000	1.07.0000
3005	43	55	2600404	2407204	0	0	0	0	0	0	0	0	1.05.0000	1.05.0000	1.07.0000	1.07.0000
3006	55	65	2600405	2407205	0	0	0	0	0	0	0	0	1.05.0000	1.05.0000	1.07.0000	1.07.0000
3007	65	75	2600406	2407206	0	0	0	0	0	0	0	0	1.05.0000	1.05.0000	1.07.0000	1.07.0000
3008	76	86	2600407	2407207	0	0	0	0	0	0	0	0	1.05.0000	1.05.0000	1.07.0000	1.07.0000
3009	81	91	2600408	2407208	0	0	0	0	0	0	0	0	1.05.0000	1.05.0000	1.07.0000	1.07.0000
3010	87	97	2600409	2407209	0	0	0	0	0	0	0	0	1.05.0000	1.05.0000	1.07.0000	1.07.0000
3011	100	110	2600412	2407212	0	0	0	0	0	0	0	0	1.05.0000	1.05.0000	1.07.0000	1.07.0000
3012	107	117	2600411	2407211	0	0	0	0	0	0	0	0	1.05.0000	1.05.0000	1.07.0000	1.07.0000
3013	105	115	2600413	2407213	0	0	0	0	0	0	0	0	1.05.0000	1.05.0000	1.07.0000	1.07.0000
3014	110	120	2600414	2407214	0	0	0	0	0	0	0	0	1.05.0000	1.05.0000	1.07.0000	1.07.0000
3201	16	20	2414083	2414084	0	0	0	0	0	0	0	0	1.05.0000	1.05.0000	1.07.0000	1.07.0000
3401	28	33	2601001	2407401	2407501	2601008	0	0	0	0	0	0	1.05.0000	1.05.0000	1.07.0000	1.07.0000
3402	30	70	2601001	2407401	0	0	0	0	0	0	0	0	1.05.0000	1.05.0000	1.07.0000	1.07.0000
3403	70	92	2601002	2407402	0	0	0	0	0	0	0	0	1.05.0000	1.05.0000	1.07.0000	1.07.0000
3404	92	112	2601003	2407403	0	0	0	0	0	0	0	0	1.05.0000	1.05.0000	1.07.0000	1.07.0000
