n_ID	s_OBJECT_MOD	n_GATHER_TIMES	n_ACTION	f_LUCKYRATE	n_DROPSGROUP	n_DROPS_LUCKY
1	Gather005	1	9901	0.0	2808001	0
3	Gather005	1	9901	1.0	2808026	2808028
4	Gather004	1	9901	1.0	2808026	2808028
5	Gather023	1	9901	1.0	2808027	2808028
6	Gather003	1	9901	1.0	2808027	2808028
7	Gather005	1	9901	1.0	2808003	2808004
8	Gather006	1	9901	1.0	2808003	2808004
9	Gather007	1	9901	1.0	2808002	2808004
10	Gather008	1	9901	1.0	2808002	2808004
11	Gather009	1	9901	1.0	2808006	2808008
12	Gather010	1	9901	1.0	2808006	2808008
13	Gather011	1	9901	1.0	2808007	2808008
14	Gather024	1	9901	1.0	2808007	2808008
15	Gather001	1	9901	10.0	2808009	2808010
16	Gather002	1	9901	10.0	2808009	2808010
17	Gather009	1	9901	10.0	2808009	2808010
18	Gather005	1	9901	10.0	2808009	2808010
19	Gather012	1	9901	1.0	2808011	2808013
20	Gather013	1	9901	1.0	2808012	2808013
21	Gather014	1	9901	1.0	2808011	2808013
22	Gather016	1	9901	1.0	2808011	2808013
23	Gather015	1	9901	1.0	2808012	2808013
24	Gather017	1	9901	1.0	2808012	2808013
25	Gather009	1	9901	1.0	2808011	2808013
26	Gather004	1	9901	1.0	2808011	2808013
27	Gather018	1	9901	1.0	2808012	2808013
28	Gather024	1	9901	0.0	2808029	0
31	Gather018	1	9901	10.0	2808014	2808015
32	Gather019	1	9901	10.0	2808014	2808015
34	Gather012	1	9901	1.0	2808016	2808018
35	Gather009	1	9901	1.0	2808016	2808018
36	Gather020	1	9901	1.0	2808017	2808018
37	Gather024	1	9901	1.0	2808017	2808018
41	Gather021	1	9901	1.0	2808016	2808018
42	Gather009	1	9901	1.0	2808016	2808018
43	Gather017	1	9901	1.0	2808017	2808018
46	Gather021	1	9901	10.0	2808019	2808020
47	Gather017	1	9901	10.0	2808019	2808020
49	Gather022	1	9901	1.0	2808021	2808023
50	Gather009	1	9901	1.0	2808021	2808023
51	Gather011	1	9901	1.0	2808022	2808023
52	Gather022	1	9901	1.0	2808021	2808023
53	Gather010	1	9901	1.0	2808021	2808023
54	Gather023	1	9901	1.0	2808022	2808023
55	Gather024	1	9901	1.0	2808022	2808023
56	Gather001	1	9901	1.0	2808021	2808023
57	Gather022	1	9901	1.0	2808021	2808023
58	Gather008	1	9901	1.0	2808022	2808023
59	Gather022	1	9901	10.0	2808024	2808025
62	Gather001	1	9901	10.0	2808024	2808025
63	Gather010	1	9901	10.0	2808024	2808025
9001	bgt0013_05	2	9901	50.0	2809001	2809002
