n_ID	n_GUILDLV	n_AURALV	n_GROUP	n_ID_EFFECT_RESIDENT	n_ID_EFFECT_BUFF	n_BUFF_LV	n_POINTS	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
1	2	1	1	1000	0	0	14	1.00.0000	1.07.0000	1.07.0000	1.07.0000
3	4	2	1	1002	0	0	40	1.00.0000	1.07.0000	1.07.0000	1.07.0000
5	6	3	1	1004	0	0	112	1.00.0000	1.07.0000	1.07.0000	1.07.0000
7	8	4	1	1006	0	0	288	1.00.0000	1.07.0000	1.07.0000	1.07.0000
9	10	5	1	1008	0	0	320	1.00.0000	1.07.0000	1.07.0000	1.07.0000
10	2	1	2	1009	0	0	6	1.00.0000	1.07.0000	1.07.0000	1.07.0000
11	3	2	2	1010	0	0	14	1.00.0000	1.07.0000	1.07.0000	1.07.0000
12	4	3	2	1011	0	0	32	1.00.0000	1.07.0000	1.07.0000	1.07.0000
13	5	4	2	1012	0	0	40	1.00.0000	1.07.0000	1.07.0000	1.07.0000
14	6	5	2	1013	0	0	96	1.00.0000	1.07.0000	1.07.0000	1.07.0000
15	7	6	2	1014	0	0	112	1.00.0000	1.07.0000	1.07.0000	1.07.0000
16	8	7	2	1015	0	0	256	1.00.0000	1.07.0000	1.07.0000	1.07.0000
17	9	8	2	1016	0	0	288	1.00.0000	1.07.0000	1.07.0000	1.07.0000
18	10	9	2	1017	0	0	320	1.00.0000	1.07.0000	1.07.0000	1.07.0000
19	2	1	3	1018	0	0	4	1.00.0000	1.07.0000	1.07.0000	1.07.0000
20	3	2	3	1019	0	0	10	1.00.0000	1.07.0000	1.07.0000	1.07.0000
21	4	3	3	1020	0	0	24	1.00.0000	1.07.0000	1.07.0000	1.07.0000
22	5	4	3	1021	0	0	30	1.00.0000	1.07.0000	1.07.0000	1.07.0000
23	6	5	3	1022	0	0	72	1.00.0000	1.07.0000	1.07.0000	1.07.0000
24	7	6	3	1023	0	0	84	1.00.0000	1.07.0000	1.07.0000	1.07.0000
25	8	7	3	1024	0	0	192	1.00.0000	1.07.0000	1.07.0000	1.07.0000
26	9	8	3	1025	0	0	216	1.00.0000	1.07.0000	1.07.0000	1.07.0000
27	10	9	3	1026	0	0	240	1.00.0000	1.07.0000	1.07.0000	1.07.0000
28	2	1	4	1027	0	0	10	1.00.0000	1.07.0000	1.07.0000	1.07.0000
30	4	2	4	1029	0	0	30	1.00.0000	1.07.0000	1.07.0000	1.07.0000
32	6	3	4	1031	0	0	84	1.00.0000	1.07.0000	1.07.0000	1.07.0000
34	8	4	4	1033	0	0	216	1.00.0000	1.07.0000	1.07.0000	1.07.0000
36	10	5	4	1035	0	0	240	1.00.0000	1.07.0000	1.07.0000	1.07.0000
37	2	1	5	1036	0	0	10	1.00.0000	1.07.0000	1.07.0000	1.07.0000
39	4	2	5	1038	0	0	30	1.00.0000	1.07.0000	1.07.0000	1.07.0000
41	6	3	5	1040	0	0	84	1.00.0000	1.07.0000	1.07.0000	1.07.0000
43	8	4	5	1042	0	0	216	1.00.0000	1.07.0000	1.07.0000	1.07.0000
45	10	5	5	1044	0	0	240	1.00.0000	1.07.0000	1.07.0000	1.07.0000
46	2	1	6	1045	0	0	15	1.00.0000	1.07.0000	1.07.0000	1.07.0000
47	3	2	6	1046	0	0	35	1.00.0000	1.07.0000	1.07.0000	1.07.0000
48	4	3	6	1047	0	0	80	1.00.0000	1.07.0000	1.07.0000	1.07.0000
49	5	4	6	1048	0	0	100	1.00.0000	1.07.0000	1.07.0000	1.07.0000
50	6	5	6	1049	0	0	240	1.00.0000	1.07.0000	1.07.0000	1.07.0000
51	7	6	6	1050	0	0	280	1.00.0000	1.07.0000	1.07.0000	1.07.0000
52	8	7	6	1051	0	0	640	1.00.0000	1.07.0000	1.07.0000	1.07.0000
53	9	8	6	1052	0	0	720	1.00.0000	1.07.0000	1.07.0000	1.07.0000
54	10	9	6	1053	0	0	800	1.00.0000	1.07.0000	1.07.0000	1.07.0000
55	2	1	7	1054	0	0	15	1.00.0000	1.07.0000	1.07.0000	1.07.0000
56	3	2	7	1055	0	0	35	1.00.0000	1.07.0000	1.07.0000	1.07.0000
57	4	3	7	1056	0	0	80	1.00.0000	1.07.0000	1.07.0000	1.07.0000
58	5	4	7	1057	0	0	100	1.00.0000	1.07.0000	1.07.0000	1.07.0000
59	6	5	7	1058	0	0	240	1.00.0000	1.07.0000	1.07.0000	1.07.0000
60	7	6	7	1059	0	0	280	1.00.0000	1.07.0000	1.07.0000	1.07.0000
61	8	7	7	1060	0	0	640	1.00.0000	1.07.0000	1.07.0000	1.07.0000
62	9	8	7	1061	0	0	720	1.00.0000	1.07.0000	1.07.0000	1.07.0000
63	10	9	7	1062	0	0	800	1.00.0000	1.07.0000	1.07.0000	1.07.0000
64	2	1	8	0	11501	1	3	1.00.0000	1.07.0000	1.07.0000	1.07.0000
65	3	2	8	0	11502	1	7	1.00.0000	1.07.0000	1.07.0000	1.07.0000
66	4	3	8	0	11503	1	16	1.00.0000	1.07.0000	1.07.0000	1.07.0000
67	5	4	8	0	11504	1	20	1.00.0000	1.07.0000	1.07.0000	1.07.0000
68	6	5	8	0	11505	1	48	1.00.0000	1.07.0000	1.07.0000	1.07.0000
69	7	6	8	0	11506	1	56	1.00.0000	1.07.0000	1.07.0000	1.07.0000
70	8	7	8	0	11507	1	128	1.00.0000	1.07.0000	1.07.0000	1.07.0000
71	9	8	8	0	11508	1	144	1.00.0000	1.07.0000	1.07.0000	1.07.0000
72	10	9	8	0	11509	1	160	1.00.0000	1.07.0000	1.07.0000	1.07.0000
73	2	1	9	0	11511	1	3	1.00.0000	1.07.0000	1.07.0000	1.07.0000
74	3	2	9	0	11512	1	7	1.00.0000	1.07.0000	1.07.0000	1.07.0000
