n_ID	n_ID_MAINTITLE	n_LINK	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
1	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
2	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
3	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
4	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
5	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
6	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
100	1	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
101	1	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
102	1	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
103	1	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
104	1	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
105	1	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
200	2	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
201	2	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
202	2	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
300	5	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
301	3	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
302	3	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
400	4	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
500	5	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
501	5	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
502	5	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
600	6	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
601	6	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
1000	100	11	1.00.0000	1.07.0000	1.07.0000	1.07.0000
1001	100	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
1002	100	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
1003	100	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
1004	100	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
1005	100	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
1006	100	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
1010	101	4	1.00.0000	1.07.0000	1.07.0000	1.07.0000
1011	500	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
1012	500	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
1020	102	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
1030	103	5	1.00.0000	1.07.0000	1.07.0000	1.07.0000
1031	103	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
1040	104	2	1.00.0000	1.07.0000	1.07.0000	1.07.0000
1041	104	8	1.00.0000	1.07.0000	1.07.0000	1.07.0000
1042	104	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
1043	104	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
1044	104	14	1.00.0000	1.07.0000	1.07.0000	1.07.0000
1045	104	0	1.01.0000	1.01.0000	1.01.0000	1.01.0000
1050	105	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
1051	105	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
1052	105	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
1053	105	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
2000	200	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
2001	200	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
