n_ID	s_NAME	n_NUMBER	n_UI_NAME	n_UI_Content	n_WIDTH	n_HEIGHT	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
1	U_Teach_001	1	1443	1553	512	400	1.00.0000	1.07.0000	1.07.0000	1.07.0000
2	U_Teach_002	1	1444	1554	512	400	1.00.0000	1.07.0000	1.07.0000	1.07.0000
3	U_Teach_003	1	1445	1555	512	400	1.00.0000	1.07.0000	1.07.0000	1.07.0000
4	U_Teach_004	1	1446	1556	512	400	1.00.0000	1.07.0000	1.07.0000	1.07.0000
5	U_Teach_005	1	1447	1557	512	400	1.00.0000	1.07.0000	1.07.0000	1.07.0000
6	U_Teach_006	1	1448	1558	512	400	1.00.0000	1.07.0000	1.07.0000	1.07.0000
7	U_Teach_007	1	1449	1559	512	400	1.00.0000	1.07.0000	1.07.0000	1.07.0000
8	U_Teach_008	1	1450	1560	512	400	1.00.0000	1.07.0000	1.07.0000	1.07.0000
9	U_Teach_009	1	1451	1561	512	400	1.00.0000	1.07.0000	1.07.0000	1.07.0000
10	U_Teach_010	1	1452	1562	512	400	1.00.0000	1.07.0000	1.07.0000	1.07.0000
11	U_Teach_011	1	1453	1563	512	400	1.00.0000	1.07.0000	1.07.0000	1.07.0000
13	U_Teach_013	1	1455	1564	512	400	1.00.0000	1.07.0000	1.07.0000	1.07.0000
15	U_Teach_015	1	1566	1568	512	400	1.00.0000	1.07.0000	1.07.0000	1.07.0000
17	U_Teach_017	1	1628	1629	512	400	1.01.0000	1.07.0000	1.07.0000	1.07.0000
18	U_Teach_018	1	1879	1880	512	400	1.01.0000	1.08.0000	1.08.0000	1.08.0000
19	U_Teach_019	1	1898	1908	512	400	1.00.0000	1.00.0000	1.10.0000	1.20.0000
20	U_Teach_020	1	1899	1909	512	400	1.00.0000	1.00.0000	1.10.0000	1.20.0000
21	U_Teach_021	1	1900	1910	512	400	1.00.0000	1.00.0000	1.10.0000	1.20.0000
22	U_Teach_022	1	1901	1911	512	400	1.00.0000	1.00.0000	1.10.0000	1.20.0000
23	U_Teach_023	1	1902	1912	512	400	1.00.0000	1.00.0000	1.10.0000	1.20.0000
24	U_Teach_024	1	1903	1913	512	400	1.00.0000	1.00.0000	1.10.0000	1.20.0000
25	U_Teach_025	1	1904	1914	512	400	1.00.0000	1.00.0000	1.10.0000	1.20.0000
26	U_Teach_026	1	1905	1915	512	400	1.00.0000	1.00.0000	1.10.0000	1.20.0000
27	U_Teach_027	1	1906	1916	512	400	1.00.0000	1.00.0000	1.10.0000	1.20.0000
28	U_Teach_028	1	1907	1917	512	400	1.00.0000	1.00.0000	1.10.0000	1.20.0000
29	U_Teach_029	1	1925	1926	512	400	1.00.0000	1.00.0000	1.10.0100	1.20.0000
30	U_Teach_030	1	1927	1928	512	400	1.00.0000	1.00.0000	1.10.0100	1.20.0000
