n_ID	n_TYPE	n_KEY_1	n_KEY_2	s_NAME	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
1	1	0	87	MOVE_FRONT	1.00.0000	1.00.0000	1.00.0000	1.00.0000
2	1	0	83	MOVE_BACK	1.00.0000	1.00.0000	1.00.0000	1.00.0000
3	1	0	65	MOVE_LEFT	1.00.0000	1.00.0000	1.00.0000	1.00.0000
4	1	0	68	MOVE_RIGHT	1.00.0000	1.00.0000	1.00.0000	1.00.0000
5	1	0	32	MOVE_JUMP	1.00.0000	1.00.0000	1.00.0000	1.00.0000
6	1	0	81	ROTATE_LEFT	1.00.0000	1.00.0000	1.00.0000	1.00.0000
7	1	0	69	ROTATE_RIGHT	1.00.0000	1.00.0000	1.00.0000	1.00.0000
8	1	0	82	AUTOMOVE_FRONT	1.00.0000	1.00.0000	1.00.0000	1.00.0000
9	1	0	9	SELECT_TARGET	1.00.0000	1.00.0000	1.00.0000	1.00.0000
10	1	0	70	MOVE_FOLLOW	1.00.0000	1.00.0000	1.00.0000	1.00.0000
12	2	0	78	TOOLBAR1_01	1.00.0000	1.00.0000	1.00.0000	1.00.0000
13	2	2048	49	TOOLBAR1_02	1.00.0000	1.00.0000	1.00.0000	1.00.0000
14	2	2048	50	TOOLBAR1_03	1.00.0000	1.00.0000	1.00.0000	1.00.0000
15	2	2048	51	TOOLBAR1_04	1.00.0000	1.00.0000	1.00.0000	1.00.0000
16	2	2048	52	TOOLBAR1_05	1.00.0000	1.00.0000	1.00.0000	1.00.0000
17	2	2048	53	TOOLBAR1_06	1.00.0000	1.00.0000	1.00.0000	1.00.0000
18	2	2048	54	TOOLBAR1_07	1.00.0000	1.00.0000	1.00.0000	1.00.0000
19	2	2048	55	TOOLBAR1_08	1.00.0000	1.00.0000	1.00.0000	1.00.0000
20	2	2048	56	TOOLBAR1_09	1.00.0000	1.00.0000	1.00.0000	1.00.0000
21	2	2048	57	TOOLBAR1_10	1.00.0000	1.00.0000	1.00.0000	1.00.0000
22	2	2048	48	TOOLBAR1_11	1.00.0000	1.00.0000	1.00.0000	1.00.0000
23	2	2048	189	TOOLBAR1_12	1.00.0000	1.00.0000	1.00.0000	1.00.0000
24	2	0	0	TOOLBAR2_01	1.00.0000	1.00.0000	1.00.0000	1.00.0000
25	2	0	0	TOOLBAR2_02	1.00.0000	1.00.0000	1.00.0000	1.00.0000
26	2	0	0	TOOLBAR2_03	1.00.0000	1.00.0000	1.00.0000	1.00.0000
27	2	0	0	TOOLBAR2_04	1.00.0000	1.00.0000	1.00.0000	1.00.0000
28	2	0	0	TOOLBAR2_05	1.00.0000	1.00.0000	1.00.0000	1.00.0000
29	2	0	0	TOOLBAR2_06	1.00.0000	1.00.0000	1.00.0000	1.00.0000
30	2	0	0	TOOLBAR2_07	1.00.0000	1.00.0000	1.00.0000	1.00.0000
31	2	0	0	TOOLBAR2_08	1.00.0000	1.00.0000	1.00.0000	1.00.0000
32	2	0	0	TOOLBAR2_09	1.00.0000	1.00.0000	1.00.0000	1.00.0000
33	2	0	0	TOOLBAR2_10	1.00.0000	1.00.0000	1.00.0000	1.00.0000
34	2	0	0	TOOLBAR2_11	1.00.0000	1.00.0000	1.00.0000	1.00.0000
35	2	0	0	TOOLBAR2_12	1.00.0000	1.00.0000	1.00.0000	1.00.0000
36	2	0	0	TOOLBAR3_01	1.00.0000	1.00.0000	1.00.0000	1.00.0000
37	2	0	0	TOOLBAR3_02	1.00.0000	1.00.0000	1.00.0000	1.00.0000
38	2	0	0	TOOLBAR3_03	1.00.0000	1.00.0000	1.00.0000	1.00.0000
39	2	0	0	TOOLBAR3_04	1.00.0000	1.00.0000	1.00.0000	1.00.0000
40	2	0	0	TOOLBAR3_05	1.00.0000	1.00.0000	1.00.0000	1.00.0000
