n_ID	n_GROUP	n_MIN_LEVEL	n_MAX_LEVEL	n_QUEST	n_QUESTFLAG	n_NUMBER	n_SCENE_ID	n_CLINE_TYPE	n_LASTING_TIME	n_SCORECOUNT_ID	n_REFRESH_TIME	n_EXIT	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
213	2	110	999	0	0	6	244	905	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
2	2	30	999	0	0	1	32	502	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
3	2	30	999	0	0	1	33	503	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
4	2	30	999	0	0	1	34	504	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
5	2	30	999	0	0	1	35	505	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
6	2	30	999	0	0	1	36	506	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
7	2	30	999	0	0	1	74	507	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
8	2	30	999	0	0	1	75	508	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
9	2	30	999	0	0	1	76	509	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
10	2	30	999	0	0	1	77	510	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
11	2	30	999	0	0	1	78	511	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
12	2	30	999	0	0	1	147	512	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
13	2	30	999	0	0	1	148	513	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
14	2	30	999	0	0	1	149	514	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
15	2	30	999	0	0	1	150	515	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
16	2	30	999	0	0	1	151	516	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
17	2	70	999	0	0	1	37	517	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
18	2	70	999	0	0	1	38	518	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
19	2	70	999	0	0	1	39	519	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
20	2	70	999	0	0	1	40	520	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
21	2	70	999	0	0	1	41	521	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
22	2	70	999	0	0	1	79	522	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
23	2	70	999	0	0	1	80	523	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
24	2	70	999	0	0	1	81	524	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
25	2	70	999	0	0	1	82	525	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
26	2	70	999	0	0	1	83	526	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
27	2	70	999	0	0	1	152	527	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
28	2	70	999	0	0	1	153	528	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
