n_ID	s_NAME	s_ID_ICON	s_ID_MODEL_PARTS	n_ID_MODEL	n_ID_MAP	n_DROPMODEL_TYPE	s_MODEL_EFFECT	n_TAG_TRADE	n_QUALITY	n_ITEMLV	n_CONDITION_LV	n_CONDITION_GENDER	n_CONDITION_CLASS	n_CONDITION_CAMPS	n_CONDITION_SKILL	n_CONDITION_SKILLLV	n_ICONSLOT	n_EQUIPSLOT	n_EQUIPTYPE	n_EQUIPTYPE_EFFECT	n_TAG_LOOT	s_TAG_EXTRA	n_ID_USAGE	n_CD	n_PRICE_BUY	n_PRICE_VENDER	n_QUATITY_STACK	s_ITEM_EXIST	n_ID_BUFF	s_EQUIPFX	s_VARYDATA	n_BROADCAST	n_BROADCAST_QUANTITY	n_AVATAR_ADMIX	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
6	水果酒甕	ICON_CONTAINER_000_000		0	0	0		10	1	1	0	0	0	0	0	0	0	0	0	0	0	9;1;80	0	0	10	1	1		0			0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
7	水果酒甕	ICON_CONTAINER_000_000		0	0	0		0	1	1	0	0	0	0	0	0	0	0	0	0	0	9;1;80	0	0	100	1	1		0			0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
10	水果酒甕	ICON_CONTAINER_000_000		0	0	0		0	1	1	0	0	0	0	0	0	0	0	0	0	0	9;1;60	0	0	10	1	1		0			0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
17	風味酒甕	ICON_CONTAINER_000_001		0	0	0		0	1	1	0	0	0	0	0	0	0	0	0	0	0	9;2;80	0	0	100	1	1		0			0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
20	風味酒甕	ICON_CONTAINER_000_001		0	0	0		0	1	1	0	0	0	0	0	0	0	0	0	0	0	9;2;60	0	0	10	1	1		0			0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
27	特調酒甕	ICON_CONTAINER_000_002		0	0	0		0	1	1	0	0	0	0	0	0	0	0	0	0	0	9;3;80	0	0	100	1	1		0			0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
30	特調酒甕	ICON_CONTAINER_000_002		0	0	0		0	1	1	0	0	0	0	0	0	0	0	0	0	0	9;3;60	0	0	10	1	1		0			0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
36	初級遺忘白丸	ICON_EMBED_004_001		0	0	0		0	1	1	1	0	0	0	0	0	0	0	0	0	0		580	110	10000	1	25		0			0	0	0	2.00.0000	1.07.0000	1.07.0000	1.07.0000
37	中級遺忘白丸	ICON_EMBED_004_001		0	0	0		0	2	1	1	0	0	0	0	0	0	0	0	0	0		581	110	50000	1	25		0			0	0	0	2.00.0000	1.07.0000	1.07.0000	1.07.0000
38	高級遺忘白丸	ICON_EMBED_004_001		0	0	0		0	3	1	1	0	0	0	0	0	0	0	0	0	0		582	110	120000	1	25		0			0	0	0	2.00.0000	1.07.0000	1.07.0000	1.07.0000
39	初級遺忘青丸	ICON_EMBED_004_002		0	0	0		0	1	1	1	0	0	0	0	0	0	0	0	0	0		583	110	40000	1	25		0			0	0	0	2.00.0000	1.07.0000	1.07.0000	1.07.0000
