n_ID	s_NAME	s_ID_ICON	s_ID_MODEL_PARTS	n_ID_MODEL	n_ID_MAP	n_DROPMODEL_TYPE	s_MODEL_EFFECT	n_TAG_TRADE	n_QUALITY	n_ITEMLV	n_CONDITION_LV	n_CONDITION_GENDER	n_CONDITION_CLASS	n_CONDITION_CAMPS	n_CONDITION_SKILL	n_CONDITION_SKILLLV	n_ICONSLOT	n_EQUIPSLOT	n_EQUIPTYPE	n_EQUIPTYPE_EFFECT	n_TAG_LOOT	s_TAG_EXTRA	n_ID_USAGE	n_CD	n_PRICE_BUY	n_PRICE_VENDER	n_QUATITY_STACK	s_ITEM_EXIST	n_ID_BUFF	s_EQUIPFX	s_VARYDATA	n_BROADCAST	n_BROADCAST_QUANTITY	n_AVATAR_ADMIX	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
1	好友擴充	ICON_SERVICE_000_001		0	0	0		0	1	1	1	0	0	0	0	0	0	0	0	0	0		9038	110	1	1	999		0			0	0	0	1.02.0000	1.07.0000	1.07.0000	1.07.0000
2	強化防降石	ICON_STONE_002_000		0	0	0		0	1	1	0	0	0	0	0	0	0	0	0	0	0	4;3	0	0	1	1	999		0			0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
3	強化防爆石	ICON_STONE_002_001		0	0	0		0	2	1	0	0	0	0	0	0	0	0	0	0	0	4;2	0	0	1	1	999		0			0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
4	強化安全石	ICON_STONE_002_002		0	0	0		0	3	1	0	0	0	0	0	0	0	0	0	0	0	4;1	0	0	1	1	999		0			0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
5	融合福佑吊飾	ICON_MISSION_074_001		0	0	0		0	1	1	0	0	0	0	0	0	0	0	0	0	0	33	0	0	1	1	999		0			0	0	0	1.02.0000	1.07.0000	1.07.0000	1.07.0000
6	滋養晨露	ICON_MISSION_085_001		0	0	0		0	1	1	1	0	0	0	0	0	0	0	0	0	0	37;5	6	110	1	1	999		0			0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
7	奇蹟之鎚(武器)	ICON_MISSION_041_002		0	0	0		0	2	1	1	0	0	0	0	0	0	0	0	0	0	41;5;127	346	110	1	1	999		0			0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
8	奇蹟之鎚(防具)	ICON_MISSION_041_003		0	0	0		0	2	1	1	0	0	0	0	0	0	0	0	0	0	41;5;7936	346	110	1	1	999		0			0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
9	奇蹟之鎚(飾品)	ICON_MISSION_041_001		0	0	0		0	2	1	1	0	0	0	0	0	0	0	0	0	0	41;5;122880	346	110	1	1	999		0			0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
10	特級奇蹟之鎚(武器)	ICON_MISSION_041_002		0	0	0		0	3	1	1	0	0	0	0	0	0	0	0	0	0	41;10;127	346	110	1	1	999		0			0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
