n_ID	s_NAME	s_ID_ICON	s_ID_MODEL_PARTS	n_ID_MODEL	n_ID_MAP	n_DROPMODEL_TYPE	s_MODEL_EFFECT	n_TAG_TRADE	n_QUALITY	n_ITEMLV	n_CONDITION_LV	n_CONDITION_GENDER	n_CONDITION_CLASS	n_CONDITION_CAMPS	n_CONDITION_SKILL	n_CONDITION_SKILLLV	n_ICONSLOT	n_EQUIPSLOT	n_EQUIPTYPE	n_EQUIPTYPE_EFFECT	n_TAG_LOOT	s_TAG_EXTRA	n_ID_USAGE	n_CD	n_PRICE_BUY	n_PRICE_VENDER	n_QUATITY_STACK	s_ITEM_EXIST	n_ID_BUFF	s_EQUIPFX	s_VARYDATA	n_BROADCAST	n_BROADCAST_QUANTITY	n_AVATAR_ADMIX	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
1	冒險之鑰	ICON_MISSION_052_000		0	0	0		10	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0	1000	1	25		0			0	0	0	1.04.0000	1.07.0000	1.07.0000	1.07.0000
2	海神金幣	ICON_COIN_000_000		0	0	0		11	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0	50	50	999		0			0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
3	晶格擴充組合	ICON_TOOL_000_000		0	0	0		0	2	1	0	0	0	0	0	0	0	0	0	0	0	15	0	0	10	1	1		0			0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
4	晶格擴充組合	ICON_TOOL_000_000		0	0	0		10	2	1	0	0	0	0	0	0	0	0	0	0	0	15	0	0	1000	1	1		0			0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
5	傳聲獸角	ICON_MISSION_010_001		0	0	0		10	1	1	0	0	0	0	0	0	0	0	0	0	0	28	0	0	10	1	25		0			0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
7	地元素	ICON_ELEMENT_000_000		0	0	0		14	2	1	0	0	0	0	0	0	0	0	0	0	0	18	0	0	10	0	999		0			0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
8	水元素	ICON_ELEMENT_000_001		0	0	0		14	2	1	0	0	0	0	0	0	0	0	0	0	0	18	0	0	10	0	999		0			0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
9	火元素	ICON_ELEMENT_000_002		0	0	0		14	2	1	0	0	0	0	0	0	0	0	0	0	0	18	0	0	10	0	999		0			0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
10	風元素	ICON_ELEMENT_000_003		0	0	0		14	2	1	0	0	0	0	0	0	0	0	0	0	0	18	0	0	10	0	999		0			0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
18	實驗用史萊姆	ICON_MOB_000_000		0	0	0		0	1	1	1	0	0	0	0	0	0	0	0	0	0	38	0	0	10000	1	1		0			0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
