n_ID	s_NAME	s_ID_ICON	s_ID_MODEL_PARTS	n_ID_MODEL	n_ID_MAP	n_DROPMODEL_TYPE	s_MODEL_EFFECT	n_TAG_TRADE	n_QUALITY	n_ITEMLV	n_CONDITION_LV	n_CONDITION_GENDER	n_CONDITION_CLASS	n_CONDITION_CAMPS	n_CONDITION_SKILL	n_CONDITION_SKILLLV	n_ICONSLOT	n_EQUIPSLOT	n_EQUIPTYPE	s_EQUIPTYPE_EFFECT	n_TAG_LOOT	s_TAG_EXTRA	n_ID_USAGE	n_CD	n_PRICE_BUY	n_PRICE_VENDER	n_QUATITY_STACK	s_ITEM_EXIST	n_ID_BUFF	s_EQUIPFX	s_VARYDATA	n_BROADCAST	n_BROADCAST_QUANTITY	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
1	亂飄的天燈	ICON_PL_013_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
2	亡魂之牙碎片	ICON_MISSION_047_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
3	海軍領賞單	ICON_DOCUMENT_001_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
4	千年陶壺	ICON_MISSION_065_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
5	深紅鴿子蛋	ICON_MISSION_053_002		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
6	幸運的犬齒	ICON_MISSION_047_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
7	公主的病假單	ICON_DOCUMENT_001_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
8	歷史考卷	ICON_DOCUMENT_009_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
9	第一張募兵告示	ICON_MISSION_075_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
10	狂歡夜海報	ICON_MISSION_075_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
11	證人自白書	ICON_DOCUMENT_001_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
12	轉監申請單	ICON_DOCUMENT_001_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
13	詐死藥丸	ICON_MISSION_035_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
14	溫暖的圍巾	ICON_MISSION_033_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
15	冰冷的鐵錘	ICON_MISSION_041_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
16	限量版海神金幣	ICON_MISSION_015_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
17	第二張募兵告示	ICON_MISSION_075_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
18	吃剩的骨頭	ICON_MISSION_080_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
20	囚籠鑰匙	ICON_MISSION_052_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
21	雪花肥羊排	ICON_MISSION_009_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
25	13號死囚籠完整鑰匙	ICON_MISSION_052_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
26	龜殼石	ICON_MISSION_042_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
27	綠油油椰子	ICON_MISSION_034_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
28	黃泥礦泉水	ICON_LIQUID_001_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
29	蛆蛆餅乾	ICON_MISSION_037_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
30	羊首號角	ICON_MISSION_010_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
31	皇室機密文件	ICON_DOCUMENT_000_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
32	土味狼爪	ICON_MISSION_046_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
33	南洋胡椒	ICON_MISSION_020_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
34	小勾勾魚餌	ICON_MISSION_032_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
35	全新海軍女將寫真集	ICON_MISSION_083_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
36	皇家蘭姆酒	ICON_WINE_014_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
37	卷宗碎片	ICON_MISSION_084_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
38	克勞斯的船長帽	ICON_MISSION_025_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
39	古碑文拓印	ICON_MISSION_004_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
40	藍月香料	ICON_MISSION_020_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
41	戀人香莓果	ICON_MISSION_029_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
42	幻菇香料	ICON_MISSION_020_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
