n_ID	n_PROPERTIES_USING	n_USETYPE	n_DELETETYPE	n_Var_x	n_Var_y	f_Var_z	s_Var_s	s_note
1	15	0	1	1	0	0.0		#登錄外觀裝備
2	15	0	1	2	0	0.0		#登錄船員
3	15	0	1	3	0	0.0		#登錄觀賞寵
4	15	0	1	4	0	0.0		#登錄坐騎
5	2	2	1	0	0	0.0		#一般提煉
6	1	2	1	0	0	0.0		#增加光澤度
7	3	2	1	10	0	0.0		#直接吸收養分
8	3	2	1	20	0	0.0		#直接吸收養分
9	3	2	1	40	0	0.0		#直接吸收養分
10	3	2	1	60	0	0.0		#直接吸收養分
11	17	0	1	0	8	0.0		#元素換貨，經驗+2%
12	17	0	1	0	9	0.0		#元素換貨，經驗+4%
13	17	0	1	0	10	0.0		#元素換貨，經驗+6%
14	17	0	1	0	11	0.0		#元素換貨，經驗+8%
15	17	0	1	0	12	0.0		#元素換貨，經驗+10%
16	17	0	1	0	13	0.0		#元素換貨，技能點+2%
17	17	0	1	0	14	0.0		#元素換貨，技能點+4%
18	17	0	1	0	15	0.0		#元素換貨，技能點+6%
19	17	0	1	0	16	0.0		#元素換貨，技能點+8%
20	17	0	1	0	17	0.0		#元素換貨，技能點+10%
21	5	0	1	6601	0	0.0		#喝酒A-力量+HP(力量)
22	5	0	1	6602	0	0.0		#喝酒A-體質+HP(體質)
23	5	0	1	6603	0	0.0		#喝酒A-敏捷+HP(敏捷)
24	5	0	1	6604	0	0.0		#喝酒A-感知+HP(感知)
25	5	0	1	6605	0	0.0		#喝酒A-智力+HP(智力)
26	5	0	1	6606	0	0.0		#喝酒B1-命中+HP(物理重擊)
27	5	0	1	6607	0	0.0		#喝酒B1-迴避+HP(魔法重擊)
28	5	0	1	6608	0	0.0		#喝酒B1-暴擊+HP(物理防禦)
29	5	0	1	6609	0	0.0		#喝酒B1-抗暴擊+HP(魔法防禦)
30	5	0	1	6610	0	0.0		#喝酒B2-命中+HP(物理減傷)
31	5	0	1	6611	0	0.0		#喝酒B2-迴避+HP(魔法減傷)
32	5	0	1	6612	0	0.0		#喝酒B2-暴擊+HP(C-力+物重+HP)
33	5	0	1	6613	0	0.0		#喝酒B2-抗暴擊+HP(C-體+物防+HP)
34	5	0	1	6614	0	0.0		#喝酒B3-命中+HP(C-體+法防+HP)
35	5	0	1	6615	0	0.0		#喝酒B3-迴避+HP(C-敏+物減+HP)
36	5	0	1	6616	0	0.0		#喝酒B3-暴擊+HP(C-感+法減+HP)
37	5	0	1	6617	0	0.0		#喝酒B3-抗暴擊+HP(C-智+法重+HP)
38	5	0	1	6618	0	0.0		#喝酒D-力+體
39	11	0	1	3	0	0.0		Lv1果香澄酒配方
40	11	0	1	4	0	0.0		Lv1果香黃酒配方
41	11	0	1	6	0	0.0		Lv1草香紅釀配方
42	11	0	1	7	0	0.0		Lv1草香綠釀配方
43	11	0	1	12	0	0.0		Lv1蠻地之風配方
44	11	0	1	13	0	0.0		Lv1護城英勇配方
45	11	0	1	14	0	0.0		Lv1靈心守護配方
46	11	0	1	15	0	0.0		Lv1騰躍之角配方
47	11	0	1	16	0	0.0		Lv1幻影結界配方
48	11	0	1	17	0	0.0		Lv1文明之光配方
50	11	0	1	10	0	0.0		Lv2蠻地之風
51	11	0	1	11	0	0.0		Lv2護城之勇
52	11	0	1	12	0	0.0		Lv2騰躍之角
53	11	0	1	13	0	0.0		Lv2靈心之護
54	11	0	1	14	0	0.0		Lv2文明之界
55	11	0	1	15	0	0.0		Lv2凝神甜酒
56	11	0	1	16	0	0.0		Lv2燕迴甜酒
57	11	0	1	17	0	0.0		Lv2狂罪甜酒
58	11	0	1	18	0	0.0		Lv2攝魂甜酒
59	11	0	1	34	0	0.0		Lv2文明之光配方
61	11	0	1	19	0	0.0		Lv3蠻地之風
62	11	0	1	20	0	0.0		Lv3護城之勇
63	11	0	1	21	0	0.0		Lv3騰躍之角
64	11	0	1	22	0	0.0		Lv3靈心之護
