n_ID	n_MOTHERID	s_ICON	n_TIPID	s_UINAME	s_CONTROLNAME	s_BUTTON	n_BUTTONTIP	n_OP_QUEST	n_LIST	n_SHINETYPE	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
1	0	ICON_MAIN_BACKPACK	106	System_Backpack_Main		Bt_main_backpack	442	0	2	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
2	0	ICON_MAIN_QUEST	109	Quest_Main		Bt_main_QST	443	0	3	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
3	999	ICON_Main_Emotion	0				0	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
4	999	ICON_MAIN_COMMUNITY	0				0	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
5	0	ICON_MAIN_Crystal	111	EQUIP_CULTURED_CRYSTAL		Bt_main_Crystal	455	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
6	0	ICON_MAIN_ITEMMALL	104	Itemmall_Main		Bt_main_itemmall	445	0	10	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
7	999	ICON_main_Package	0				0	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
8	0	ICON_main_Setting_Game	135	SystemSetting_Main		Bt_main_Setting_Game	474	0	12	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
9	0	ICON_main_Setting_Leave	116	SysetmSetting_Logout		Bt_main_Setting_Leave	446	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
101	3	ICON_MAIN_CHAR	105	Char_Info2		Bt_main_char	441	0	1	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
102	3	ICON_MAIN_SKILL	120	Skill_Main2		Bt_main_Skill	447	0	4	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
103	3	ICON_main_Achieve	115	ACHIEVEMENT_MAIN		Bt_main_Achieve	451	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
104	3	ICON_MAIN_COLLECT_PEOPLE	138	COLLECT_MAIN		Bt_main_collect	444	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
105	3	ICON_Main_Emotion	140	Skill_Emotion		Bt_Main_Emotion	449	0	6	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
106	3	ICON_MAIN_Storage	139	Storage_Main	RADIOBUTTON_FASHION	Bt_MAIN_Storage	448	0	9	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
107	3	ICON_MAIN_REWARD	110	Daily_Reward		Bt_main_REWARD	452	0	7	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
111	4	ICON_MAIN_GUILD	124	Guild_Main		Bt_main_guild	464	0	8	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
112	4	ICON_main_friends	121	System_Social_Main		Bt_main_friends	463	0	5	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
113	4	ICON_Main_PlayerNews	174	System_Report		Bt_Main_PlayerNews	450	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
114	4	ICON_MAIN_PARTY	125	Party_LFG		Bt_main_Party	465	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
115	4	ICON_main_Ranking	114	Rank_Main		Bt_main_Ranking	466	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
116	4	ICON_main_mail	123	System_Social_Main	TAB_MAIL	Bt_main_mail	467	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
117	4	ICON_main_Ignore	122	System_Social_Main	TAB_IGNORE	Bt_main_Ignore	468	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
121	7	ICON_Main_Map	175	Main_Map_2		Bt_Main_Map	469	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
122	7	ICON_Main_Activity	176	Activity_Main_Client		Bt_Main_Activity	470	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
123	7	ICON_main_Setting_Voice	141	SystemSetting_Report		Bt_main_Setting_Voice	471	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
124	7	ICON_main_Setting_Dispaly	112	HELP_MOVIE		Bt_main_Setting_Dispaly	472	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
125	7	icon_main_help	113	Help_Main		Bt_main_help	473	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
126	7	ICON_NTF_TEACH	482	Novice_Main		BT_NTF_TEACH	483	0	11	3	1.05.0000	1.07.0000	1.07.0000	1.07.0000
